META; english/championship/ipswich-v-birmingham; 2017-06-23 22:17:37 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Ipswich; 6/4; 6/4; ; 7/5; ; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 13/8; ; 16/11; 6/4; 6/4; 16/11; 33/20; ; 6/4; ; 6/4; ; 1/100; ; 
Birmingham; 7/4; 9/5; ; 7/4; ; 17/10; 9/5; 8/5; 9/5; 8/5; 8/5; 17/10; 7/4; 8/5; 7/4; ; 7/4; 7/4; 9/5; 7/4; 2; ; 9/5; ; 9/5; ; 1/100; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 47/20; 11/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; ; 9/4; ; 23/10; ; 19/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-06-24 02:17:33 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Ipswich; 6/4; 6/4; ; 7/5; ; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 13/8; ; 16/11; 6/4; 6/4; 16/11; 33/20; ; 6/4; ; 6/4; ; 1/100; ; 
Birmingham; 7/4; 9/5; ; 7/4; ; 17/10; 9/5; 8/5; 9/5; 8/5; 8/5; 17/10; 7/4; 8/5; 7/4; ; 7/4; 7/4; 9/5; 7/4; 2; ; 9/5; ; 9/5; ; 1/100; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 47/20; 11/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; ; 9/4; ; 23/10; ; 19/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-06-24 10:17:39 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Ipswich; 6/4; 6/4; ; 7/5; ; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 13/8; ; 16/11; 6/4; 6/4; 16/11; 33/20; ; 6/4; ; 6/4; ; 1/100; ; 
Birmingham; 7/4; 9/5; ; 7/4; ; 17/10; 9/5; 8/5; 9/5; 8/5; 8/5; 17/10; 7/4; 8/5; 7/4; ; 7/4; 7/4; 9/5; 7/4; 2; ; 9/5; ; 9/5; ; 1/100; ; 
Draw; 23/10; 23/10; ; 11/5; ; 23/10; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 47/20; 11/5; 9/4; ; 9/4; 9/4; 9/4; 9/4; 9/4; ; 9/4; ; 23/10; ; 19/10; ; 
META; english/championship/ipswich-v-birmingham; 2017-06-24 14:17:39 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Ipswich; 6/4; 6/4; ; 7/5; ; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 13/8; ; 16/11; 6/4; 6/4; 16/11; 33/20; ; 6/4; ; 6/4; ; 1/100; ; 
