META; english/championship/sheffield-utd-v-aston-villa; 2018-01-21 10:21:15 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Sheffield Utd; 13/10; ; 13/10; ; ; ; 11/8; 5/4; 7/5; 13/10; ; ; ; ; ; 13/10; ; 13/10; ; ; 7/5; ; 13/10; ; 13/10; ; ; 
Aston Villa; 11/5; ; 11/5; ; ; ; 21/10; 21/10; 24/13; 11/5; ; ; ; ; ; 11/5; ; 2; ; ; 24/13; ; 9/4; ; 2; ; ; 
Draw; 11/5; ; 11/5; ; ; ; 9/4; 12/5; 12/5; 21/10; ; ; ; ; ; 9/4; ; 9/4; ; ; 40/17; ; 9/4; ; 9/4; ; ; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-21 14:21:26 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; ; ; ; 13/10; 6/5; 7/5; 5/4; ; 5/4; ; ; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 7/5; ; 5/4; 5/4; 5/4; ; 6/5; 
Draw; 11/5; 9/4; 11/5; ; ; ; 11/5; 23/10; 12/5; 21/10; ; 11/5; ; ; 9/4; 9/4; 9/4; 28/13; 9/4; 9/4; 40/17; ; 9/4; 9/4; 11/5; ; 19/10; 
Aston Villa; 5/2; 23/10; 9/4; ; ; ; 11/5; 23/10; 24/13; 11/5; ; 23/10; ; ; 9/4; 12/5; 21/10; 11/5; 21/10; 79/40; 24/13; ; 12/5; 9/4; 11/5; ; 19/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-21 18:20:52 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 13/10; ; ; ; 5/4; 6/5; 13/10; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; ; 6/5; 
Draw; 11/5; 11/5; 21/10; ; ; ; 11/5; 23/10; 12/5; 21/10; ; 11/5; ; 43/20; 9/4; 9/4; 9/4; 28/13; 9/4; 9/4; 40/17; 9/4; 9/4; 11/5; 11/5; ; 19/10; 
Aston Villa; 5/2; 23/10; 9/4; ; ; ; 9/4; 23/10; 2; 9/4; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 11/5; 21/10; 79/40; 2; 12/5; 12/5; 23/10; 9/4; ; 19/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-21 22:20:33 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; ; ; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; ; 6/5; 
Aston Villa; 5/2; 23/10; 23/10; ; ; 23/10; 9/4; 23/10; 21/10; 9/4; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 9/4; 21/10; 79/40; 39/19; 12/5; 12/5; 23/10; 9/4; ; 19/10; 
Draw; 11/5; 11/5; 21/10; ; ; 23/10; 11/5; 23/10; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 11/5; ; 19/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 02:20:28 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; ; ; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; ; 6/5; 
Aston Villa; 5/2; 23/10; 23/10; ; ; 23/10; 9/4; 23/10; 21/10; 9/4; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 9/4; 21/10; 79/40; 39/19; 12/5; 12/5; 23/10; 9/4; ; 19/10; 
Draw; 11/5; 11/5; 21/10; ; ; 23/10; 11/5; 23/10; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 11/5; ; 19/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 10:20:48 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; ; ; 5/4; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; ; 6/5; 
Aston Villa; 5/2; 23/10; 23/10; ; ; 23/10; 23/10; 23/10; 21/10; 23/10; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 9/4; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 9/4; ; 2; 
Draw; 11/5; 11/5; 21/10; ; ; 23/10; 11/5; 23/10; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 11/5; ; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 14:20:40 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; ; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; ; 23/20; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; ; 5/2; 23/10; 12/5; 21/10; 23/10; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; ; 21/10; 
Draw; 11/5; 11/5; 21/10; 11/5; ; 9/4; 11/5; 11/5; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; ; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 18:20:42 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; ; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; ; 23/20; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; ; 5/2; 23/10; 12/5; 21/10; 23/10; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; ; 21/10; 
Draw; 11/5; 11/5; 21/10; 11/5; ; 9/4; 11/5; 11/5; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; ; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-22 22:20:42 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 10/11; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; ; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 17/10; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; ; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 7/4; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 02:20:33 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 21/20; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 19/10; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 10:20:36 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 5/6; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 19/10; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 47/20; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 13/8; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 14:20:36 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 5/6; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 19/10; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 12/5; 9/4; 23/10; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 13/8; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 18:21:02 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 6/5; 5/4; 5/4; 33/25; 6/5; 5/4; 6/5; 5/4; 5/4; 6/5; 5/4; ; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 5/4; 6/5; 5/6; 23/20; 
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 11/5; 11/5; 5/2; 21/10; 11/5; 11/5; ; 43/20; 9/4; 11/5; 9/4; 28/13; 9/4; 9/4; 27/11; 9/4; 9/4; 11/5; 28/13; 19/10; 15/8; 
Aston Villa; 5/2; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; 12/5; 21/10; 23/10; 23/10; 23/10; ; 12/5; 9/4; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 23/10; 40/17; 13/8; 21/10; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-23 22:21:04 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 6/5; 5/4; 5/4; 27/20; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 5/6; 23/20; 
Aston Villa; 5/2; 12/5; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 21/10; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 47/20; 23/10; ; 13/8; 11/5; 
Draw; 11/5; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 5/2; 21/10; 9/4; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 27/11; 11/5; 9/4; 21/10; 21/10; ; 9/5; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 02:21:00 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 5/4; 5/4; 5/4; 27/20; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 5/6; 23/20; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; 23/10; 21/10; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 23/10; 21/10; 2; 39/19; 12/5; 12/5; 47/20; 40/17; ; 13/8; 11/5; 
Draw; 11/5; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 5/2; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 27/11; 11/5; 9/4; 21/10; 28/13; ; 9/5; 15/8; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 10:20:59 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 20/21; 23/20; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; ; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 40/17; ; 13/8; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 14:21:01 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 9/10; 23/20; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; ; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 40/17; ; 13/8; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 18:20:56 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 6/5; ; 9/10; 23/20; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; ; 9/5; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 40/17; ; 13/8; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-24 22:20:55 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 23/20; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 15/8; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 19/10; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-25 02:20:50 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 19/10; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-25 10:20:47 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 19/10; 11/5; 
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-25 14:21:02 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 13/10
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 19/10; 11/5; 12/5
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-25 18:20:49 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 13/10
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 19/10; 11/5; 12/5
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-25 22:20:53 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; 27/20; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 13/10
Draw; 11/5; 21/10; 21/10; 11/5; 9/4; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
Aston Villa; 5/2; 23/10; 23/10; 23/10; 62/25; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 2; 11/5; 12/5
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-26 02:20:51 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; ; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/11; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 13/10
Draw; 11/5; 21/10; 21/10; 11/5; ; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
Aston Villa; 5/2; 23/10; 23/10; 23/10; ; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 2; 40/17; 12/5; 12/5; 47/20; 12/5; ; 2; 11/5; 12/5
META; english/championship/sheffield-utd-v-aston-villa; 2018-01-26 10:20:58 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Sheffield Utd; 23/20; 13/10; 5/4; 5/4; ; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; ; 5/4; 6/5; 13/10
Draw; 11/5; 21/10; 21/10; 11/5; ; 23/10; 21/10; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; 21/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; 11/5; 9/4; 21/10; 28/13; ; 21/10; 2; 11/5
Aston Villa; 5/2; 23/10; 23/10; 23/10; ; 12/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; ; 12/5; 5/2; 12/5; 21/10; 40/17; 21/10; 40/17; 40/17; 12/5; 12/5; 47/20; 12/5; ; 2; 11/5; 12/5
