META; english/championship/nottingham-forest-v-birmingham; 2018-02-24 22:19:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; ; 1; ; ; ; ; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/11; ; ; ; 4/7; ; 
Draw; ; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 19/10; ; 
Birmingham; ; 11/4; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 02:19:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; ; 1; ; ; ; ; 20/21; 4/5; 11/13; ; ; 10/11; ; ; ; ; 5/6; ; ; 11/13; ; 10/11; ; 13/15; ; 4/7; ; 
Draw; ; 12/5; ; ; ; ; 12/5; 5/2; 5/2; ; ; 12/5; ; ; ; ; 27/11; ; ; 27/11; ; 5/2; ; 5/2; ; 21/10; ; 
Birmingham; ; 11/4; ; ; ; ; 3; 11/4; 13/4; ; ; 3; ; ; ; ; 31/10; ; ; 16/5; ; 31/10; ; 31/10; ; 21/10; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 10:19:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 17/20; 1; ; ; ; ; 9/10; 4/5; 11/13; 5/6; 10/11; 20/21; ; ; 17/20; 10/11; 13/15; 11/13; ; 11/13; ; 17/20; ; 13/15; ; 8/11; ; 
Draw; 23/10; 12/5; ; ; ; ; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; ; ; 5/2; 23/10; 23/10; 9/4; ; 27/11; ; 12/5; ; 40/17; ; 19/10; ; 
Birmingham; 7/2; 11/4; ; ; ; ; 16/5; 16/5; 13/4; 17/5; 7/2; 16/5; ; ; 7/2; 10/3; 33/10; 7/2; ; 16/5; ; 18/5; ; 33/10; ; 3; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 14:19:58 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 17/20; 17/20; 10/11; ; ; ; 9/10; 5/6; 11/13; 10/11; 9/10; 10/11; ; ; 10/11; 10/11; 13/15; 11/13; 9/10; 11/13; 9/10; 9/10; ; 10/11; ; 4/5; ; 
Draw; 23/10; 23/10; 9/4; ; ; ; 23/10; 11/5; 5/2; 11/5; 23/10; 9/4; ; ; 12/5; 23/10; 23/10; 9/4; 11/5; 27/11; 12/5; 12/5; 47/20; 23/10; ; 19/10; ; 
Birmingham; 7/2; 7/2; 10/3; ; ; ; 16/5; 16/5; 13/4; 13/4; 10/3; 10/3; ; ; 100/30; 7/2; 41/13; 7/2; 14/5; 16/5; 100/30; 17/5; ; 16/5; ; 5/2; ; 
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 18:19:57 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 17/20; 10/11; 10/11; ; ; ; 10/11; 5/6; 11/13; 10/11; 10/11; 10/11; 19/20; ; 19/20; 10/11; 10/11; 11/13; 9/10; 11/13; 9/10; 9/10; ; 10/11; ; 10/11; ; 10/11
Draw; 23/10; 23/10; 9/4; ; ; ; ; 23/10; 5/2; 9/4; 23/10; 11/5; 12/5; ; 5/2; 23/10; 40/17; 9/4; 11/5; 27/11; 12/5; 12/5; 47/20; 40/17; ; 19/10; ; 12/5
Birmingham; 7/2; 10/3; 13/4; ; ; ; ; 3; 13/4; 16/5; 10/3; 7/2; 3; ; 3; 10/3; 16/5; 7/2; 14/5; 16/5; 100/30; 10/3; ; 16/5; ; 21/10; ; 13/5
META; english/championship/nottingham-forest-v-birmingham; 2018-02-25 22:19:56 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 17/20; 10/11; 10/11; ; ; ; 10/11; 5/6; 11/13; 10/11; 9/10; 10/11; 19/20; ; 19/20; 10/11; 10/11; 13/15; 9/10; 11/13; 9/10; 9/10; ; 10/11; ; 10/11; ; 10/11
Draw; 23/10; 23/10; 9/4; ; ; ; ; 23/10; 5/2; 9/4; 12/5; 11/5; 12/5; ; 5/2; 23/10; 40/17; 23/10; 11/5; 27/11; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 12/5
Birmingham; 7/2; 10/3; 13/4; ; ; ; ; 3; 13/4; 16/5; 16/5; 7/2; 3; ; 3; 10/3; 16/5; 13/4; 14/5; 16/5; 100/30; 10/3; ; 16/5; ; 21/10; ; 13/5
META; english/championship/nottingham-forest-v-birmingham; 2018-02-26 02:19:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 17/20; 10/11; 10/11; ; ; ; 20/21; 1; 11/13; 10/11; 10/11; 10/11; 19/20; ; 19/20; 10/11; 10/11; 13/15; 9/10; 11/13; 9/10; 10/11; ; 10/11; ; 20/21; ; 10/11
Draw; 23/10; 23/10; 9/4; ; ; ; ; 21/10; 5/2; 11/5; 12/5; 11/5; 12/5; ; 5/2; 23/10; 23/10; 23/10; 11/5; 27/11; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 12/5
Birmingham; 7/2; 10/3; 16/5; ; ; ; ; 5/2; 13/4; 16/5; 16/5; 7/2; 3; ; 3; 10/3; 41/13; 13/4; 14/5; 16/5; 100/30; 33/10; ; 16/5; ; 3; ; 13/5
META; english/championship/nottingham-forest-v-birmingham; 2018-02-26 10:19:35 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Nottingham Forest; 10/11; 10/11; 19/20; 19/20; ; 11/10; 20/21; 1; 11/13; 19/20; 9/10; 10/11; 19/20; ; 19/20; 10/11; 10/11; 13/15; 9/10; 11/13; 9/10; 10/11; 10/11; 10/11; ; 20/21; ; 10/11
Draw; 23/10; 12/5; 9/4; 12/5; ; 23/10; 23/10; 21/10; 5/2; 11/5; 12/5; 11/5; 12/5; ; 5/2; 23/10; 23/10; 23/10; 11/5; 27/11; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 12/5
