Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 27/10; ; 
META; english/championship/leeds-v-reading; 2017-10-04 10:21:43 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 1/2; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 27/10; ; 
META; english/championship/leeds-v-reading; 2017-10-04 14:21:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 50/13; 43/10; 33/10; 19/5; 4; 4; 4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-04 18:21:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 50/13; 43/10; 33/10; 19/5; 4; 4; 4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-04 22:21:34 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-05 02:21:36 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-05 10:21:51 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 7/10; 11/17; 9/13; 3/4; 7/10; 13/18; 8/11; 7/10; 7/10; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 15/4; 4; 19/5; 43/10; 33/10; 19/5; 19/5; 4; 15/4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-05 14:21:54 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 7/10; 11/17; 9/13; 3/4; 7/10; 13/18; 8/11; 7/10; 7/10; ; 8/11; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 15/4; 4; 19/5; 43/10; 33/10; 19/5; 19/5; 4; 15/4; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-05 18:22:15 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
