META; english/championship/barnsley-v-ipswich; 2017-08-06 02:19:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 10:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 14:20:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
META; english/championship/barnsley-v-ipswich; 2017-08-07 18:20:26 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 8/5; 7/5; 6/4; ; 11/8; 6/4; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 23/17; 11/8; 6/4; 161/100; 17/12; 11/8; 6/4; 6/4; 6/4; ; 7/5; 7/5; 6/4
Ipswich; 7/4; 19/10; 39/20; ; 2; 19/10; 19/10; 15/8; 21/10; 9/5; 15/8; 19/10; 37/20; 19/10; 15/8; 19/10; 2; 2; 24/13; 191/100; 7/4; 39/19; 15/8; 15/8; 15/8; ; 9/5; 7/4; 19/10
Draw; 11/5; 23/10; 11/5; ; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 21/10; 11/5; 12/5; 23/10; 28/13; 23/10; 23/10; 11/5; ; 21/10; 21/10; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-07 22:20:12 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 6/4; 7/5; 31/20; 29/20; 11/8; 6/4; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 23/17; 31/21; 6/4; 161/100; 17/12; 31/21; ; 6/4; 6/4; ; 7/5; 7/5; 6/4
Ipswich; 19/10; 19/10; 19/10; 17/10; 2; 19/10; 19/10; 15/8; 19/10; 9/5; 9/5; 15/8; 37/20; 19/10; 15/8; 19/10; 2; 15/8; 24/13; 191/100; 7/4; 15/8; ; 15/8; 9/5; ; 9/5; 7/4; 19/10
Draw; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 12/5; 23/10; 11/5; ; 23/10; 11/5; ; 11/5; 21/10; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-08 02:20:43 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 6/4; 7/5; 8/5; 29/20; 11/8; 31/20; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 23/17; 31/21; ; 83/50; 17/12; 31/21; ; 6/4; 8/5; ; 6/4; 7/5; 13/8
Ipswich; 19/10; 19/10; 37/20; 17/10; 2; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; 37/20; 19/10; 15/8; 19/10; 2; 15/8; ; 47/25; 7/4; 15/8; ; 15/8; 9/5; ; 9/5; 17/10; 19/10
Draw; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; ; 59/25; 23/10; 11/5; ; 23/10; 11/5; ; 21/10; 21/10; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-08 10:20:07 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 8/5; 7/5; 8/5; 29/20; 11/8; 31/20; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 23/17; 31/21; 17/11; 83/50; 17/12; 31/21; ; 6/4; 8/5; ; 7/5; 7/5; 13/8
Ipswich; 7/4; 19/10; 37/20; 17/10; 2; 15/8; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; 37/20; 19/10; 15/8; 15/8; 2; 15/8; 9/5; 47/25; 7/4; 15/8; ; 15/8; 9/5; ; 9/5; 17/10; 19/10
Draw; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 11/5; 59/25; 23/10; 11/5; ; 23/10; 11/5; ; 21/10; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-08 14:20:23 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 8/5; 7/5; 8/5; 29/20; 6/4; 31/20; 6/4; 6/4; 6/4; 17/11; 31/20; 31/20; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; 17/11; 33/20; 17/12; 31/21; ; 6/4; 8/5; ; 6/4; 7/5; 13/8
Ipswich; 7/4; 19/10; 37/20; 17/10; 15/8; 37/20; 15/8; 15/8; 19/10; 9/5; 9/5; 9/5; 37/20; 19/10; 15/8; 15/8; 7/4; 15/8; 9/5; 19/10; 7/4; 15/8; ; 15/8; 9/5; ; 9/5; 17/10; 19/10
