META; english/championship/derby-v-ipswich; 2017-11-25 22:20:47 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
META; english/championship/derby-v-ipswich; 2017-11-27 02:20:25 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 4/7; 8/13; 11/18; 13/20; 13/20; 8/13; 8/13; 4/7; 3/5; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 8/13; 8/13; 8/13; ; 8/13; 7/12; 4/7; 4/6; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 14/5; 29/10; 14/5; 3; 3; 3; 29/10; 11/4; 3; 29/10; 11/4; 14/5; 13/5; 14/5; 14/5; 3; 14/5; 29/10; ; 3; 56/19; 3; 3; 3; 56/19; ; 14/5; 14/5; 3
Ipswich; 5; 9/2; 9/2; 4; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 5; 17/4; 23/5; ; 22/5; 23/5; 5; 19/4; 19/4; 79/17; ; 23/5; 24/5; 24/5
META; english/championship/derby-v-ipswich; 2017-11-27 10:20:39 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 4/6; 8/13; 11/18; 13/20; 13/20; 4/6; 13/20; 8/13; 3/5; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; ; 8/13; 7/12; 8/13; 4/6; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 3; 29/10; 11/4; 3; 3; 3; 14/5; 11/4; 3; 14/5; 11/4; 14/5; 13/5; 14/5; 14/5; 14/5; 14/5; 37/13; ; 3; 56/19; 14/5; 3; 59/20; 29/10; ; 27/10; 13/5; 14/5
Ipswich; 19/4; 9/2; 9/2; 4; 9/2; 5; 17/4; 9/2; 19/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 22/5; ; 22/5; 23/5; 9/2; 19/4; 19/4; 49/11; ; 23/5; 9/2; 23/5
META; english/championship/derby-v-ipswich; 2017-11-27 14:20:41 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 4/6; 8/13; 11/18; 4/6; 13/20; 4/6; 13/20; 8/13; 3/5; 4/6; 4/6; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 7/10; 19/29; 7/12; 8/13; 4/6; 8/13; 11/17; ; 8/13; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 3; 11/4; 11/4; 3; 14/5; 11/4; 14/5; 13/5; 14/5; 14/5; 14/5; 14/5; 37/13; 3; 29/10; 56/19; 14/5; 3; 29/10; 29/10; ; 14/5; 14/5; 14/5
Ipswich; 19/4; 9/2; 17/4; 9/2; 9/2; 9/2; 17/4; 4; 19/4; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 49/11; 9/2; 21/5; 23/5; 9/2; 19/4; 19/4; 9/2; ; 23/5; 24/5; 23/5
META; english/championship/derby-v-ipswich; 2017-11-27 18:21:33 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 4/6; 8/13; 4/6; 4/6; 13/20; 4/6; 13/20; 8/13; 3/5; 4/6; 4/6; 8/13; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 7/10; 19/29; 7/12; 8/13; 4/6; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 3; 11/4; 11/4; 3; 14/5; 11/4; 14/5; 13/5; 14/5; 14/5; 14/5; 14/5; 37/13; 3; 29/10; 56/19; 14/5; 3; 29/10; 29/10; ; 14/5; 14/5; 14/5
Ipswich; 19/4; 17/4; 17/4; 9/2; 9/2; 9/2; 17/4; 4; 19/4; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 49/11; 9/2; 21/5; 23/5; 9/2; 19/4; 19/4; 9/2; ; 23/5; 24/5; 23/5
META; english/championship/derby-v-ipswich; 2017-11-27 22:21:32 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 8/13; 3/5; 4/6; 4/6; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 7/10; 19/29; 7/12; 8/13; 7/10; 13/20; 4/6; ; 4/6; 8/13; 4/6
Draw; 3; 14/5; 27/10; 13/5; 3; 3; 14/5; 11/4; 3; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 14/5; 14/5; 37/13; 3; 29/10; 56/19; 14/5; 3; 29/10; 37/13; ; 14/5; 14/5; 14/5
Ipswich; 5; 4; 21/5; 9/2; 9/2; 9/2; 17/4; 4; 19/4; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 22/5; 9/2; 21/5; 23/5; 9/2; 9/2; 9/2; 49/11; ; 23/5; 23/5; 23/5
META; english/championship/derby-v-ipswich; 2017-11-28 02:21:19 GMT+2; 2017-11-28 19:45; Nothing; Xlenovo
Derby; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 4/6; 8/13; 3/5; 4/6; 4/6; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 11/17; 7/10; 11/17; 7/12; 8/13; 7/10; 13/20; 11/17; ; 8/13; 8/13; 4/6
Draw; 3; 14/5; 27/10; 13/5; 3; 3; 14/5; 11/4; 3; 11/4; 11/4; 13/5; 13/5; 14/5; 14/5; 14/5; 14/5; 37/13; 3; 29/10; 56/19; 14/5; 3; 29/10; 37/13; ; 14/5; 11/4; 14/5
