META; english/championship/nottingham-forest-v-bristol-city; 2018-04-22 02:20:08 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Nottingham Forest; 9/5; 23/17; 29/20; 8/5; 23/17; 23/17; 23/17
Bristol City; 13/10; 2; 19/10; 8/5; 2; 2; 
Draw; 12/5; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-22 10:20:08 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Nottingham Forest; 13/10; 7/5; 13/10; 23/17; 11/8; 13/10; 11/8; 23/17; 23/17; 11/8; 23/17; 5/4; 5/6
Bristol City; 15/8; 2; 15/8; 2; 2; 2; 21/10; 2; 9/5; 11/10; ; ; 
Draw; 11/5; 12/5; 11/5; 23/10; 23/10; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 21/10; 1/4
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-22 14:20:20 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 13/10; 31/20; 8/5; 83/50; 13/8; 8/5; 17/10; 31/20; 8/5; 13/8; 8/5; 17/10; 6/4; 8/5; 22/15; 17/10; 13/8; 8/5; 6/4; 13/8; 
Nottingham Forest; 17/10; 9/5; 8/5; 8/5; 44/25; 17/10; 17/10; 8/5; 8/5; 31/20; 13/8; 13/8; 13/8; 13/8; 17/10; 28/17; 24/17; 8/5; 8/5; 28/17; 8/5; 17/10
Draw; 12/5; 12/5; 12/5; 21/10; 51/20; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 28/11; 9/4; 5/2; 40/17; 11/5; 12/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-22 18:19:51 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 31/20; 8/5; 169/00; 13/8; 8/5; 17/10; 31/20; 8/5; 8/5; 13/8; 8/5; 17/10; 8/5; 8/5; 22/15; 17/10; 13/8; 8/5; 6/4; 7/5; 13/8; 
Nottingham Forest; 17/10; 8/5; 8/5; 169/00; 17/10; 13/8; 8/5; 8/5; 31/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 8/5; 24/17; 8/5; 8/5; 28/17; 13/8; 7/5; 13/8; 
Draw; 12/5; 5/2; 12/5; 21/10; 131/0; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 28/11; 9/4; 5/2; 12/5; 11/5; 19/10; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-22 22:19:21 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 31/20; 8/5; 169/00; 13/8; 8/5; 17/10; 31/20; 8/5; 8/5; 13/8; 8/5; 17/10; 8/5; 8/5; 22/15; 17/10; 13/8; 8/5; 6/4; 7/5; 13/8; 
Nottingham Forest; 17/10; 8/5; 8/5; 169/00; 17/10; 13/8; 8/5; 8/5; 31/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 8/5; 24/17; 8/5; 8/5; 28/17; 13/8; 7/5; 13/8; 
Draw; 12/5; 5/2; 12/5; 21/10; 131/0; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 28/11; 9/4; 5/2; 12/5; 11/5; 19/10; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-23 02:19:44 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 5/4; 31/20; 8/5; 169/00; 13/8; 8/5; 28/17; 31/20; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 8/5; 22/15; 8/5; 8/5; 8/5; 6/4; 7/5; 13/8; 
Nottingham Forest; 17/10; 2; 8/5; 8/5; 169/00; 17/10; 13/8; 8/5; 28/17; 31/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 8/5; 24/17; 8/5; 8/5; 28/17; 13/8; 7/5; 13/8
Draw; 12/5; 13/5; 12/5; 21/10; 131/0; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 28/11; 40/17; 13/5; 12/5; 9/4; 19/10; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-23 10:19:42 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 31/20; 8/5; 169/00; 13/8; 8/5; 28/17; 31/20; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 8/5; 28/17; 8/5; 8/5; 8/5; 6/4; 7/5; 13/8; 
Nottingham Forest; 17/10; 9/5; 8/5; 8/5; 169/00; 17/10; 13/8; 8/5; 28/17; 31/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 8/5; 17/11; 8/5; 8/5; 28/17; 13/8; 7/5; 13/8
Draw; 12/5; 13/5; 12/5; 21/10; 131/0; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 28/11; 40/17; 13/5; 12/5; 9/4; 19/10; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-23 14:19:59 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 8/5; 8/5; 167/00; 13/8; 8/5; 28/17; 31/20; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 17/11; 6/4; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 13/8; 
Nottingham Forest; 17/10; 9/5; 8/5; 8/5; 171/00; 13/8; 13/8; 6/4; 28/17; 8/5; 13/8; 8/5; 13/8; 13/8; 13/8; 17/10; 28/17; 28/17; 17/11; 8/5; 8/5; 28/17; 13/8; 13/8; 13/8
Draw; 12/5; 13/5; 12/5; 21/10; 131/0; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 49/20; 23/10; 12/5; 12/5; 12/5; 28/11; 40/17; 13/5; 12/5; 9/4; 9/4; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-23 18:20:01 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 31/20; 8/5; 83/50; 13/8; 8/5; 28/17; 31/20; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 8/5; 6/4; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 13/8; 
Nottingham Forest; 17/10; 9/5; 8/5; 8/5; 44/25; 13/8; 13/8; 6/4; 28/17; 31/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 28/17; 28/17; 17/11; 8/5; 8/5; 28/17; 13/8; 13/8; 13/8
Draw; 12/5; 13/5; 5/2; 21/10; 51/20; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 27/11; 12/5; 28/11; 40/17; 13/5; 27/11; 9/4; 9/4; 13/5
META; english/championship/nottingham-forest-v-bristol-city; 2018-04-23 22:19:59 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bristol City; 6/4; 11/8; 31/20; 8/5; 13/8; 8/5; 28/17; 31/20; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 8/5; 6/4; 28/17; 8/5; 8/5; 8/5; 6/4; 11/8; 13/8; 
