Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 8/5; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 9/5; ; 17/10; ; 17/10; ; 13/10; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 21/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-26 10:21:30 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Burton; 13/8; 9/5; ; 9/5; ; 8/5; 7/4; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 7/4; ; 8/5; ; 8/5; ; 5/6; ; 
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 8/5; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 9/5; ; 17/10; ; 17/10; ; 13/10; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 21/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-26 14:22:21 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 13/8; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 7/4; ; 17/10; ; 17/10; ; 11/8; ; 
Burton; 13/8; 9/5; ; 9/5; ; 8/5; 7/4; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 9/5; ; 8/5; ; 8/5; ; 5/6; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 21/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-26 18:20:03 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Cardiff; 13/8; 6/4; ; ; ; 8/5; 31/20; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 7/4; ; 17/10; ; 17/10; ; 11/8; ; 
Burton; 13/8; 9/5; ; ; ; 8/5; 9/5; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 9/5; ; 8/5; ; 8/5; ; 5/6; ; 
Draw; 23/10; 23/10; ; ; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 21/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-26 22:19:43 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 13/8; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 7/4; ; 17/10; ; 17/10; ; 6/5; ; 
