Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 27/10; 12/5; 5/2; 45/17; 5/2; 5/2; 13/5; ; 5/2; 5/2; 13/5; 12/5; 5/2; 66/25; ; 13/5; 13/5; 13/5; 5/2; 28/11; ; 23/10; 11/5; 
Preston; 7/2; 14/5; 11/4; 13/5; 10/3; 10/3; 29/10; 16/5; 3; 27/10; 16/5; 14/5; ; 14/5; 14/5; 3; 13/4; 58/19; 13/4; ; 56/19; 3; 29/10; 16/5; 31/10; ; 23/10; 12/5; 
META; english/championship/bristol-city-v-preston; 2017-11-19 18:20:52 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 10/11; 10/11; 1; 1; 1; 1; 1; 10/11; 28/29; 1; 10/11; 20/21; 1; 1; 19/20; 1; 19/20; 1; 24/25; 19/20; 15/16; 10/11; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 11/4; 5/2; 13/5; 45/17; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; 13/5; 12/5; 28/11; 66/25; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; ; 5/2; 11/5; 
Preston; 3; 14/5; 13/5; 13/5; 29/10; 3; 11/4; 11/4; 11/4; 13/5; 3; 14/5; 13/5; 11/4; 14/5; 14/5; 11/4; 11/4; 13/4; 23/10; 27/10; 14/5; 27/10; 3; 11/4; ; 5/2; 23/10; 
META; english/championship/bristol-city-v-preston; 2017-11-19 22:21:18 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 10/11; 1; 10/11; 1; 19/20; 19/20; 20/21; 5/6; 28/29; 19/20; 10/11; 10/11; 19/20; 19/20; 19/20; 19/20; 9/10; 19/20; 49/50; 19/20; 15/16; 10/11; 20/21; 19/20; 19/20; ; 10/11; 10/11; 20/21
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 11/4; 5/2; 13/5; 45/17; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 12/5; 28/11; 139/50; 45/17; 13/5; 13/5; 13/5; 5/2; 13/5; ; 5/2; 5/2; 11/4
Preston; 3; 13/5; 14/5; 13/5; 16/5; 16/5; 11/4; 3; 11/4; 29/10; 3; 14/5; 14/5; 29/10; 14/5; 3; 3; 37/13; 149/50; 11/4; 27/10; 3; 31/10; 3; 29/10; ; 14/5; 14/5; 3
META; english/championship/bristol-city-v-preston; 2017-11-20 02:21:14 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 10/11; 10/11; 10/11; 10/11; 19/20; 19/20; 20/21; 5/6; 28/29; 10/11; 10/11; 20/21; 19/20; 10/11; 19/20; 19/20; 9/10; 19/20; 49/50; 19/20; 15/16; 10/11; 20/21; 19/20; 19/20; ; 10/11; 10/11; 20/21
Draw; 12/5; 5/2; 5/2; 13/5; 5/2; 11/4; 5/2; 13/5; 45/17; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 139/50; 45/17; 13/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; 12/5; 11/4
Preston; 3; 29/10; 14/5; 14/5; 16/5; 16/5; 14/5; 3; 11/4; 29/10; 3; 3; 14/5; 29/10; 14/5; 3; 3; 29/10; 149/50; 11/4; 27/10; 3; 31/10; 3; 29/10; ; 3; 14/5; 3
META; english/championship/bristol-city-v-preston; 2017-11-20 10:21:14 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 20/21; 10/11; 28/29; 10/11; 10/11; 20/21; 19/20; 19/20; 10/11; 19/20; 9/10; 19/20; 49/50; 9/10; 15/16; 10/11; 20/21; 10/11; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/4; 5/2; 5/2; 13/5; 5/2; 27/10; 5/2; 5/2; 45/17; 13/5; 5/2; 12/5; 5/2; 13/5; 13/5; 13/5; 12/5; 13/5; 139/50; 27/10; 13/5; 13/5; 11/4; 53/20; 45/17; ; 13/5; 12/5; 11/4
Preston; 3; 14/5; 14/5; 14/5; 16/5; 16/5; 14/5; 3; 11/4; 14/5; 3; 3; 14/5; 29/10; 3; 3; 3; 37/13; 149/50; 29/10; 27/10; 3; 3; 3; 37/13; ; 3; 14/5; 3
META; english/championship/bristol-city-v-preston; 2017-11-20 14:21:26 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 20/21; 10/11; 28/29; 10/11; 10/11; 20/21; 17/20; 19/20; 10/11; 19/20; 9/10; 19/20; 20/21; 9/10; 15/16; 10/11; 20/21; 10/11; 19/20; ; 10/11; 20/21; 20/21
Draw; 11/4; 5/2; 5/2; 13/5; 5/2; 27/10; 5/2; 5/2; 45/17; 5/2; 5/2; 12/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 27/10; 13/5; 13/5; 11/4; 53/20; 45/17; ; 13/5; 13/5; 11/4
Preston; 3; 14/5; 14/5; 14/5; 16/5; 16/5; 14/5; 3; 11/4; 29/10; 3; 3; 29/10; 29/10; 3; 3; 3; 37/13; 63/20; 3; 27/10; 3; 3; 3; 37/13; ; 3; 3; 3
META; english/championship/bristol-city-v-preston; 2017-11-20 18:21:43 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 20/21; 10/11; 28/29; 19/20; 10/11; 20/21; 17/20; 19/20; 10/11; 19/20; 9/10; 19/20; 20/21; 9/10; 15/16; 10/11; 20/21; 10/11; 19/20; ; 10/11; 20/21; 20/21
Draw; 11/4; 5/2; 5/2; 13/5; 5/2; 27/10; 5/2; 5/2; 45/17; 5/2; 5/2; 12/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 27/10; 13/5; 13/5; 11/4; 53/20; 45/17; ; 13/5; 13/5; 11/4
Preston; 3; 29/10; 14/5; 14/5; 16/5; 16/5; 14/5; 3; 11/4; 29/10; 3; 3; 29/10; 29/10; 3; 3; 3; 37/13; 63/20; 3; 27/10; 3; 3; 3; 37/13; ; 3; 14/5; 3
META; english/championship/bristol-city-v-preston; 2017-11-20 22:21:41 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
Bristol City; 19/20; 10/11; 10/11; ; 19/20; 19/20; 20/21; 10/11; 28/29; 19/20; 10/11; 20/21; 17/20; 19/20; 10/11; 19/20; 9/10; 19/20; 20/21; 9/10; 15/16; 10/11; 20/21; 10/11; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/4; 5/2; 5/2; ; 5/2; 27/10; 13/5; 5/2; 45/17; 5/2; 5/2; 12/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 27/10; 13/5; 13/5; 11/4; 53/20; 45/17; ; 13/5; 13/5; 11/4
Preston; 3; 29/10; 14/5; ; 16/5; 16/5; 14/5; 3; 11/4; 29/10; 3; 3; 29/10; 29/10; 3; 3; 3; 37/13; 63/20; 3; 27/10; 3; 3; 3; 37/13; ; 3; 3; 3
