META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-21 10:21:07 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Middlesbrough; 5/6; ; 4/5; ; ; ; 5/6; 8/11; 4/5; 4/5; ; 5/6; ; ; ; ; ; 4/5; ; ; 4/5; ; ; ; 5/6; 8/15; ; 
Draw; 12/5; ; 12/5; ; ; ; 5/2; 13/5; 45/17; 23/10; ; 12/5; ; ; ; ; ; 27/11; ; ; 13/5; ; ; ; 27/11; 19/10; ; 
Sheffield Wednesday; 7/2; ; 18/5; ; ; ; 7/2; 7/2; 13/4; 18/5; ; 7/2; ; ; ; ; ; 33/10; ; ; 16/5; ; ; ; 57/17; 21/10; ; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-21 14:21:19 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 7/10; 11/18; ; ; ; 5/8; 8/13; 3/5; 8/13; ; 4/6; ; ; 13/20; 4/6; 4/6; 11/18; 4/6; 11/17; 3/5; ; 13/20; 8/13; 11/18; 4/9; 4/7; 
Draw; 11/4; 13/5; 13/5; ; ; ; 11/4; 13/5; 45/17; 5/2; ; 11/4; ; ; 14/5; 11/4; 27/10; 13/5; 27/10; 5/2; 13/5; ; 13/5; 11/4; 45/17; 2; 13/5; 
Sheffield Wednesday; 11/2; 17/4; 24/5; ; ; ; 19/4; 5; 24/5; 5; ; 4; ; ; 9/2; 9/2; 4; 47/10; 4; 15/4; 19/4; ; 21/4; 5; 19/4; 7/2; 27/5; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-21 18:20:45 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; ; ; ; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 4/9; 4/7; 
Draw; 11/4; 11/4; 13/5; ; ; ; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 14/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 2; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 24/5; ; ; ; 19/4; 5; 24/5; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 79/17; 17/4; 15/4; 19/4; 5; 5; 19/4; 47/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-21 22:20:25 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; ; ; 8/13; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 4/9; 4/7; 
Draw; 11/4; 11/4; 13/5; ; ; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 14/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 2; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; ; ; 5; 19/4; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 19/4; 17/4; 15/4; 21/4; 5; 5; 19/4; 24/5; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-22 02:20:21 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; ; ; 8/13; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 4/7; 4/7; 
Draw; 11/4; 11/4; 13/5; ; ; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 14/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 13/5; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; ; ; 5; 19/4; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 19/4; 17/4; 15/4; 21/4; 5; 5; 19/4; 24/5; 24/5; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-22 10:20:39 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; ; ; 8/13; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 4/7; 4/7; 
Draw; 11/4; 11/4; 13/5; ; ; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 14/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 5/2; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; ; ; 5; 19/4; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 19/4; 17/4; 15/4; 21/4; 5; 5; 19/4; 24/5; 24/5; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-22 14:20:33 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; ; 8/13; 3/5; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 10/17; 4/7; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; ; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 11/4; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 13/5; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 24/5; 5; ; 5; 5; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 94/19; 17/4; 15/4; 21/4; 5; 5; 19/4; 5; 24/5; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-22 18:20:34 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; ; 8/13; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 10/17; 4/7; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; ; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 14/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 5/2; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; ; 5; 5; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 5; 21/5; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-22 22:20:34 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; 4/7; 3/5; 8/13; ; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 141/ 50; 14/5; 11/4; 11/4; 45/17; 13/5; ; 11/4; ; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 9/4; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 5; 5; 21/4; 19/4; ; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 49/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-23 02:20:26 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; 4/7; 3/5; 8/13; 8/13; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 141/ 50; 14/5; 11/4; 11/4; 45/17; 13/5; 13/5; 11/4; ; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 9/4; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 5; 5; 21/4; 19/4; 5; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 49/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-23 10:20:28 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; 4/7; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 141/ 50; 14/5; 11/4; 11/4; 45/17; 13/5; 13/5; 11/4; ; 13/5; 14/5; 11/4; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 9/4; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 19/4; 5; 21/4; 19/4; 5; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 49/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-23 14:20:29 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; 4/7; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 10/17; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 141/ 50; 14/5; 11/4; 11/4; 45/17; 13/5; 13/5; 11/4; ; 13/5; 14/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 9/4; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 19/4; 5; 21/4; 19/4; 5; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 49/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-23 18:20:54 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; 4/7; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 10/17; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 141/ 50; 14/5; 11/4; 11/4; 45/17; 13/5; 13/5; 11/4; ; 13/5; 14/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; 9/4; 2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 5; 5; 21/4; 19/4; 5; 4; ; 19/4; 9/2; 5; 17/4; 63/13; 17/4; 15/4; 21/4; 5; 5; 19/4; 49/10; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-23 22:20:56 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 4/6; 8/13; 4/6; 8/13; 8/13; 8/13; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 8/15; 4/7; 
Draw; 11/4; 11/4; 13/5; 13/5; 29/10; 11/4; 11/4; 13/5; 45/17; 13/5; 13/5; 11/4; ; 27/10; 13/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 27/10; ; 9/4; 2; 
Sheffield Wednesday; 11/2; 19/4; 9/2; 5; 51/10; 5; 19/4; 5; 21/4; 9/2; 5; 4; ; 19/4; 5; 5; 17/4; 19/4; 17/4; 15/4; 21/4; 19/4; 5; 19/4; 24/5; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-24 02:20:52 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 4/6; 8/13; 67/ 100; 8/13; 8/13; 8/13; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 1/2; 4/7; 
Draw; 11/4; 14/5; 13/5; 13/5; 71/25; 11/4; 11/4; 13/5; 45/17; 13/5; 13/5; 11/4; ; 27/10; 13/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 14/5; 11/4; 45/17; ; 9/4; 2; 
Sheffield Wednesday; 11/2; 19/4; 9/2; 5; 26/5; 5; 19/4; 5; 21/4; 9/2; 5; 4; ; 19/4; 5; 5; 17/4; 24/5; 17/4; 15/4; 21/4; 19/4; 5; 19/4; 63/13; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-24 10:20:52 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 4/6; 8/13; 67/ 100; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 8/15; 4/7; 
Draw; 11/4; 14/5; 13/5; 13/5; 71/25; 11/4; 11/4; ; 45/17; 13/5; 11/4; 11/4; ; 27/10; 13/5; 11/4; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 14/5; 11/4; 45/17; ; 23/10; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 9/2; 5; 26/5; 5; 19/4; ; 21/4; 9/2; 9/2; 4; ; 19/4; 5; 9/2; 17/4; 24/5; 17/4; 15/4; 21/4; 19/4; 5; 19/4; 63/13; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-24 14:20:53 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 67/ 100; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 8/15; 4/7; 
Draw; 11/4; 14/5; 13/5; 13/5; 14/5; 11/4; 11/4; ; 45/17; 13/5; 11/4; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 14/5; 11/4; 45/17; ; 12/5; 5/2; 
Sheffield Wednesday; 11/2; 19/4; 19/4; 5; 53/10; 5; 5; ; 21/4; 19/4; 9/2; 4; ; 19/4; 5; 5; 17/4; 49/10; 17/4; 15/4; 21/4; 5; 5; 19/4; 94/19; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-24 18:20:49 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 10/17; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 8/15; 4/7; 
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 12/5; 2; 
Sheffield Wednesday; 11/2; 5; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 49/10; 17/4; 15/4; 21/4; 5; 5; 19/4; 94/19; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-24 22:20:47 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 4/7; 4/7; 
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 27/10; 11/4; 45/17; ; 5/2; 2; 
Sheffield Wednesday; 11/2; 5; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 21/4; 19/4; 96/19; ; 7/2; 7/2; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-25 02:20:42 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 11/18; ; 4/7; 4/7; 
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 5/2; ; 
Sheffield Wednesday; 11/2; 5; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 5; 19/4; 96/19; ; 7/2; 23/5; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-25 10:20:39 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 45/17; 14/5; 5/2; 13/5; 14/5; 27/10; 11/4; 45/17; ; 19/10; ; 
Sheffield Wednesday; 11/2; 19/4; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 21/4; 19/4; 96/19; ; 7/2; 23/5; 
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-25 14:20:54 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 11/5; 5/2; 11/4
Sheffield Wednesday; 11/2; 19/4; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 5; 19/4; 96/19; ; 7/2; 23/5; 27/5
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-25 18:20:42 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 5/2; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 12/5; 5/2; 11/4
Sheffield Wednesday; 11/2; 5; 24/5; 5; 27/5; 5; 5; ; 21/4; 19/4; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 5; 19/4; 96/19; ; 1/50; 23/5; 27/5
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-25 22:20:45 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; 4/6; 8/13; 8/13; ; 3/5; 4/6; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 13/5; 13/5; 139/ 50; 11/4; 13/5; ; 45/17; 13/5; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 5/2; ; 11/4
Sheffield Wednesday; 11/2; 5; 24/5; 5; 27/5; 5; 5; ; 21/4; 24/5; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 5; 19/4; 96/19; ; 9/2; 23/5; 27/5
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-26 02:20:43 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; ; 8/13; 8/13; ; 3/5; 4/6; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 11/17; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 13/5; 13/5; ; 11/4; 13/5; ; 45/17; 13/5; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 5/2; 13/5; 14/5; 11/4; 11/4; 45/17; ; 5/2; 5/2; 11/4
Sheffield Wednesday; 11/2; 19/4; 24/5; 5; ; 5; 5; ; 21/4; 24/5; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 15/4; 21/4; 5; 5; 19/4; 96/19; ; 1/50; 23/5; 27/5
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-26 10:20:50 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Middlesbrough; 11/20; 8/13; 11/18; 8/13; ; 8/13; 8/13; ; 3/5; 8/13; 4/7; 4/6; ; 13/20; 13/20; 8/13; 8/13; 11/18; 8/13; 5/8; 3/5; 8/13; 8/13; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 13/5; 13/5; ; 11/4; 13/5; ; 45/17; 13/5; 13/5; 11/4; ; 13/5; 13/5; 13/5; 14/5; 13/5; 14/5; 11/4; 13/5; 14/5; 11/4; 11/4; 45/17; ; 21/10; 5/2; 11/4
Sheffield Wednesday; 11/2; 19/4; 5; 5; ; 5; 5; ; 21/4; 5; 5; 4; ; 19/4; 5; 5; 17/4; 5; 17/4; 24/5; 21/4; 5; 5; 19/4; 96/19; ; 9/2; 24/5; 27/5
META; english/championship/middlesbrough-v-sheffield-wednesday; 2018-01-26 14:21:17 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
