META; english/championship/nottingham-forest-v-brentford; 2018-04-07 14:22:27 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 7/5; 11/8; 7/5; 5/4
Nottingham Forest; 19/10; 2; 7/5; 
Draw; 23/10; 40/17; 40/17; 21/10
META; english/championship/nottingham-forest-v-brentford; 2018-04-07 18:22:02 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 27/20; 27/20; 6/5; 29/20; 7/5; 7/5; 13/10; 13/10; 27/20; 7/5; 7/5; 11/8; 16/11; 13/10; 11/8; 16/11; 13/10; 7/5
Nottingham Forest; 15/8; 15/8; 17/10; 43/20; 19/10; 19/10; 15/8; 21/10; 9/5; 2; 37/20; 19/10; 19/10; 21/10; 2; 37/19; 7/4; 19/10
Draw; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 5/2; 5/2; 40/17; 9/4; 12/5; 40/17; 9/4; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-07 22:20:45 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 13/10; 6/5; 69/50; 29/20; 7/5; 7/5; 23/17; 13/10; 7/5; 13/10; 7/5; 13/10; 23/17; 23/17; 11/8; 23/17; 27/20; 27/20
Nottingham Forest; 21/10; 19/10; 17/10; 43/20; 2; 19/10; 15/8; 19/10; 15/8; 2; 2; 39/19; 19/10; 2; 39/19; 9/5; 21/10; ; 
Draw; 12/5; 5/2; 12/5; 127/50; 23/10; 23/10; 9/4; 27/11; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 12/5; 21/10; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2018-04-08 02:20:23 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 5/4; 13/10; 6/5; 69/50; 29/20; 13/10; 7/5; 23/17; 27/20; 7/5; 13/10; 13/10; 7/5; 13/10; 23/17; 23/17; 13/10; 23/17; 27/20; 27/20
Nottingham Forest; 21/10; 19/10; 19/10; 17/10; 43/20; 2; 15/8; 19/10; 19/10; 2; 19/10; 41/20; 2; 19/10; 39/19; 19/10; 2; 39/19; 15/8; 21/10; 
Draw; 12/5; 5/2; 5/2; 12/5; 127/50; 23/10; 23/10; 9/4; 27/11; 5/2; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 5/2; 40/17; 11/5; 12/5; 
META; english/championship/nottingham-forest-v-brentford; 2018-04-08 10:20:23 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 5/4; 27/20; 6/5; 139/100; 29/20; 13/10; 7/5; 23/17; 27/20; 7/5; 13/10; 27/20; 7/5; 13/10; 7/5; 13/10; 23/17; 13/10; 7/5; 27/20; 27/20
Nottingham Forest; 21/10; 19/10; 19/10; 17/10; 85/40; 2; 15/8; 19/10; 19/10; 2; 19/10; 39/20; 2; 19/10; 2; 37/19; 19/10; 2; 15/8; 2; ; 
Draw; 12/5; 5/2; 12/5; 12/5; 127/50; 23/10; 23/10; 9/4; 27/11; 5/2; 12/5; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 12/5; 5/2; 40/17; 11/5; 12/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-08 14:21:07 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 13/10; 6/5; 5/4; 5/4; 131/100; 29/20; 13/10; 7/5; 23/17; 13/10; 7/5; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 23/17; 5/4; 23/17; 5/4; 5/4; 5/4
Nottingham Forest; 2; 21/10; 2; 21/10; 57/25; 2; 21/10; 15/8; 19/10; 2; 21/10; 41/20; 21/10; 21/10; 21/10; 37/19; 30/17; 19/10; 21/10; 21/10; 15/8; 2; 11/5; 
Draw; 12/5; 5/2; 12/5; 12/5; 127/50; 23/10; 12/5; 9/4; 27/11; 12/5; 12/5; 23/10; 49/20; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 5/2; 40/17; 11/5; 9/4; 23/10
META; english/championship/nottingham-forest-v-brentford; 2018-04-08 18:20:40 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 6/5; 5/4; 5/4; 13/10; 29/20; 5/4; 7/5; 13/10; 5/4; 7/5; 5/4; 11/10; 5/4; 13/10; 5/4; 5/4; 13/10; 17/14; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Nottingham Forest; 21/10; 21/10; 21/10; 57/25; 2; 21/10; 15/8; 2; 21/10; 2; 21/10; 23/10; 21/10; 21/10; 21/10; 28/13; 37/19; 20/11; 2; 85/40; 28/13; 19/10; 2; 11/5
Draw; 5/2; 12/5; 12/5; 64/25; 23/10; 12/5; 9/4; 27/11; 12/5; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-08 22:20:55 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 6/5; 5/4; 5/4; 13/10; 29/20; 5/4; 7/5; 23/18; 5/4; 7/5; 5/4; 11/10; 5/4; 13/10; 5/4; 5/4; 13/10; 17/14; 5/4; 13/10; 5/4; 5/4; 5/4; 23/20; 13/10
Nottingham Forest; 21/10; 21/10; 21/10; 57/25; 2; 21/10; 15/8; 21/10; 21/10; 2; 21/10; 23/10; 21/10; 21/10; 21/10; 28/13; 37/19; 20/11; 39/19; 9/4; 28/13; 19/10; 11/5; 2; 
Draw; 5/2; 12/5; 12/5; 64/25; 23/10; 12/5; 9/4; 27/11; 12/5; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 12/5; 21/10; 12/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-09 02:20:46 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 6/5; 5/4; 5/4; 33/25; 29/20; 5/4; 7/5; 23/18; 5/4; 5/4; 5/4; 11/10; 13/10; 13/10; 5/4; 5/4; 13/10; 17/14; 5/4; 13/10; 13/10; 5/4; 6/5; 23/20; 5/4
Nottingham Forest; 21/10; 2; 21/10; 56/25; 2; 21/10; 15/8; 21/10; 21/10; 21/10; 2; 23/10; 41/20; 21/10; 21/10; 28/13; 37/19; 20/11; 39/19; 85/40; 28/13; 21/10; 2; 11/5; 
Draw; 5/2; 12/5; 12/5; 64/25; 23/10; 12/5; 9/4; 27/11; 12/5; 12/5; 5/2; 5/2; 49/20; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 23/10; 23/10; 21/10; 12/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-09 10:20:50 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 11/8; 5/4; 5/4; 5/4; 133/100; 29/20; 13/10; 7/5; 23/18; 5/4; 13/10; 5/4; 11/10; 13/10; 11/8; 13/10; 13/10; 13/10; 16/13; 5/4; 13/10; 13/10; 5/4; 5/4; 23/20; 5/4
Nottingham Forest; 21/10; 2; 21/10; 11/5; 2; 21/10; 15/8; 21/10; 21/10; 2; 23/10; 41/20; 21/10; 2; 21/10; 37/19; 28/13; 39/19; 85/40; 21/10; 21/10; 11/5; 2; 11/5; ; 
Draw; 5/2; 5/2; 12/5; 12/5; 129/50; 23/10; 12/5; 9/4; 27/11; 12/5; 12/5; 5/2; 5/2; 49/20; 5/2; 12/5; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 12/5; 12/5; 21/10; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-09 14:21:01 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 5/4; 6/5; 13/10; 5/4; 29/20; 6/5; 7/5; 23/18; 6/5; 5/4; 6/5; 11/10; 6/5; 5/4; 5/4; 6/5; 13/10; 16/13; 5/4; 13/10; 6/5; 6/5; 6/5; 10/9; 6/5
Nottingham Forest; 23/10; 2; 21/10; 21/10; 47/20; 2; 11/5; 15/8; 21/10; 11/5; 21/10; 21/10; 23/10; 11/5; 23/10; 21/10; 9/4; 37/19; 28/13; 39/19; 9/4; 9/4; 2; 21/10; 2; 15/8
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 9/4; 27/11; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 27/11; 12/5; 5/2; 12/5; 13/5; 27/11; 12/5; 5/2; 11/5; 12/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-09 18:20:53 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 5/4; 6/5; 13/10; 5/4; 29/20; 6/5; 7/5; 23/18; 6/5; 5/4; 6/5; 11/10; 6/5; 5/4; 5/4; 6/5; 6/5; 16/13; 5/4; 13/10; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5
Nottingham Forest; 23/10; 2; 21/10; 21/10; 47/20; 2; 11/5; 15/8; 21/10; 21/10; 21/10; 21/10; 23/10; 43/20; 23/10; 21/10; 11/5; 21/10; 9/4; 39/19; 11/5; 9/4; 9/4; 21/10; 9/4; 2; 23/10
Draw; 13/5; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 9/4; 27/11; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 5/2; 12/5; 5/2; 21/10; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-09 22:20:57 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 5/4; 23/20; 6/5; 6/5; 13/10; 6/5; 5/4; 23/18; 23/20; 6/5; 6/5; 11/10; 6/5; 5/4; 6/5; 6/5; 6/5; 22/19; 5/4; 5/4; 6/5; 11/10; 23/20; 23/20; 11/10; 6/5
Nottingham Forest; 23/10; 2; 11/5; 21/10; 49/20; 21/10; 9/4; 2; 21/10; 9/4; 11/5; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 21/10; 40/17; 39/19; 23/10; 23/10; 12/5; 11/5; 23/10; 21/10; 23/10
Draw; 13/5; 5/2; 5/2; 5/2; 131/50; 12/5; 12/5; 23/10; 27/11; 5/2; 12/5; 9/4; 5/2; 5/2; 5/2; 12/5; 27/11; 12/5; 27/11; 12/5; 13/5; 27/11; 5/2; 12/5; 5/2; 11/5; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-10 02:20:41 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 23/20; 23/20; 6/5; 6/5; 13/10; 6/5; 5/4; 23/18; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 7/6; 5/4; 5/4; 6/5; 11/10; 6/5; 6/5; 11/10; 5/4
Nottingham Forest; 23/10; 21/10; 9/4; 21/10; 49/20; 21/10; 9/4; 2; 21/10; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 23/10; 39/19; 23/10; 23/10; 12/5; 11/5; 9/4; 2; 23/10
Draw; 13/5; 5/2; 12/5; 5/2; 131/50; 12/5; 5/2; 23/10; 27/11; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 27/11; 12/5; 27/11; 12/5; 13/5; 27/11; 5/2; 5/2; 5/2; 9/4; 13/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-10 10:20:47 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 5/4; 23/20; 23/20; 6/5; 63/50; 13/10; 6/5; 5/4; 23/18; 6/5; 6/5; 23/20; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 7/6; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 23/20; 5/4
Nottingham Forest; 23/10; 9/4; 11/5; 21/10; 58/25; 21/10; 9/4; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 9/4; 21/10; 11/5; 39/19; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10
Draw; 13/5; 5/2; 5/2; 5/2; 131/50; 12/5; 5/2; 23/10; 27/11; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 27/11; 12/5; 13/5; 12/5; 13/5; 27/11; 5/2; 5/2; 13/5; 9/4; 13/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-10 14:21:04 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 6/5; 23/20; 6/5; 6/5; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 23/20; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 7/6; 22/19; 6/5; 6/5; 11/10; 6/5; 6/5; 23/20; 5/4
Nottingham Forest; 12/5; 9/4; 23/10; 21/10; 12/5; 23/10; 9/4; 11/5; 23/10; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 12/5; 12/5
Draw; 13/5; 5/2; 13/5; 5/2; 51/20; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 27/11; 5/2; 28/11; 12/5; 13/5; 27/11; 5/2; 5/2; 13/5; 12/5; 5/2
META; english/championship/nottingham-forest-v-brentford; 2018-04-10 18:21:03 GMT+3; 2018-04-10 19:45; Nothing; Xlenovo
Brentford; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 7/6; 22/19; 5/4; 6/5; 11/10; 6/5; 6/5; 6/5; 5/4
Nottingham Forest; 12/5; 21/10; 9/4; 21/10; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 12/5
Draw; 13/5; 5/2; 13/5; 5/2; 51/20; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 27/11; 5/2; 28/11; 12/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5
META; english/championship/nottingham-forest-v-brentford; 2018-04-10 22:20:58 GMT+3; 2018-04-10 19:45; In Play; Xlenovo
Brentford; 7/5; 11/8; 27/20; 7/5; 143/100; 11/8; 7/5; 13/10; 31/21; 11/8; 13/10; 6/5; 7/5; 11/8; 13/10; 23/17; 7/5; 11/8; 7/5; 23/17; 11/8; 27/20; 7/5; 7/5
Draw; 2; 7/4; 19/10; 2; 57/25; 15/8; 15/8; 9/5; 9/5; 2; 7/4; 12/5; 39/20; 19/10; 2; 39/19; 7/4; 19/10; 2; 21/10; 15/8; 21/10; 2; 
Nottingham Forest; 11/5; 2; 21/10; 9/4; 101/50; 12/5; 11/5; 23/10; 11/5; 12/5; 23/10; 9/4; 9/4; 19/10; 9/4; 28/13; 23/10; 28/13; 11/5; 11/5; 9/4; 23/10; 12/5; 23/10
