META; english/championship/burton-v-bolton; 2018-04-22 02:19:58 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Burton; 11/8; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5
Bolton; 7/4; 9/5; 19/10; 15/8; 9/5; 9/5; 9/5
Draw; 23/10; 5/2; 23/10; 23/10; 5/2; 27/11; 5/2
META; english/championship/burton-v-bolton; 2018-04-22 10:19:58 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Burton; 11/8; 7/5; 7/5; 13/10; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 7/5; 7/5; 5/4; 4/5
Bolton; 7/4; 15/8; 9/5; 7/4; 9/5; 15/8; 19/10; 15/8; 9/5; 9/5; 15/8; 9/5; 7/4; 1
Draw; 23/10; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; 12/5; 27/11; 27/11; 5/2; 5/2; 9/4; 1/5
META; english/championship/burton-v-bolton; 2018-04-22 14:20:09 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Burton; 13/10; 11/8; 7/5; 5/4; 141/00; 11/8; 11/8; 5/4; 7/5; 11/8; 11/8; 7/5; 29/20; 11/8; 11/8; 23/17; 17/13; 7/5; 11/8; 23/17; 5/4; 11/8
Bolton; 15/8; 7/4; 2; 2; 19/10; 15/8; 9/5; 2; 19/10; 2; 19/10; 19/10; 19/10; 30/17; 9/5; 2; 37/19; 9/5; 19/10; ; ; 
Draw; 5/2; 23/10; 11/5; 11/5; 67/25; 12/5; 12/5; 11/5; 5/2; 11/5; 12/5; 11/5; 9/4; 5/2; 12/5; 40/17; 23/10; 27/11; 12/5; 40/17; 11/5; 13/5
META; english/championship/burton-v-bolton; 2018-04-22 18:19:40 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Burton; 13/10; 11/8; 5/4; 73/50; 11/8; 11/8; 5/4; 7/5; 27/20; 11/8; 7/5; 7/5; 29/20; 7/5; 11/8; 23/17; 17/13; 11/8; 11/8; 23/17; 13/10; 23/20; 7/5; 
Bolton; 15/8; 2; 2; 107/0; 2; 15/8; 2; 19/10; 2; 2; 2; 30/17; 37/19; 2; 9/5; 17/10; 21/10; ; ; ; ; ; ; 
Draw; 5/2; 9/4; 11/5; 11/5; 119/0; 12/5; 9/4; 11/5; 23/10; 11/5; 12/5; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 9/4; 12/5; 9/4; 21/10; 19/10; 23/10
META; english/championship/burton-v-bolton; 2018-04-22 22:19:11 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Burton; 13/10; 11/8; 5/4; 147/00; 6/4; 7/5; 7/5; 7/5; 27/20; 11/8; 29/20; 7/5; 29/20; 7/5; 11/8; 23/17; 17/13; 11/8; 11/8; 7/5; 7/5; 23/20; 7/5; 
