META; english/championship/barnsley-v-norwich; 2018-02-24 22:19:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; ; 3/2; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; 5/4; ; 6/5; ; 8/11; ; 
Barnsley; ; 17/10; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 11/5; ; ; ; 7/5; ; 
Draw; ; 12/5; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 12/5; ; 9/4; ; 2; ; 
META; english/championship/barnsley-v-norwich; 2018-02-25 02:19:06 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; ; 3/2; ; ; ; ; 13/10; 11/10; 6/5; ; ; 5/4; ; ; ; 11/8; 15/13; ; ; 6/5; ; 5/4; ; 6/5; ; 20/21; ; 
Barnsley; ; 17/10; ; ; ; ; 2; 21/10; 23/10; ; ; 11/5; ; ; ; 19/10; 11/5; ; ; 9/4; ; 11/5; ; 9/4; ; 7/4; ; 
Draw; ; 12/5; ; ; ; ; 23/10; 23/10; 23/10; ; ; 23/10; ; ; ; 12/5; 9/4; ; ; 9/4; ; 12/5; ; 23/10; ; 19/10; ; 
META; english/championship/barnsley-v-norwich; 2018-02-25 10:19:10 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; 13/10; 3/2; ; ; ; ; 11/8; 6/5; 6/5; 13/10; 13/10; 5/4; ; ; 13/10; 13/10; 5/4; 13/10; ; 6/5; ; 13/10; ; 5/4; ; 10/11; ; 
Barnsley; 21/10; 17/10; ; ; ; ; 21/10; 21/10; 23/10; 21/10; 11/5; 11/5; ; ; 11/5; 21/10; 21/10; 21/10; ; 9/4; ; 85/40; ; 28/13; ; 7/4; ; 
Draw; 9/4; 12/5; ; ; ; ; 9/4; 21/10; 23/10; 21/10; 12/5; 9/4; ; ; 23/10; 23/10; 11/5; 11/5; ; 9/4; ; 12/5; ; 11/5; ; 19/10; ; 
META; english/championship/barnsley-v-norwich; 2018-02-25 14:19:40 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; 13/10; 7/5; 23/17; ; ; ; 11/8; 5/4; 6/5; 27/20; 11/8; 13/10; ; ; 13/10; 11/8; 13/10; 13/10; 24/19; 5/4; 13/10; 13/10; ; 13/10; ; 20/21; ; 
Barnsley; 21/10; 2; 11/5; ; ; ; 21/10; 2; 23/10; 21/10; 21/10; 9/4; ; ; 11/5; 21/10; 21/10; 21/10; 21/11; 28/13; 9/4; 9/4; 11/5; 21/10; ; 7/4; ; 
Draw; 9/4; 11/5; 21/10; ; ; ; 11/5; 21/10; 23/10; 21/10; 11/5; 21/10; ; ; 23/10; 11/5; 28/13; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; ; 19/10; ; 
META; english/championship/barnsley-v-norwich; 2018-02-25 18:19:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; 13/10; 7/5; 23/17; ; ; ; 11/8; 5/4; ; 27/20; 11/8; 13/10; 11/8; ; 13/10; 11/8; 13/10; 13/10; 24/19; 5/4; 13/10; 13/10; ; 13/10; ; 20/21; ; 11/8
Barnsley; 21/10; 2; 11/5; ; ; ; 21/10; 2; ; 21/10; 21/10; 9/4; 2; ; 11/5; 21/10; 28/13; 21/10; 21/11; 28/13; 9/4; 9/4; 11/5; 28/13; ; 7/4; ; 9/5
Draw; 9/4; 11/5; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 11/5; 21/10; 23/10; ; 23/10; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; ; 19/10; ; 21/10
META; english/championship/barnsley-v-norwich; 2018-02-25 22:19:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Norwich; 13/10; 7/5; 23/17; ; ; ; 11/8; 5/4; ; 27/20; 11/8; 13/10; 11/8; ; 13/10; 11/8; 13/10; 13/10; 24/19; 5/4; 13/10; 13/10; ; 13/10; ; 1; ; 11/8
Barnsley; 21/10; 2; 11/5; ; ; ; 21/10; 2; ; 21/10; 11/5; 23/10; 2; ; 11/5; 21/10; 21/10; 21/10; 21/11; 28/13; 9/4; 9/4; 11/5; 21/10; ; 9/5; ; 9/5
Draw; 9/4; 11/5; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 21/10; 2; 23/10; ; 23/10; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 9/4; ; 19/10; ; 21/10
META; english/championship/barnsley-v-norwich; 2018-02-26 02:19:17 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
