META; english/championship/reading-v-millwall; 2018-01-28 02:21:03 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Reading; ; 11/8; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 7/5; 23/20; ; ; 4/7; ; 
Millwall; ; 15/8; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 19/10; 47/20; ; ; 21/20; ; 
Draw; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 12/5; 12/5; ; ; 9/5; ; 
META; english/championship/reading-v-millwall; 2018-01-28 10:20:55 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Reading; ; 11/8; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 7/5; 23/20; ; ; 4/7; ; 
Millwall; ; 15/8; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 19/10; 47/20; ; ; 21/20; ; 
Draw; ; 12/5; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 12/5; 12/5; ; ; 9/5; ; 
META; english/championship/reading-v-millwall; 2018-01-28 14:21:23 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Reading; 5/4; 11/8; ; ; ; 13/10; 5/4; ; 11/10; ; 6/5; ; ; ; 13/10; 13/10; ; 15/13; ; ; 11/10; ; 5/4; 5/4; 15/13; ; 5/6; ; 
Millwall; 9/4; 15/8; ; ; ; 23/10; 11/5; ; 12/5; ; 9/4; ; ; ; 19/10; 11/5; ; 9/4; ; ; 40/17; ; 11/5; 9/4; 23/10; ; 17/10; ; 
Draw; 9/4; 12/5; ; ; ; 12/5; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; 23/10; ; 9/4; ; ; 40/17; ; 12/5; 9/4; 9/4; ; 9/5; ; 
META; english/championship/reading-v-millwall; 2018-01-28 18:20:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Reading; 5/4; 11/8; ; ; ; 13/10; 5/4; ; 11/10; ; 5/4; ; ; ; 13/10; 13/10; ; 6/5; ; ; 11/10; 13/10; 5/4; 5/4; 6/5; ; 23/20; ; 
Draw; 9/4; 12/5; ; ; ; 12/5; 9/4; ; 12/5; ; 9/4; ; ; ; 12/5; 23/10; ; 23/10; ; ; 40/17; 23/10; 12/5; 9/4; 23/10; ; 9/5; ; 
Millwall; 9/4; 15/8; ; ; ; 5/2; 11/5; ; 12/5; ; 11/5; ; ; ; 19/10; 21/10; ; 9/4; ; ; 40/17; 23/10; 11/5; 9/4; 23/10; ; 11/8; ; 
META; english/championship/reading-v-millwall; 2018-01-28 22:23:09 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Reading; 5/4; 11/8; ; ; ; 13/10; 5/4; ; 11/10; ; 5/4; ; ; ; 13/10; 13/10; ; 6/5; ; ; 11/10; 13/10; 13/10; 5/4; 6/5; ; 1; ; 
Millwall; 9/4; 15/8; ; ; ; 23/10; 11/5; ; 12/5; ; 11/5; ; ; ; 19/10; 21/10; ; 9/4; ; ; 40/17; 23/10; 11/5; 9/4; 23/10; ; 27/20; ; 
Draw; 9/4; 12/5; ; ; ; 5/2; 23/10; ; 12/5; ; 9/4; ; ; ; 12/5; 23/10; ; 23/10; ; ; 40/17; 23/10; 23/10; 9/4; 23/10; ; 9/5; ; 
