META; english/championship/hull-v-ipswich; 2017-11-05 02:21:45 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; ; 13/5; 5/2; 12/5; 12/5; ; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; 12/5; ; 5/2; 5/2; 13/5; 5/2; ; 21/10; 28/11; 13/5; 13/5; 27/10; 5/2; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-06 22:21:18 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 1; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 1; 1; 1; 11/10; 17/16; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; ; 13/5; 12/5; 12/5; 12/5; 121/ 50; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; ; ; 5/2; 5/2; 13/5; 5/2; 149/ 50; 21/10; 28/11; 13/5; 13/5; 27/10; 5/2; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-07 02:20:27 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 1; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 1; 1; 1; 11/10; 17/16; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; ; 13/5; 12/5; 12/5; 12/5; 121/ 50; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
Ipswich; 14/5; 5/2; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 12/5; 11/4; 5/2; ; ; 5/2; 5/2; 13/5; 5/2; 149/ 50; 21/10; 28/11; 13/5; 13/5; 27/10; 5/2; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-07 10:21:10 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 1; 21/20; 21/20; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 1; 1; 1; 109/ 100; 17/16; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 5/2; 5/2; 13/5; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; ; 13/5; 12/5; 12/5; 27/11; 121/ 50; 12/5; 27/11; 5/2; 5/2; 49/20; 27/11; ; ; ; 
