Cardiff; 10/11; 10/11; 19/20; 19/20; 10/11; 19/20; 37/40; 10/11; 19/20; 19/20; 19/20; 10/11; 10/11; 1; 1; 19/20; 19/20; 19/20; 1; 103/100; 15/16; 19/20; ; 10/11; 20/21; ; 10/11; ; 
Draw; 5/2; 5/2; 12/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 23/10; 23/10; 11/5; 49/20; 13/5; 5/2; 5/2; 12/5; ; 27/11; 5/2; 40/17; 27/11; ; 5/2; 23/10; ; 23/10; ; 
Sheffield Wednesday; 3; 29/10; 3; 3; 3; 14/5; 31/10; 3; 11/4; 3; 3; 3; 3; 16/5; 14/5; 31/10; 14/5; 27/10; 37/13; 63/20; 5/2; 27/10; ; 3; 29/10; ; 3; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-13 02:21:05 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 1; 21/20; 19/20; 1; 21/20; 21/20; 1; 19/20; 21/20; 21/20; 20/21; 1; 21/20; 1; 21/20; 19/20; 19/20; 1; 103/100; 39/40; 19/20; ; 21/20; 1; ; 21/20; ; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 9/4; 23/10; 23/10; 49/20; 13/5; 5/2; 5/2; 12/5; ; 12/5; 5/2; 40/17; 27/11; ; 12/5; 23/10; ; 9/4; ; 
Sheffield Wednesday; 5/2; 14/5; 14/5; 3; 11/4; 11/4; 14/5; 11/4; 11/4; 27/10; 11/4; 13/5; 11/4; 3; 14/5; 14/5; 14/5; 27/10; 14/5; 63/20; 40/17; 27/10; ; 14/5; 11/4; ; 13/5; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-13 10:21:29 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 21/20; 21/20; 19/20; 21/20; 21/20; 21/20; 11/10; 19/20; 21/20; 11/10; 1; 1; 23/20; 21/20; 21/20; 19/20; 19/20; 21/20; 103/100; 68/67; 19/20; ; 21/20; 21/20; ; 21/20; ; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 12/5; 23/10; 5/2; 9/4; 23/10; 9/4; 49/20; 5/2; 12/5; 5/2; 12/5; ; 12/5; 5/2; 23/10; 27/11; ; 12/5; 23/10; ; 23/10; ; 
Sheffield Wednesday; 5/2; 13/5; 11/4; 3; 13/5; 27/10; 11/4; 13/5; 11/4; 13/5; 27/10; 13/5; 11/4; 11/4; 11/4; 14/5; 14/5; 27/10; 27/10; 63/20; 23/10; 27/10; ; 14/5; 13/5; ; 5/2; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-13 14:21:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 21/20; 21/20; 23/20; 21/20; 21/20; 21/20; 1; 19/20; 11/10; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 19/20; 19/20; 21/20; 11/10; 68/67; 19/20; ; 11/10; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 5/2; 9/4; 9/4; 11/5; 47/20; 5/2; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 27/11; ; 12/5; 23/10; ; 23/10; 9/4; 12/5
Sheffield Wednesday; 5/2; 13/5; 14/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 29/10; 11/4; 27/10; 14/5; 27/10; 27/10; 143/50; 23/10; 27/10; ; 13/5; 13/5; ; 11/4; 13/5; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-13 18:21:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 1; 19/20; 11/10; 11/10; 21/20; 21/20; 23/20; 21/20; 11/10; 19/20; 19/20; 21/20; 11/10; 68/67; 19/20; ; 11/10; 21/20; ; 11/10; 21/20; 11/10
Draw; 12/5; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 5/2; 9/4; 9/4; 11/5; 47/20; 5/2; 12/5; 12/5; 12/5; ; 12/5; 5/2; 23/10; 27/11; ; 12/5; 23/10; ; 12/5; 9/4; 12/5
Sheffield Wednesday; 5/2; 13/5; 27/10; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 27/10; 11/4; 11/4; 27/10; 14/5; 27/10; 27/10; 143/50; 23/10; 27/10; ; 13/5; 13/5; ; 13/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-13 22:21:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 21/20; 11/10; 23/20; 21/20; 21/20; 21/20; 1; 19/20; 11/10; 11/10; 21/20; 21/20; 23/20; 21/20; 11/10; 19/20; 19/20; 21/20; 11/10; 68/67; 19/20; ; 11/10; 11/10; ; 11/10; 21/20; 11/10
