META; english/championship/burton-v-derby; 2018-04-08 10:20:56 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Derby; 10/11; 19/20; 1/2; 4/11
Draw; 23/10; 23/10; 19/10; 1/8
Burton; 3; 16/5; 13/10; 1/12
META; english/championship/burton-v-derby; 2018-04-08 14:21:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Derby; 5/6; 10/11; 9/10; 5/6; 10/11; 19/20; 4/7; 8/15
Draw; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; 2; 2/11
Burton; 10/3; 3; 16/5; 3; 31/10; 16/5; 7/4; 1/7
META; english/championship/burton-v-derby; 2018-04-08 18:21:14 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Derby; 5/6; 10/11; 20/23; 5/6; 11/13; 9/10; 10/11; 17/20; 5/6; 11/13; 20/23; 13/15; 8/11; 4/6
Draw; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 23/10; 5/2; 5/2; 27/11; 5/2; 5/2; 19/10; 2/9
Burton; 10/3; 3; 16/5; 3; 13/4; 10/3; 31/10; 16/5; 13/4; 16/5; 10/3; 33/10; 21/10; 2/11
META; english/championship/burton-v-derby; 2018-04-08 22:21:28 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Derby; 5/6; 10/11; 20/23; 5/6; 11/13; 9/10; 10/11; 17/20; 5/6; 11/13; 20/23; 13/15; 8/11; 8/11
Draw; 5/2; 23/10; 5/2; 23/10; 5/2; 13/5; 23/10; 5/2; 5/2; 27/11; 5/2; 5/2; 19/10; 1/4
Burton; 10/3; 3; 16/5; 3; 13/4; 10/3; 31/10; 16/5; 13/4; 16/5; 10/3; 33/10; 21/10; 2/9
META; english/championship/burton-v-derby; 2018-04-09 02:21:19 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Derby; 5/6; 10/11; 20/23; 5/6; 11/13; 17/20; 20/23; 10/11; 17/20; 5/6; 11/13; 20/23; 13/15; 8/11; 5/6
Draw; 5/2; 23/10; 5/2; 23/10; 5/2; 5/2; 12/5; 23/10; 5/2; 5/2; 27/11; 5/2; 5/2; 19/10; 9/4
Burton; 10/3; 3; 16/5; 3; 13/4; 10/3; 16/5; 31/10; 16/5; 13/4; 16/5; 10/3; 33/10; 21/10; 3
