META; english/championship/ipswich-v-hull; 2018-02-24 22:19:43 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; ; 3/2; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Hull; ; 17/10; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/ipswich-v-hull; 2018-02-25 02:19:18 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; ; 3/2; ; ; ; ; ; 5/6; 1; ; ; ; ; ; ; ; ; ; ; 39/40; ; ; ; ; ; 5/6; ; 
Draw; ; 12/5; ; ; ; ; ; 9/4; 40/17; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; 19/10; ; 
Hull; ; 17/10; ; ; ; ; ; 11/4; 56/19; ; ; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; 2; ; 
META; english/championship/ipswich-v-hull; 2018-02-25 10:19:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 11/8; 3/2; ; ; ; ; 11/8; 5/4; 23/17; 13/10; 13/10; 13/10; ; ; 11/8; 11/8; 23/17; 23/17; ; 4/3; ; 11/8; ; 23/17; ; 6/5; ; 
Hull; 21/10; 7/4; ; ; ; ; 21/10; 2; 11/5; 11/5; 21/10; 11/5; ; ; 21/10; 21/10; 39/19; 21/10; ; 28/13; ; 85/40; ; 21/10; ; 7/5; ; 
Draw; 21/10; 23/10; ; ; ; ; 11/5; 11/5; 11/5; 21/10; 12/5; 11/5; ; ; 9/4; 9/4; 21/10; 21/10; ; 28/13; ; 9/4; ; 21/10; ; 19/10; ; 
META; english/championship/ipswich-v-hull; 2018-02-25 14:19:53 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 11/8; 6/4; 16/11; ; ; ; 6/4; 7/5; 11/8; 29/20; 29/20; 7/5; ; ; 7/5; 7/5; 7/5; 23/17; 15/11; 23/17; 7/5; 29/20; 7/5; 7/5; ; 27/20; ; 
Hull; 21/10; 15/8; 2; ; ; ; 2; 15/8; 21/10; 2; 2; 2; ; ; 21/10; 2; 37/19; 21/10; 30/17; 39/19; 2; 2; 2; 37/19; ; 6/4; ; 
Draw; 11/5; 9/4; 21/10; ; ; ; 11/5; 2; 9/4; 2; 21/10; 21/10; ; ; 11/5; 21/10; 28/13; 21/10; 11/5; 11/5; 11/5; 9/4; ; 28/13; ; 19/10; ; 
META; english/championship/ipswich-v-hull; 2018-02-25 18:19:51 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 11/8; 6/4; 16/11; ; ; ; 6/4; 7/5; 11/8; 29/20; 29/20; 7/5; 6/4; ; 7/5; 7/5; 7/5; 23/17; 15/11; 23/17; 7/5; 29/20; 7/5; 7/5; ; 27/20; ; 6/4
Hull; 21/10; 15/8; 2; ; ; ; 2; 15/8; 21/10; 2; 2; 2; 15/8; ; 21/10; 2; 2; 21/10; 30/17; 39/19; 2; 2; 2; 2; ; 7/5; ; 17/10
Draw; 11/5; 9/4; 21/10; ; ; ; 11/5; 2; 9/4; 2; 21/10; 21/10; 23/10; ; 11/5; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 9/4; ; 11/5; ; 19/10; ; 2
META; english/championship/ipswich-v-hull; 2018-02-25 22:19:51 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 11/8; 6/4; 16/11; ; ; ; 6/4; 7/5; 11/8; 29/20; 29/20; 7/5; 6/4; ; 6/4; 7/5; 16/11; 16/11; 15/11; 23/17; 7/5; 29/20; 7/5; 16/11; ; 7/5; ; 6/4
Hull; 21/10; 15/8; 2; ; ; ; 19/10; 15/8; 21/10; 2; 2; 2; 15/8; ; 19/10; 2; 37/19; 37/19; 30/17; 39/19; 2; 2; 2; 37/19; ; 9/5; ; 17/10
Draw; 11/5; 9/4; 21/10; ; ; ; 11/5; 2; 9/4; 2; 21/10; 21/10; 23/10; ; 9/4; 21/10; 28/13; 21/10; 11/5; 11/5; 11/5; 9/4; ; 11/5; ; 21/10; ; 21/10
META; english/championship/ipswich-v-hull; 2018-02-26 02:19:29 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 11/8; 6/4; 16/11; ; ; ; 6/4; 7/5; 11/8; 29/20; 29/20; 7/5; 6/4; ; 6/4; 7/5; 16/11; 16/11; 15/11; 23/17; 7/5; 29/20; 7/5; 16/11; ; 7/5; ; 6/4
Hull; 21/10; 15/8; 2; ; ; ; 19/10; 9/5; 21/10; 2; 2; 2; 15/8; ; 19/10; 2; 37/19; 37/19; 30/17; 39/19; 2; 2; 2; 37/19; ; 9/5; ; 17/10
Draw; 11/5; 9/4; 21/10; ; ; ; 11/5; 21/10; 9/4; 2; 21/10; 21/10; 23/10; ; 9/4; 21/10; 28/13; 21/10; 11/5; 11/5; 11/5; 9/4; ; 11/5; ; 21/10; ; 21/10
META; english/championship/ipswich-v-hull; 2018-02-26 10:19:30 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 29/20; 6/4; 6/4; 6/4; ; 6/4; 6/4; 7/5; 11/8; 29/20; 6/4; 7/5; 6/4; ; 6/4; 6/4; 16/11; 16/11; 15/11; 23/17; 7/5; 29/20; 29/20; 16/11; ; 7/5; ; 11/8
Hull; 19/10; 15/8; 2; 19/10; ; 19/10; 19/10; 9/5; 21/10; 19/10; 19/10; 2; 15/8; ; 19/10; 2; 19/10; 37/19; 30/17; 39/19; 2; 2; 39/20; 19/10; ; 7/4; ; 19/10
Draw; 11/5; 9/4; 21/10; 11/5; ; 23/10; 11/5; 21/10; 9/4; 2; 21/10; 21/10; 23/10; ; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 9/4; ; 11/5; ; 21/10; ; 21/10
META; english/championship/ipswich-v-hull; 2018-02-26 14:20:08 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 29/20; 6/4; 6/4; 6/4; 157/100; 6/4; 6/4; 7/5; 11/8; 29/20; 29/20; 7/5; 6/4; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 23/17; 29/20; 29/20; 6/4; ; 7/5; ; 6/4
Hull; 19/10; 15/8; 2; 19/10; 52/25; 19/10; 19/10; 9/5; 21/10; 19/10; 2; 2; 15/8; 2; 19/10; 19/10; 19/10; 37/19; 30/17; 39/19; 2; 39/20; 37/19; ; 19/10; ; 2
Draw; 11/5; 9/4; 21/10; 11/5; 113/50; 23/10; 21/10; 21/10; 9/4; 2; 21/10; 21/10; 23/10; 21/10; 9/4; 21/10; 28/13; 21/10; 11/5; 11/5; 9/4; ; 28/13; ; 21/10; ; 11/5
META; english/championship/ipswich-v-hull; 2018-02-26 18:20:03 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 29/20; 6/4; 6/4; 6/4; 157/100; 6/4; 6/4; 7/5; 6/4; 29/20; 29/20; 7/5; ; 31/20; 6/4; 6/4; 6/4; 16/11; 15/11; 31/21; 29/20; 29/20; 6/4; ; 7/5; 27/20; 6/4
Hull; 19/10; 15/8; 2; 19/10; 52/25; 19/10; 19/10; 9/5; 37/19; 19/10; 2; 2; ; 2; 19/10; 19/10; 19/10; 37/19; 30/17; 19/10; 2; 39/20; 37/19; ; 19/10; 9/5; 2
Draw; 11/5; 9/4; 21/10; 11/5; 113/50; 23/10; 21/10; 21/10; 11/5; 2; 21/10; 21/10; ; 21/10; 9/4; 21/10; 28/13; 21/10; 11/5; 28/13; 9/4; ; 28/13; ; 21/10; 2; 11/5
META; english/championship/ipswich-v-hull; 2018-02-26 22:20:00 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 29/20; 6/4; 6/4; 6/4; 157/100; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 7/5; ; 31/20; 6/4; 6/4; 23/17; 16/11; 15/11; 31/21; 29/20; 29/20; 23/17; ; 6/4; 27/20; 6/4
Hull; 19/10; 15/8; 2; 19/10; 52/25; 19/10; 19/10; 9/5; 37/19; 19/10; 2; 2; ; 2; 19/10; 19/10; 17/10; 37/19; 30/17; 19/10; 2; 39/20; 7/4; ; 19/10; 9/5; 2
Draw; 11/5; 9/4; 21/10; 11/5; 113/50; 23/10; 21/10; 21/10; 11/5; 2; 21/10; 21/10; ; 21/10; 9/4; 21/10; 19/10; 21/10; 11/5; 28/13; 9/4; ; 37/19; ; 21/10; 2; 11/5
META; english/championship/ipswich-v-hull; 2018-02-27 02:19:57 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Ipswich; 29/20; 6/4; 6/4; 6/4; 157/100; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 7/5; ; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 31/21; 29/20; 29/20; 16/11; ; 6/4; 27/20; 6/4
Hull; 19/10; 15/8; 2; 19/10; 2; 19/10; 19/10; 9/5; 37/19; 19/10; 2; 2; ; 2; 19/10; 19/10; 19/10; 37/19; 30/17; 19/10; 2; 39/20; 19/10; ; 19/10; 9/5; 2
