META; english/championship/qpr-v-wolves; 2017-10-21 22:23:32 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; ; ; ; ; ; 6/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
QPR; ; ; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/qpr-v-wolves; 2017-10-22 02:22:36 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; 6/5; ; ; ; ; 6/5; 11/10; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; 4/6; ; 
Wolves; 1; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 21/20; ; 21/20; 1; 1; 1; 21/20; 19/20; 1; 1; 1; 19/20; 21/20; ; 4/5; 20/21; 
Draw; 12/5; 5/2; 12/5; 11/5; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; ; 5/2; 12/5; 12/5; 12/5; 13/5; 12/5; 40/17; 5/2; 5/2; 5/2; 12/5; ; 23/10; 21/10; 
QPR; 11/4; 13/5; 27/10; 5/2; 11/4; 14/5; 11/4; 11/4; 11/4; 13/5; 11/4; 14/5; 13/5; ; 13/5; 13/5; 13/5; 13/5; 73/25; 12/5; 27/10; 14/5; 14/5; 14/5; 45/17; ; 12/5; 23/10; 
META; english/championship/qpr-v-wolves; 2017-10-23 18:22:18 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 1; 1; 21/20; 39/40; 1; 21/20; 1; 1; 21/20; ; 20/21; 20/21; 
Draw; 12/5; 5/2; 12/5; 11/5; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 13/5; 40/17; 27/11; 5/2; 5/2; 5/2; 27/11; ; 23/10; 21/10; 
QPR; 11/4; 13/5; 13/5; 5/2; 11/4; 14/5; 13/5; 11/4; 11/4; 13/5; 11/4; 14/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 73/25; 40/17; 27/10; 13/5; 27/10; 53/20; 45/17; ; 12/5; 9/4; 
META; english/championship/qpr-v-wolves; 2017-10-23 22:22:14 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 21/20; 1; 11/10; 1; 21/20; 21/20; 11/10; 1; 1; 21/20; 1; 11/10; ; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 68/67; 1; 11/10; 21/20; 21/20; 11/10; ; 20/21; 1; 
Draw; 12/5; 5/2; 23/10; 11/5; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; ; 12/5; 13/5; 12/5; 12/5; 12/5; 13/5; 40/17; 27/11; 5/2; 5/2; 49/20; 12/5; ; 23/10; 21/10; 
QPR; 13/5; 13/5; 5/2; 5/2; 11/4; 27/10; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; ; 13/5; 5/2; 13/5; 13/5; 27/11; 73/25; 23/10; 27/10; 5/2; 13/5; 5/2; 5/2; ; 12/5; 11/5; 
META; english/championship/qpr-v-wolves; 2017-10-24 02:21:59 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 21/20; 11/10; 11/10; 1; 21/20; 21/20; 21/20; 1; 11/10; 21/20; 1; 11/10; ; 11/10; 21/20; 11/10; 1; 21/20; 23/20; 68/67; 11/10; 11/10; 21/20; 21/20; 21/20; ; 5/6; 1; 
