META; english/championship/sheffield-utd-v-burton; 2018-02-24 22:19:51 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; ; 2/5; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; ; 7/2; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Burton; ; 7; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-02-25 02:19:25 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; ; 2/5; ; ; ; ; ; 1/3; 5/11; ; ; 2/5; ; ; ; ; 3/7; ; ; 5/11; ; 2/5; 21/50; 3/7; ; 3/10; ; 
Draw; ; 7/2; ; ; ; ; ; 16/5; 13/4; ; ; 10/3; ; ; ; ; 13/4; ; ; 16/5; ; 7/2; 10/3; 13/4; ; 21/10; ; 
Burton; ; 7; ; ; ; ; ; 7; 6; ; ; 15/2; ; ; ; ; 6; ; ; 23/4; ; 8; 7; 6; ; 23/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-02-25 10:19:30 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Sheffield Utd; 4/9; 2/5; ; ; ; ; 4/9; 1/3; 5/11; 2/5; 4/9; 2/5; ; ; 4/9; 2/5; 3/7; 4/9; ; 5/11; ; 2/5; 21/50; 3/7; ; 3/10; ; 
Draw; 3; 7/2; ; ; ; ; 16/5; 10/3; 13/4; 13/4; 10/3; 10/3; ; ; 100/30; 10/3; 31/10; 3; ; 16/5; ; 18/5; 10/3; 41/13; ; 27/10; ; 
Burton; 7; 7; ; ; ; ; 7; 13/2; 6; 7; 8; 15/2; ; ; 7; 15/2; 13/2; 7; ; 23/4; ; 15/2; 7; 13/2; ; 28/5; ; 
META; english/championship/sheffield-utd-v-burton; 2018-02-25 14:20:01 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
