Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; ; 12/5; 5/2; 5/2; 12/5; 12/5; 131/ 50; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; ; 9/4; ; 21/10
META; english/championship/qpr-v-bristol-city; 2017-12-18 14:20:05 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; ; 27/20; 13/10; 13/10; 6/5; 13/10; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; ; 41/20; 2; 21/10; 21/10; 2; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 19/10; 19/10; 
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; ; 12/5; 5/2; 5/2; 12/5; 12/5; 131/ 50; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 9/4; 12/5; 
META; english/championship/qpr-v-bristol-city; 2017-12-18 18:20:51 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; ; 27/20; 13/10; 13/10; 6/5; 5/4; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; ; 41/20; 2; 21/10; 21/10; 2; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 19/10; 19/10; 
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; ; 12/5; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 9/4; 9/4; 
META; english/championship/qpr-v-bristol-city; 2017-12-18 22:20:51 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 6/5; 5/4; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 2; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 19/10; 19/10; 
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 9/4; 9/4; 
META; english/championship/qpr-v-bristol-city; 2017-12-19 02:20:55 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 6/5; 5/4; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 2; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 19/10; 19/10; 
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 12/5; 12/5; 
META; english/championship/qpr-v-bristol-city; 2017-12-19 10:20:52 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 6/5; 5/4; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 2; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 9/5; 19/10; 
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 11/5; 12/5; 
META; english/championship/qpr-v-bristol-city; 2017-12-19 14:21:01 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 6/5; 13/10; 11/8; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; ; 13/10; 27/20; 11/8
QPR; 21/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; 41/20; 2; 2; 21/10; 37/19; 21/10; 7/4; 2; 2; 2; 21/10; 2; ; 9/5; 19/10; 2
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 27/11; ; 9/4; 12/5; 
META; english/championship/qpr-v-bristol-city; 2017-12-19 18:20:53 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 29/20; 7/5; 7/5; 13/10; 6/5; 7/5; 7/5; 11/8; 13/10; 29/20; 6/5; 29/20; 6/5; 29/20; 7/5; 7/5; 6/5; 7/5; 7/5; 15/11; 5/4; 7/5; 7/5; 7/5; 16/11; ; 13/10; 11/8; 7/5
QPR; 17/10; 9/5; 9/5; 2; 21/10; 19/10; 15/8; 15/8; 39/19; 15/8; 21/10; 7/4; 21/10; 37/20; 15/8; 19/10; 21/10; 24/13; 52/25; 12/7; 2; 15/8; 15/8; 9/5; 19/10; ; 7/5; 7/4; 19/10
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 129/ 50; 27/11; 5/2; 5/2; 5/2; 5/2; 27/11; ; 23/10; 23/10; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-19 22:21:01 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 29/20; 7/5; 7/5; 13/10; 6/5; 7/5; 7/5; 11/8; 13/10; 7/5; 6/5; 29/20; 6/5; 29/20; 7/5; 11/8; 6/5; 7/5; 71/50; 15/11; 5/4; 7/5; 7/5; 7/5; 16/11; ; 27/20; 27/20; 7/5
QPR; 17/10; 9/5; 28/15; 2; 21/10; 19/10; 15/8; 15/8; 39/19; 15/8; 21/10; 7/4; 21/10; 15/8; 15/8; 19/10; 21/10; 24/13; 41/20; 12/7; 2; 15/8; 15/8; 9/5; 19/10; ; 19/10; 19/10; 19/10
