META; english/championship/hull-v-barnsley; 2018-02-24 18:20:16 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 10/11; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; 19/20; 1; ; ; ; ; 1; ; 1; ; 8/11; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 12/5; ; 27/11; ; ; ; 
Barnsley; 3; ; ; ; ; ; 14/5; ; ; ; 3; ; ; ; ; 11/4; 37/13; ; ; ; ; 29/10; ; 37/13; ; 5/2; ; 
META; english/championship/hull-v-barnsley; 2018-02-24 22:19:21 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 10/11; 10/11; ; 1; 103/100; ; 1; 10/11; 1; ; 1; ; ; ; 1; ; 1; ; ; 1; 10/11; 1; 10/11; 1; ; 8/11; ; 
Draw; 12/5; 12/5; ; 23/10; 63/25; ; 12/5; 12/5; 12/5; ; 12/5; ; ; ; 5/2; ; 27/11; ; ; 40/17; 5/2; 12/5; 49/20; 27/11; ; 21/10; ; 
Barnsley; 3; 3; ; 12/5; 31/10; ; 29/10; 11/4; 11/4; ; 3; ; ; ; 14/5; 11/4; 29/10; ; ; 27/10; 3; 3; 3; 56/19; ; 5/2; ; 
META; english/championship/hull-v-barnsley; 2018-02-25 02:18:56 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 10/11; 10/11; ; 1; 103/100; ; 20/21; 10/11; 1; ; 1; 20/21; ; ; 1; ; 1; ; ; 1; 10/11; 1; 10/11; 1; ; 8/11; ; 
Draw; 12/5; 12/5; ; 23/10; 63/25; ; 12/5; 12/5; 12/5; ; 12/5; 23/10; ; ; 5/2; ; 12/5; ; ; 40/17; 5/2; 12/5; 49/20; 27/11; ; 21/10; ; 
Barnsley; 3; 3; ; 12/5; 31/10; ; 29/10; 11/4; 11/4; ; 3; 3; ; ; 14/5; 11/4; 29/10; ; ; 27/10; 3; 3; 3; 56/19; ; 5/2; ; 
META; english/championship/hull-v-barnsley; 2018-02-25 10:19:00 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Hull; 1; 10/11; ; 1; 26/25; ; 1; 10/11; 1; 1; 1; 20/21; ; 1; 1; ; 21/20; 1; ; 1; 1; 1; 10/11; 21/20; ; 8/11; ; 
