Draw; 11/5; 11/5; 21/10; 11/5; 58/25; 9/4; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 9/4; 43/20; 21/10; 11/5; 21/10; 28/13; 21/10; 40/17; 11/5; 9/4; 23/10; 21/10; 28/13; ; 21/10; 15/8; 11/5
META; english/championship/sunderland-v-hull; 2018-01-15 22:21:39 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 17/11; 6/4; 33/20; 13/8; 8/5; 8/5; 17/11; 31/20; 8/5; 8/5; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 13/9; 6/4; 8/5; 31/20; 8/5; 17/11; ; 6/4; 7/5; 13/8
Sunderland; 15/8; 15/8; 9/5; 15/8; 193/100; 9/5; 9/5; 9/5; 19/10; 9/5; 9/5; 9/5; 15/8; 37/20; 19/10; 15/8; 7/4; 24/13; 7/4; 17/10; 24/13; 15/8; 9/5; 37/20; 24/13; ; 17/10; 17/10; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 58/25; 9/4; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 40/17; 11/5; 11/5; 23/10; 21/10; 28/13; ; 21/10; 15/8; 11/5
META; english/championship/sunderland-v-hull; 2018-01-16 02:21:06 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 17/11; 6/4; 83/50; 13/8; 8/5; 8/5; 17/11; 31/20; 8/5; 31/20; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 13/9; 6/4; 8/5; 31/20; 8/5; 17/11; ; 6/4; 7/5; 13/8
Sunderland; 15/8; 9/5; 9/5; 15/8; 193/100; 9/5; 15/8; 9/5; 19/10; 9/5; 9/5; 9/5; 9/5; 37/20; 19/10; 9/5; 7/4; 24/13; 7/4; 17/10; 24/13; 15/8; 9/5; 37/20; 24/13; ; 9/5; 17/10; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 9/4; 43/20; 21/10; 11/5; 21/10; 21/10; 21/10; 40/17; 11/5; 11/5; 23/10; 21/10; 28/13; ; 21/10; 9/5; 11/5
META; english/championship/sunderland-v-hull; 2018-01-16 10:21:50 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 17/11; 6/4; 83/50; 13/8; 8/5; 8/5; 19/12; 31/20; 8/5; 31/20; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 13/9; 17/11; 8/5; 31/20; 8/5; 17/11; ; 6/4; 7/5; 13/8
Sunderland; 15/8; 9/5; 9/5; 15/8; 193/100; 9/5; 15/8; 9/5; 19/10; 9/5; 9/5; 9/5; 9/5; 37/20; 19/10; 9/5; 7/4; 24/13; 7/4; 17/10; 24/13; 15/8; 9/5; 37/20; 24/13; ; 9/5; 17/10; 19/10
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; 43/20; 21/10; 11/5; 21/10; 21/10; 21/10; 40/17; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 9/5; 11/5
META; english/championship/sunderland-v-hull; 2018-01-16 14:23:55 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 17/11; 6/4; 83/50; 13/8; 8/5; 8/5; 19/12; 8/5; 8/5; 31/20; 17/10; 8/5; 8/5; 6/4; 8/5; 17/11; 8/5; 13/9; 17/11; 8/5; 31/20; 8/5; 17/11; ; 6/4; 7/5; 13/8
