META; english/championship/sunderland-v-fulham; 2017-12-10 18:22:46 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; ; 11/8; ; ; ; 19/10; 7/4; 9/5; 9/5; ; 9/5; 9/5; ; ; ; 15/8; ; 7/4; ; 13/8; 9/5; 15/8; 9/5; 15/8; 7/4; ; 11/8; ; 
Sunderland; ; 19/10; ; ; ; 31/20; 6/4; 7/5; 16/11; 29/20; 29/20; 29/20; ; ; ; 6/4; ; 6/4; ; 4/3; 16/11; 6/4; 6/4; 7/5; 6/4; ; 7/5; ; 
Draw; ; 12/5; ; ; ; 5/2; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; ; ; ; 12/5; ; 40/17; ; 27/11; 40/17; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 
META; english/championship/sunderland-v-fulham; 2017-12-10 22:21:11 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; ; 11/8; 7/5; 11/8; ; 31/20; 7/5; 6/4; 23/17; 7/5; 9/5; 11/8; ; ; 6/4; 7/5; ; 23/17; ; 23/17; 23/17; 7/5; 29/20; 11/8; 23/17; ; 5/4; ; 
Sunderland; ; 19/10; 28/15; 19/10; ; 19/10; 15/8; 9/5; 19/10; 9/5; 29/20; 19/10; ; ; 9/5; 19/10; ; 19/10; ; 28/17; 19/10; 15/8; 15/8; 19/10; 37/19; ; 7/5; ; 
Draw; ; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; 12/5; ; 40/17; ; 40/17; 40/17; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
META; english/championship/sunderland-v-fulham; 2017-12-11 02:19:55 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 8/5; 11/8; 7/5; 11/8; ; 31/20; 7/5; 6/4; 23/17; 7/5; 6/4; 11/8; ; ; 6/4; 7/5; ; 7/5; ; 23/17; 23/17; 6/4; 29/20; 29/20; 7/5; ; 13/10; ; 
Sunderland; 17/10; 19/10; 28/15; 19/10; ; 19/10; 15/8; 9/5; 19/10; 9/5; 7/4; 19/10; ; ; 9/5; 15/8; ; 24/13; ; 28/17; 19/10; 15/8; 15/8; 37/20; 19/10; ; 13/8; ; 
Draw; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; ; ; 12/5; 12/5; ; 23/10; ; 40/17; 40/17; 12/5; 12/5; 47/20; 40/17; ; 9/4; ; 
META; english/championship/sunderland-v-fulham; 2017-12-11 10:19:52 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 8/5; 11/8; 6/4; 11/8; ; 31/20; 6/4; 6/4; 23/17; 29/20; 6/4; 29/20; ; ; 6/4; 6/4; ; 6/4; ; 23/17; 23/17; 6/4; 6/4; 6/4; 6/4; ; 13/10; ; 
Sunderland; 17/10; 19/10; 7/4; 19/10; ; 19/10; 9/5; 9/5; 19/10; 7/4; 7/4; 15/8; ; ; 9/5; 9/5; ; 9/5; ; 28/17; 19/10; 9/5; 9/5; 7/4; 9/5; ; 13/8; ; 
Draw; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; ; ; 12/5; 12/5; ; 23/10; ; 40/17; 40/17; 12/5; 12/5; 47/20; 23/10; ; 21/10; ; 
META; english/championship/sunderland-v-fulham; 2017-12-11 14:20:28 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 8/5; 11/8; 16/11; 11/8; ; 31/20; 6/4; 6/4; 23/17; 7/5; 6/4; 29/20; ; 29/20; 6/4; 6/4; ; 16/11; ; 23/17; 23/17; 6/4; 29/20; 6/4; 16/11; ; 13/10; 13/10; 
Sunderland; 17/10; 19/10; 9/5; 19/10; ; 19/10; 9/5; 9/5; 19/10; 9/5; 7/4; 15/8; ; 37/20; 9/5; 9/5; ; 9/5; ; 28/17; 19/10; 9/5; 15/8; 7/4; 9/5; ; 7/4; 7/4; 
Draw; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; ; ; 12/5; 12/5; ; 40/17; ; 40/17; 40/17; 12/5; 12/5; 47/20; 40/17; ; 21/10; 21/10; 
META; english/championship/sunderland-v-fulham; 2017-12-11 18:20:42 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 8/5; 11/8; 16/11; 11/8; ; 31/20; 6/4; 6/4; 10/7; ; 6/4; 29/20; ; 29/20; 6/4; 6/4; ; 16/11; 31/20; 23/17; 7/5; 6/4; 29/20; 6/4; 16/11; ; 11/8; 27/20; 7/5
Sunderland; 17/10; 19/10; 9/5; 19/10; ; 19/10; 9/5; 9/5; 15/8; ; 7/4; 15/8; ; 37/20; 9/5; 15/8; ; 9/5; 39/20; 28/17; 24/13; 9/5; 15/8; 7/4; 9/5; ; 7/4; 17/10; 19/10
Draw; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 27/11; ; 12/5; 23/10; ; ; 12/5; 12/5; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 21/10; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-11 22:21:06 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 8/5; 11/8; 7/5; 11/8; ; 31/20; 6/4; 6/4; 10/7; ; 6/4; 29/20; ; 29/20; 6/4; 6/4; ; 16/11; 31/20; 23/17; 7/5; 6/4; 29/20; 6/4; 16/11; ; 27/20; 13/10; 7/5
Sunderland; 17/10; 19/10; 28/15; 19/10; ; 19/10; 9/5; 9/5; 15/8; ; 7/4; 15/8; ; 15/8; 9/5; 15/8; ; 9/5; 39/20; 28/17; 24/13; 9/5; 15/8; 7/4; 9/5; ; 13/8; 7/4; 19/10
Draw; 9/4; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 27/11; ; 12/5; 23/10; ; ; 12/5; 12/5; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 11/5; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-12 02:20:55 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 11/8; 7/5; 11/8; ; 31/20; 29/20; 6/4; 10/7; ; 6/4; 29/20; ; 29/20; 6/4; 7/5; ; 7/5; 31/20; 23/17; 7/5; 7/5; 29/20; 7/5; 7/5; ; 11/8; 13/10; 7/5
Sunderland; 19/10; 19/10; 28/15; 19/10; ; 19/10; 15/8; 9/5; 15/8; ; 7/4; 15/8; ; 15/8; 9/5; 19/10; ; 24/13; 39/20; 28/17; 24/13; 15/8; 15/8; 19/10; 24/13; ; 7/4; 7/4; 19/10
Draw; 23/10; 12/5; ; 12/5; ; 12/5; 23/10; 23/10; 27/11; ; 12/5; 23/10; ; ; 12/5; 5/2; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 11/5; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-12 10:21:14 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 11/8; 7/5; ; ; 31/20; 29/20; 6/4; 10/7; ; 6/4; 29/20; ; 29/20; 6/4; 7/5; ; 7/5; 31/20; 23/17; 7/5; 7/5; 29/20; 7/5; 7/5; ; 11/8; 13/10; 
Sunderland; 19/10; 19/10; 28/15; ; ; 19/10; 15/8; 9/5; 15/8; ; 7/4; 9/5; ; 15/8; 9/5; 19/10; ; 24/13; 39/20; 28/17; 24/13; 15/8; 19/10; 19/10; 24/13; ; 7/4; 7/4; 
Draw; 23/10; 12/5; ; ; ; 12/5; 23/10; 23/10; 27/11; ; 12/5; 12/5; ; ; 12/5; 5/2; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 11/5; 21/10; 
META; english/championship/sunderland-v-fulham; 2017-12-12 14:21:48 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 7/5; ; ; ; 29/20; ; 10/7; ; 6/4; 29/20; ; 29/20; 6/4; ; ; 7/5; 31/20; 23/17; 7/5; 7/5; 29/20; 7/5; 7/5; ; 11/8; ; 7/5
Sunderland; 2; 19/10; 28/15; ; ; ; 15/8; ; 15/8; ; 7/4; 15/8; ; ; 9/5; ; ; 24/13; 39/20; 28/17; 24/13; 15/8; 15/8; 19/10; 24/13; ; 7/4; ; 19/10
Draw; 23/10; 12/5; ; ; ; ; 23/10; ; 27/11; 12/5; 12/5; 23/10; ; ; 12/5; ; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; 11/5; ; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-12 18:22:45 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 26/19; ; ; 29/20; 7/5; 7/5; 10/7; 11/8; 6/4; 7/5; ; 29/20; 7/5; 7/5; ; 23/17; 31/20; 23/17; 7/5; 7/5; 29/20; 11/8; 7/5; ; ; 27/20; 7/5
Sunderland; 2; 19/10; 19/10; ; ; 9/5; 19/10; 9/5; 15/8; 19/10; 7/4; 19/10; ; 19/10; 19/10; 19/10; ; 19/10; 39/20; 28/17; 24/13; 2; 15/8; 39/20; 19/10; ; ; 9/5; 19/10
Draw; 23/10; 12/5; ; ; ; 23/10; 12/5; 23/10; 27/11; 12/5; 12/5; 23/10; ; ; 5/2; 5/2; ; 40/17; 49/20; 40/17; 12/5; 12/5; 12/5; 47/20; 40/17; ; ; 21/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-12 22:23:09 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 27/20; 11/8; 26/19; 11/8; ; 29/20; 7/5; 7/5; 10/7; 11/8; 6/4; 11/8; 6/5; 29/20; 7/5; 7/5; ; 23/17; 31/20; 23/17; 7/5; 7/5; 29/20; 11/8; 7/5; ; ; 13/10; 7/5
Sunderland; 2; 19/10; 19/10; 19/10; ; 9/5; 19/10; 9/5; 15/8; 19/10; 7/4; 15/8; 21/10; 19/10; 19/10; 19/10; ; 19/10; 39/20; 28/17; 24/13; 2; 15/8; 39/20; 19/10; ; ; 9/5; 19/10
