META; english/championship/aston-villa-v-burton; 2018-01-28 02:20:45 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/5; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 2/5; ; ; 1/4; ; 
Draw; ; 7/2; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; 16/5; ; ; 2; ; 
Burton; ; 7; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; 10/3; ; 
META; english/championship/aston-villa-v-burton; 2018-01-28 10:20:37 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/5; ; ; ; ; ; ; 2/5; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; ; 2/5; ; ; 2/13; ; 
Draw; ; 7/2; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; 16/5; ; ; 2; ; 
Burton; ; 7; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 8; ; ; 10/3; ; 
META; english/championship/aston-villa-v-burton; 2018-01-28 14:21:04 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/5; ; ; ; ; ; ; 2/5; ; ; ; ; ; 4/9; ; ; ; ; ; 2/5; ; ; 2/5; ; ; 2/11; ; 
Draw; ; 7/2; ; ; ; ; ; ; 13/4; ; ; ; ; ; 100/ 30; ; ; ; ; ; 16/5; ; ; 16/5; ; ; 2; ; 
Burton; ; 7; ; ; ; ; ; ; 7; ; ; ; ; ; 11/2; ; ; ; ; ; 7; ; ; 8; ; ; 7/2; ; 
META; english/championship/aston-villa-v-burton; 2018-01-28 18:20:19 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/5; ; ; ; ; ; ; 2/5; ; ; ; ; ; 4/9; ; ; ; ; ; 2/5; 4/9; ; 2/5; ; ; 1/4; ; 
Draw; ; 7/2; ; ; ; ; ; ; 13/4; ; ; ; ; ; 100/ 30; ; ; ; ; ; 16/5; 7/2; ; 16/5; ; ; 2; ; 
Burton; ; 7; ; ; ; ; ; ; 7; ; ; ; ; ; 11/2; ; ; ; ; ; 7; 15/2; ; 8; ; ; 7/2; ; 
META; english/championship/aston-villa-v-burton; 2018-01-28 22:22:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Aston Villa; ; 2/5; ; ; ; 4/9; 2/5; ; 2/5; ; 2/5; ; ; ; 4/9; 2/5; ; ; ; ; 2/5; 4/9; 2/5; 2/5; ; ; 1/4; ; 
Draw; ; 7/2; ; ; ; 7/2; 10/3; ; 13/4; ; 16/5; ; ; ; 100/ 30; 7/2; ; ; ; ; 16/5; 7/2; 7/2; 16/5; ; ; 2; ; 
Burton; ; 7; ; ; ; 8; 15/2; ; 7; ; 15/2; ; ; ; 11/2; 15/2; ; ; ; ; 7; 15/2; 8; 8; ; ; 5; ; 
META; english/championship/aston-villa-v-burton; 2018-01-29 02:19:48 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
