META; english/championship/norwich-v-middlesbrough; 2018-01-28 02:20:55 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; ; 3/2; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 31/20; 13/10; ; ; 4/6; ; 
Middlesbrough; ; 7/4; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 2; ; 9/5; 2; ; ; 20/21; ; 
Draw; ; 23/10; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 23/10; 12/5; ; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-28 10:20:47 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; ; 3/2; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 31/20; 13/10; ; ; 10/11; ; 
Middlesbrough; ; 7/4; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 2; ; 9/5; 2; ; ; 17/10; ; 
Draw; ; 23/10; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; 23/10; 12/5; ; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-28 14:21:15 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 6/4; 3/2; ; ; ; 31/20; 6/4; ; 13/10; ; 29/20; ; ; ; 6/4; 6/4; ; 7/5; ; ; 13/10; ; 6/4; 6/4; 7/5; ; 5/6; ; 
Middlesbrough; 7/4; 7/4; ; ; ; 2; 9/5; ; 2; ; 15/8; ; ; ; 17/10; 15/8; ; 9/5; ; ; 2; ; 15/8; 7/4; 24/13; ; 1/4; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; ; 12/5; ; 11/5; ; ; ; 23/10; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 47/20; 23/10; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-28 18:20:36 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 6/4; 3/2; ; ; ; 31/20; 6/4; ; 13/10; ; 29/20; ; ; ; 6/4; 6/4; ; 7/5; ; ; 13/10; 6/4; 6/4; 6/4; 16/11; ; 20/21; ; 
Middlesbrough; 7/4; 7/4; ; ; ; 2; 15/8; ; 2; ; 15/8; ; ; ; 17/10; 15/8; ; 24/13; ; ; 2; 9/5; 15/8; 7/4; 24/13; ; 1/4; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; ; 12/5; ; 11/5; ; ; ; 23/10; 23/10; ; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-28 22:23:01 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 6/4; 3/2; ; ; ; 31/20; 6/4; ; 13/10; ; 29/20; ; ; ; 6/4; 6/4; ; 7/5; ; ; 13/10; 6/4; 6/4; 6/4; 16/11; ; 20/21; ; 
Middlesbrough; 7/4; 7/4; ; ; ; 2; 9/5; ; 2; ; 15/8; ; ; ; 17/10; 15/8; ; 24/13; ; ; 2; 9/5; 15/8; 7/4; 24/13; ; 1/4; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; ; 12/5; ; 9/4; ; ; ; 23/10; 23/10; ; 40/17; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-29 02:19:58 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 6/4; 3/2; ; ; ; 31/20; 6/4; ; 13/10; ; 29/20; ; ; ; 6/4; 6/4; ; 7/5; ; ; 13/10; 6/4; 31/20; 6/4; 16/11; ; 21/20; ; 
Middlesbrough; 7/4; 7/4; ; ; ; 2; 9/5; ; 2; ; 9/5; ; ; ; 17/10; 9/5; ; 24/13; ; ; 2; 9/5; 9/5; 7/4; 24/13; ; 11/8; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; ; 12/5; ; 23/10; ; ; ; 23/10; 12/5; ; 40/17; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-29 10:19:53 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 6/4; 3/2; ; ; ; 31/20; 6/4; ; 13/10; ; 6/4; ; ; ; 6/4; 6/4; 6/4; 7/5; 6/4; ; 13/10; 6/4; 31/20; 6/4; 16/11; ; 11/8; ; 
Middlesbrough; 7/4; 7/4; ; ; ; 2; 9/5; ; 2; ; 9/5; ; ; ; 17/10; 9/5; 17/10; 24/13; 17/10; ; 2; 9/5; 9/5; 7/4; 24/13; ; 7/5; ; 
Draw; 23/10; 23/10; ; ; ; 12/5; 23/10; ; 12/5; ; 9/4; ; ; ; 23/10; 12/5; 23/10; 23/10; 23/10; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 19/10; ; 
META; english/championship/norwich-v-middlesbrough; 2018-01-29 14:20:34 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Norwich; 11/8; 6/4; 16/11; ; 31/20; 29/20; 7/5; ; 13/10; 29/20; 29/20; ; ; 6/4; 6/4; 7/5; 6/4; 23/17; 6/4; ; 13/10; 6/4; 6/4; 6/4; 23/17; ; 11/8; ; 
