META; english/championship/birmingham-v-nottingham-forest; 2017-11-05 02:21:40 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 7/5; 7/5; 6/4; ; 11/8; ; ; 7/5; 23/17; 29/20; 11/8; 29/20; ; ; 6/4; 7/5; 13/10; 16/11; ; 23/17; 4/3; 7/5; 6/4; ; 16/11; ; ; ; 
Nottingham Forest; 19/10; 19/10; 7/4; ; 21/10; ; ; 15/8; 2; 7/4; 21/10; 19/10; ; ; 9/5; 19/10; 2; 9/5; ; 17/10; 37/19; 15/8; 15/8; ; 9/5; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; ; 23/10; 27/11; 9/4; 12/5; 23/10; ; ; 12/5; 12/5; 23/10; 9/4; ; 23/10; 12/5; 12/5; 12/5; ; 23/10; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-06 14:21:24 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 7/5; 17/11; 8/5; 6/4; ; ; 7/5; 23/17; 31/20; 11/8; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; ; 23/17; 4/3; 6/4; 6/4; ; ; ; ; ; 
Nottingham Forest; 7/4; 19/10; 17/10; 17/10; 19/10; ; ; 15/8; 2; 17/10; 21/10; 7/4; ; ; 9/5; 9/5; 9/5; 17/10; ; 17/10; 37/19; 9/5; 15/8; ; ; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 27/11; 9/4; 12/5; 23/10; ; ; 12/5; 23/10; 9/4; 9/4; ; 23/10; 12/5; 12/5; 12/5; ; ; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-06 18:21:08 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 23/17; 31/20; 11/8; 31/20; 6/4; ; 6/4; 6/4; 16/11; 6/4; ; 25/18; 4/3; 6/4; 31/20; 6/4; 6/4; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 2; 17/10; 21/10; 7/4; 7/4; ; 9/5; 9/5; 9/5; 17/10; ; 28/17; 37/19; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 27/11; 9/4; 12/5; 23/10; 12/5; ; 12/5; 23/10; 9/4; 9/4; ; 23/10; 12/5; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-06 22:21:13 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 8/5; 31/20; 11/8; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; 83/50; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 17/10; 17/10; 21/10; 7/4; ; ; 9/5; 17/10; 9/5; 17/10; 15/8; 28/17; 28/17; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; ; 12/5; 9/4; 9/4; 9/4; 119/ 50; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-07 02:20:22 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 8/5; 31/20; 11/8; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; 83/50; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 17/10; 17/10; 21/10; 7/4; ; ; 9/5; 17/10; 9/5; 17/10; 15/8; 28/17; 28/17; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; ; 12/5; 9/4; 9/4; 9/4; 119/ 50; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-07 10:21:05 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 8/5; 31/20; 11/8; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; 83/50; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 17/10; 17/10; 21/10; 7/4; ; ; 9/5; 17/10; 9/5; 17/10; 15/8; 28/17; 28/17; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; ; 12/5; 9/4; 9/4; 9/4; 119/ 50; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-07 14:21:32 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 31/20; ; ; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; ; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; ; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-07 18:21:07 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; 8/5; 6/4; ; ; 7/5; 17/11; 31/20; 11/8; 31/20; ; ; 6/4; 7/5; 16/11; 6/4; 13/8; 25/18; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; 17/10; 19/10; ; ; 15/8; 7/4; 17/10; 21/10; 7/4; ; ; 9/5; 7/4; 9/5; 17/10; 93/50; 28/17; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; 23/10; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 23/10; ; ; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-07 22:21:14 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
