META; english/championship/derby-v-barnsley; 2018-04-29 10:19:09 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 5/8; 8/15; 11/17; 4/7; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 11/17; 4/9
Draw; 11/4; 11/4; 11/4; 11/4; 11/4; 3; 29/10; 14/5; 3; 45/17; 27/10; 3; 27/10; 19/10
Barnsley; 9/2; 9/2; 4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 43/10; 41/10; 9/2; 74/17; 7/2
META; english/championship/derby-v-barnsley; 2018-04-29 14:19:47 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/15; 4/7; 8/13; 3/5; 8/15; 3/5; 4/7; 8/13; 6/10; 8/13; 8/13; 8/13; 10/17; 3/5; 6/11; 3/5; 13/20; 10/17; 4/9
Draw; 3; 14/5; 14/5; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 11/4; 3; 29/10; 11/4; 37/13; 19/10; 
Barnsley; 11/2; 5; 19/5; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 50/11; 9/2; 39/10; 43/10; 19/4; 23/5; 7/2
META; english/championship/derby-v-barnsley; 2018-04-29 18:19:26 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/15; 4/7; 8/13; 8/13; 3/5; 8/15; 3/5; 4/7; 8/13; 6/10; 8/13; 8/13; 8/13; 10/17; 3/5; 6/11; 3/5; 13/20; 11/18; 4/9
Draw; 3; 14/5; 14/5; 31/10; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 3; 37/13; 11/4; 3; 29/10; 11/4; 29/10; 19/10; 
Barnsley; 11/2; 5; 19/5; 27/5; 19/4; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 79/17; 9/2; 39/10; 43/10; 19/4; 47/10; 7/2
META; english/championship/derby-v-barnsley; 2018-04-29 22:19:15 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/15; 4/7; 8/13; 8/13; 3/5; 8/15; 3/5; 4/7; 8/13; 6/10; 13/20; 8/13; 8/13; 11/18; 3/5; 6/11; 3/5; 13/20; 11/18; 4/9
Draw; 3; 14/5; 14/5; 31/10; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 3; 37/13; 11/4; 3; 29/10; 11/4; 37/13; 19/10; 
Barnsley; 11/2; 5; 19/5; 27/5; 19/4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 79/17; 9/2; 39/10; 43/10; 9/2; 47/10; 7/2
META; english/championship/derby-v-barnsley; 2018-04-30 02:19:00 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/15; 4/7; 8/13; 8/13; 3/5; 8/15; 3/5; 4/7; 8/13; 6/10; 13/20; 8/13; 8/13; 11/18; 3/5; 6/11; 3/5; 13/20; 11/18; 4/9
Draw; 3; 14/5; 14/5; 31/10; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 3; 37/13; 11/4; 3; 29/10; 11/4; 29/10; 19/10; 
Barnsley; 11/2; 5; 19/5; 27/5; 19/4; 9/2; 9/2; 9/2; 4; 17/4; 17/4; 9/2; 9/2; 79/17; 9/2; 39/10; 43/10; 9/2; 47/10; 7/2
META; english/championship/derby-v-barnsley; 2018-04-30 10:19:06 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/15; 4/7; 8/13; 8/13; 4/7; 3/5; 8/15; 3/5; 4/7; 8/13; 6/10; 8/13; 8/13; 8/13; 11/18; 3/5; 6/11; 3/5; 4/6; 11/18; 8/15
Draw; 3; 14/5; 14/5; 31/10; 3; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 16/5; 3; 37/13; 11/4; 3; 29/10; 11/4; 29/10; 11/4
Barnsley; 11/2; 5; 19/5; 27/5; 5; 9/2; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 19/4; 9/2; 79/17; 9/2; 39/10; 43/10; 9/2; 47/10; 9/2
META; english/championship/derby-v-barnsley; 2018-04-30 14:19:42 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 4/7; 4/7; 8/13; 17/25; 8/13; 5/8; 8/15; 3/5; 3/5; 8/13; 6/10; 13/20; 8/13; 8/13; 8/13; 3/5; 6/11; 3/5; 13/20; 8/13; 4/7; 4/7; 4/6
Draw; 14/5; 14/5; 14/5; 61/20; 3; 29/10; 11/4; 3; 11/4; 14/5; 3; 29/10; 16/5; 14/5; 37/13; 11/4; 3; 29/10; 11/4; 29/10; 11/4; 11/4; 3
Barnsley; 5; 19/5; 23/5; 9/2; 17/4; 4; 9/2; 4; 17/4; 17/4; 19/4; 9/2; 74/17; 9/2; 39/10; 43/10; 19/4; 22/5; 4; 22/5; 9/2; ; 
META; english/championship/derby-v-barnsley; 2018-04-30 18:19:42 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 4/7; 4/7; 4/6; 8/13; 67/00; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 11/18; 3/5; 11/17; 3/5; 4/6; 8/13; 4/7; 4/7; 8/13; 8/13
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 14/5; 11/4; 3; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 11/4; 11/4; 3; 
Barnsley; 5; 4; 19/5; 9/2; 9/2; 17/4; 4; 9/2; 4; 4; 17/4; 19/4; 9/2; 22/5; 9/2; 57/17; 43/10; 9/2; 22/5; 4; 7/2; 9/2; 24/5; ; ; 
META; english/championship/derby-v-barnsley; 2018-04-30 22:19:41 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 4/7; 4/7; 8/13; 8/13; 13/20; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 3/5; 11/17; 3/5; 4/6; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 14/5; 11/4; 14/5; 29/10; 11/4; 37/13; 11/4; 13/5; 3; 
Barnsley; 5; 21/5; 19/5; 47/10; 9/2; 9/2; 4; 9/2; 4; 4; 17/4; 17/4; 19/4; 9/2; 49/11; 9/2; 57/17; 43/10; 9/2; 9/2; 4; 21/5; 23/5; 24/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-01 02:19:32 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 4/7; 8/13; 8/13; 13/20; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 11/18; 3/5; 11/17; 3/5; 4/6; 8/13; 4/7; 8/15; 4/7; 4/7
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 11/4; 13/5; 3; 
Barnsley; 9/2; 5; 21/5; 19/5; 47/10; 9/2; 17/4; 4; 9/2; 4; 4; 17/4; 17/4; 19/4; 9/2; 74/17; 9/2; 57/17; 43/10; 9/2; 22/5; 4; 7/2; 23/5; 24/5; 
META; english/championship/derby-v-barnsley; 2018-05-01 10:19:34 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 4/7; 8/13; 8/13; 13/20; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 11/18; 3/5; 11/17; 3/5; 4/6; 8/13; 4/7; 4/7; 4/7
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 3; 14/5; 29/10; 16/5; 3; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 11/4; 12/5; 3
Barnsley; 9/2; 5; 19/5; 47/10; 9/2; 17/4; 4; 9/2; 4; 4; 17/4; 17/4; 19/4; 9/2; 74/17; 9/2; 57/17; 43/10; 9/2; 22/5; 4; 10/3; 24/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-01 14:19:39 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 4/7; 8/13; 8/13; 13/20; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 11/18; 3/5; 11/17; 3/5; 4/6; 8/13; 8/13; 4/7; 4/7
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 3; 14/5; 29/10; 16/5; 3; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 11/4; 3; 
Barnsley; 9/2; 5; 19/5; 47/10; 9/2; 17/4; 4; 9/2; 4; 4; 17/4; 17/4; 19/4; 9/2; 74/17; 9/2; 57/17; 43/10; 9/2; 22/5; 4; 23/5; 24/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-01 18:19:40 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 4/7; 8/13; 8/13; 13/20; 8/13; 8/13; 8/15; 3/5; 8/13; 3/5; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 3/5; 11/17; 3/5; 4/6; 8/13; 4/7; 4/7; 4/7; 4/7; 4/7
Draw; 14/5; 14/5; 29/10; 14/5; 16/5; 3; 29/10; 11/4; 3; 29/10; 11/4; 3; 14/5; 29/10; 16/5; 3; 56/19; 11/4; 14/5; 29/10; 11/4; 3; 14/5; 11/4; 13/5; 3; 
Barnsley; 9/2; 5; 19/5; 47/10; 9/2; 17/4; 4; 9/2; 4; 4; 17/4; 17/4; 19/4; 9/2; 49/11; 9/2; 57/17; 43/10; 9/2; 49/11; 17/4; 4; 21/5; 23/5; 24/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-01 22:19:41 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 4/7; 4/6; 8/13; 69/00; 8/13; 8/13; 8/15; 3/5; 4/6; 8/13; 4/6; 4/6; 13/20; 4/6; 4/6; 11/17; 3/5; 11/17; 3/5; 4/6; 11/17; 8/13; 4/7; 4/7; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 11/4; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 14/5; 11/4; 14/5; 3; 
Barnsley; 9/2; 5; 19/5; 22/5; 9/2; 17/4; 4; 9/2; 19/5; 4; 15/4; 4; 17/4; 17/4; 4; 43/10; 9/2; 57/17; 43/10; 9/2; 74/17; 4; 21/5; 22/5; 22/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-02 02:19:32 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 8/13; 69/00; 13/20; 8/13; 8/13; 3/5; 4/6; 8/13; 4/6; 4/6; 13/20; 4/6; 4/6; 11/17; 3/5; 11/17; 3/5; 4/6; 11/17; 8/13; 8/13; 4/7; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 14/5; 11/4; 23/10; 3; ; 
Barnsley; 9/2; 19/5; 4; 19/5; 22/5; 4; 17/4; 4; 9/2; 19/5; 4; 15/4; 4; 17/4; 17/4; 4; 43/10; 9/2; 57/17; 43/10; 9/2; 74/17; 4; 7/2; 3; 22/5; 22/5
META; english/championship/derby-v-barnsley; 2018-05-02 10:19:31 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 8/13; 69/00; 13/20; 13/20; 8/13; 3/5; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 3/5; 11/17; 3/5; 4/6; 4/6; 8/13; 8/13; 4/7; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 29/10; 11/4; 56/19; 14/5; 11/4; 23/10; 3; ; 
Barnsley; 9/2; 19/5; 4; 19/5; 22/5; 4; 17/4; 4; 9/2; 19/5; 4; 15/4; 4; 17/4; 4; 43/10; 9/2; 57/17; 43/10; 22/5; 43/10; 4; 7/2; 3; 22/5; 22/5; 
META; english/championship/derby-v-barnsley; 2018-05-02 14:19:44 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 8/13; 69/00; 13/20; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 3/5; 11/17; 8/13; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 56/19; 11/4; 56/19; 14/5; 11/4; 14/5; 3; ; 
Barnsley; 9/2; 19/5; 19/5; 19/5; 22/5; 4; 17/4; 4; 21/5; 19/5; 4; 15/4; 4; 17/4; 4; 21/5; 9/2; 57/17; 4; 22/5; 17/4; 4; 7/2; 7/2; 21/5; 21/5; 
META; english/championship/derby-v-barnsley; 2018-05-02 18:20:08 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 8/13; 69/00; 13/20; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 3/5; 11/17; 8/13; 13/20; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 56/19; 11/4; 14/5; 56/19; 3; 56/19; 14/5; 11/4; 14/5; 3; ; 
Barnsley; 9/2; 19/5; 19/5; 19/5; 22/5; 4; 4; 21/5; 4; 19/5; 15/4; 15/4; 4; 17/4; 4; 21/5; 9/2; 57/17; 4; 21/5; 17/4; 4; 7/2; 7/2; 21/5; 21/5; 
META; english/championship/derby-v-barnsley; 2018-05-02 22:19:57 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 8/13; 69/00; 13/20; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 3/5; 11/17; 8/13; 13/20; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 56/19; 11/4; 14/5; 56/19; 3; 56/19; 14/5; 11/4; 14/5; 3; ; 
Barnsley; 9/2; 19/5; 19/5; 19/5; 22/5; 4; 4; 21/5; 4; 19/5; 15/4; 15/4; 4; 17/4; 4; 21/5; 9/2; 57/17; 4; 21/5; 17/4; 4; 7/2; 7/2; 21/5; 21/5; 
META; english/championship/derby-v-barnsley; 2018-05-03 02:19:51 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 7/10; 69/00; 13/20; 13/20; 8/13; 8/13; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 3/5; 11/17; 8/13; 13/20; 4/6; 8/13; 8/13; 4/7; 4/6; 4/6
Draw; 14/5; 14/5; 29/10; 13/5; 31/10; 3; 29/10; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 56/19; 11/4; 14/5; 56/19; 3; 56/19; 14/5; 11/4; 13/5; 3; ; 
Barnsley; 9/2; 19/5; 19/5; 17/5; 22/5; 4; 4; 21/5; 4; 15/4; 15/4; 4; 17/4; 4; 21/5; 9/2; 57/17; 4; 21/5; 17/4; 4; 7/2; 7/2; 21/5; 21/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-03 10:19:53 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 8/13; 7/10; 4/6; 7/10; 71/00; 13/20; 4/6; 8/13; 8/13; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 3/5; 11/17; 8/13; 13/20; 4/6; 8/13; 8/13; 4/7; 4/6
Draw; 14/5; 14/5; 29/10; 13/5; 31/10; 3; 3; 29/10; 11/4; 14/5; 14/5; 29/10; 16/5; 14/5; 29/10; 11/4; 14/5; 56/19; 3; 56/19; 14/5; 11/4; 13/5; 3; ; 
Barnsley; 9/2; 19/5; 19/5; 17/5; 21/5; 4; 21/5; 19/5; 19/5; 15/4; 15/4; 4; 17/4; 4; 54/13; 9/2; 57/17; 4; 21/5; 21/5; 15/4; 7/2; 7/2; 21/5; ; 
META; english/championship/derby-v-barnsley; 2018-05-03 14:20:04 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 4/6; 7/10; 7/10; 7/10; 19/25; 4/6; 7/10; 8/13; 4/6; 8/11; 4/6; 7/10; 7/10; 7/10; 8/11; 8/11; 9/13; 13/18; 7/10; 19/29; 7/10; 5/7; 4/6; 4/6; 4/6; 8/11; 4/6
Draw; 11/4; 14/5; 14/5; 13/5; 3; 14/5; 11/4; 3; 14/5; 11/4; 14/5; 11/4; 29/10; 3; 14/5; 37/13; 27/10; 14/5; 29/10; 3; 29/10; 14/5; 11/4; 14/5; 3; ; 
Barnsley; 4; 19/5; 18/5; 17/5; 79/20; 4; 15/4; 7/2; 4; 18/5; 18/5; 15/4; 7/2; 15/4; 4; 15/4; 39/10; 18/5; 58/19; 19/5; 15/4; 75/19; 7/2; 7/2; 7/2; 7/2; 7/2
META; english/championship/derby-v-barnsley; 2018-05-03 18:20:03 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
Derby; 4/6; 7/10; 8/11; 7/10; 39/50; 8/11; 8/11; 4/6; 4/6; 3/4; 7/10; 3/4; 8/11; 3/4; 8/11; 8/11; 14/19; 13/18; 14/19; 19/29; 8/11; 14/19; 4/6; 4/6; 4/6; 8/11; 8/11
Draw; 11/4; 14/5; 14/5; 13/5; 74/25; 3; 14/5; 11/4; 3; 14/5; 3; 11/4; 11/4; 14/5; 3; 14/5; 14/5; 27/10; 3; 29/10; 3; 37/13; 14/5; 11/4; 14/5; 14/5; 14/5
Barnsley; 4; 19/5; 7/2; 17/5; 77/20; 15/4; 15/4; 7/2; 4; 7/2; 18/5; 7/2; 7/2; 18/5; 4; 15/4; 15/4; 18/5; 17/5; 19/5; 7/2; 15/4; 7/2; 7/2; 10/3; 7/2; 7/2
META; english/championship/derby-v-barnsley; 2018-05-03 22:19:58 GMT+3; 2018-05-06 12:30; Nothing; Xlenovo
