META; english/championship/middlesbrough-v-leeds; 2018-02-24 22:19:26 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; ; 4/5; ; 19/20; ; ; 10/11; 5/6; 19/20; ; ; ; ; ; ; ; ; ; ; 19/20; 1; ; ; ; ; 4/7; ; 
Draw; ; 5/2; ; 23/10; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Leeds; ; 7/2; ; 13/5; ; ; 3; 11/4; 3; ; ; ; ; ; ; ; ; ; ; 29/10; 3; ; ; ; ; 2; ; 
META; english/championship/middlesbrough-v-leeds; 2018-02-25 02:19:01 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; ; 4/5; ; 19/20; ; ; 10/11; 5/6; 19/20; ; ; 10/11; ; ; ; 10/11; 1; ; ; 19/20; 1; 37/40; 1; 1; ; 8/11; ; 
Draw; ; 5/2; ; 23/10; ; ; 12/5; 9/4; 12/5; ; ; 23/10; ; ; ; 12/5; 23/10; ; ; 40/17; 5/2; 5/2; 12/5; 12/5; ; 9/5; ; 
Leeds; ; 7/2; ; 13/5; ; ; 3; 11/4; 3; ; ; 16/5; ; ; ; 16/5; 37/13; ; ; 29/10; 3; 31/10; 14/5; 29/10; ; 23/10; ; 
META; english/championship/middlesbrough-v-leeds; 2018-02-25 10:19:06 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 10/11; 4/5; ; 19/20; ; ; 20/21; 5/6; 19/20; ; 10/11; 10/11; ; ; 10/11; 10/11; 19/20; 9/10; ; 19/20; 9/10; 20/23; 1; 19/20; ; 8/11; ; 
Draw; 23/10; 5/2; ; 23/10; ; ; 12/5; 9/4; 12/5; ; 5/2; 23/10; ; ; 5/2; 12/5; 23/10; 23/10; ; 40/17; 5/2; ; 12/5; 40/17; ; 21/10; ; 
Leeds; 16/5; 7/2; ; 13/5; ; ; 3; 11/4; 3; ; 10/3; 16/5; ; ; 16/5; 16/5; 58/19; 16/5; ; 29/10; 3; 10/3; 14/5; 31/10; ; 12/5; ; 
META; english/championship/middlesbrough-v-leeds; 2018-02-25 14:19:35 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 3/4; 5/6; ; 10/11; ; ; 17/20; 8/11; 4/5; ; 4/5; 3/4; ; ; 4/5; 5/6; 4/5; 4/5; 7/9; 4/5; 5/6; 3/4; 4/5; 4/5; ; 4/7; ; 
Draw; 5/2; 12/5; ; 23/10; ; ; 12/5; 23/10; 5/2; ; 5/2; 12/5; ; ; 5/2; 5/2; 27/11; 12/5; 40/17; 27/11; 5/2; ; 5/2; 27/11; ; 11/5; ; 
Leeds; 15/4; 18/5; ; 11/4; ; ; 10/3; 7/2; 18/5; ; 18/5; 15/4; ; ; 15/4; 7/2; 39/11; 7/2; 41/13; 18/5; 7/2; 4; 7/2; 18/5; ; 14/5; ; 
META; english/championship/middlesbrough-v-leeds; 2018-02-25 18:19:33 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 3/4; 3/4; 4/5; 5/6; ; ; 4/5; 8/11; 4/5; 4/5; 4/5; 3/4; 4/5; ; 4/5; 4/5; 4/5; 4/5; 7/9; 4/5; 5/6; 4/5; 4/5; 4/5; ; 4/7; ; 8/11
Draw; 5/2; 5/2; 12/5; 23/10; ; ; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; ; 5/2; 5/2; 27/11; 12/5; 40/17; 27/11; 5/2; 5/2; 5/2; 27/11; ; 11/5; ; 12/5
Leeds; 15/4; 4; 19/5; 3; ; ; 7/2; 7/2; 18/5; 15/4; 18/5; 15/4; 15/4; ; 15/4; 15/4; 39/11; 7/2; 41/13; 18/5; 7/2; 4; 7/2; 18/5; ; 5/6; ; 10/3
META; english/championship/middlesbrough-v-leeds; 2018-02-25 22:19:33 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 3/4; 3/4; 4/5; 5/6; ; ; 5/6; 8/11; 4/5; 4/5; 5/6; 5/6; 4/5; ; 4/5; 4/5; 5/6; 4/5; 7/9; 4/5; 5/6; 4/5; 4/5; 5/6; ; 8/15; ; 4/5
Draw; 5/2; 5/2; 12/5; 23/10; ; ; 5/2; 23/10; 5/2; 23/10; 12/5; 12/5; 5/2; ; 5/2; 5/2; 27/11; 12/5; 40/17; 27/11; 5/2; 5/2; 5/2; 27/11; ; 11/5; ; 23/10
Leeds; 15/4; 4; 18/5; 3; ; ; 7/2; 7/2; 18/5; 18/5; 7/2; 7/2; 15/4; ; 15/4; 15/4; 7/2; 7/2; 41/13; 18/5; 7/2; 19/5; 7/2; 39/11; ; 7/5; ; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-26 02:19:12 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 3/4; 3/4; 4/5; 5/6; ; ; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; 4/5; ; 4/5; 4/5; 5/6; 4/5; 7/9; 4/5; 5/6; 4/5; 4/5; 5/6; ; 5/6; ; 4/5
Draw; 5/2; 5/2; 12/5; 23/10; ; ; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; 5/2; ; 5/2; 5/2; 27/11; 12/5; 40/17; 27/11; 5/2; 5/2; 5/2; 27/11; ; 11/5; ; 23/10
Leeds; 15/4; 4; 18/5; 3; ; ; 7/2; 3; 18/5; 18/5; 7/2; 7/2; 15/4; ; 15/4; 15/4; 7/2; 7/2; 41/13; 18/5; 7/2; 19/5; 7/2; 39/11; ; 14/5; ; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-26 10:19:13 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 4/5; 17/20; ; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; 4/5; ; 4/5; 17/20; 5/6; 4/5; 7/9; 4/5; 5/6; 4/5; 4/5; 5/6; ; 5/6; ; 4/5
Draw; 5/2; 12/5; 12/5; 23/10; ; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; 5/2; ; 5/2; 12/5; 12/5; 12/5; 40/17; 27/11; 5/2; 5/2; 5/2; 27/11; ; 23/10; ; 23/10
Leeds; 10/3; 18/5; 15/4; 18/5; ; 16/5; 7/2; 3; 18/5; 18/5; 7/2; 7/2; 15/4; ; 15/4; 7/2; 17/5; 7/2; 41/13; 18/5; 7/2; 19/5; 7/2; 17/5; ; 14/5; ; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-26 14:19:49 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 17/20; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; 4/5; 5/6; 4/5; 5/6; 5/6; 4/5; 11/14; 4/5; 4/5; 4/5; 5/6; ; 5/6; ; 4/5
Draw; 5/2; 12/5; 12/5; 23/10; 67/25; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 12/5; 27/11; 12/5; 40/17; 27/11; 5/2; 5/2; 27/11; ; 21/10; ; 23/10
Leeds; 10/3; 18/5; 18/5; 18/5; 19/5; 16/5; 7/2; 3; 18/5; 7/2; 7/2; 7/2; 15/4; 37/10; 15/4; 7/2; 17/5; 7/2; 31/10; 18/5; 15/4; 7/2; 17/5; ; 14/5; ; 3
META; english/championship/middlesbrough-v-leeds; 2018-02-26 18:19:46 GMT+2; 2018-03-02 19:45; Nothing; Xlenovo
Middlesbrough; 5/6; 5/6; 5/6; 17/20; 17/20; 19/20; 5/6; 10/11; 4/5; 4/5; 5/6; 5/6; ; 5/6; 4/5; 5/6; 5/6; 4/5; 11/13; 4/5; 4/5; 4/5; 5/6; ; 5/6; 5/6; 4/5
Draw ; 5/2; 12/5; 12/5; 23/10; 67/25; 23/10; 12/5; 9/4; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 27/11; 5/2; 5/2; 27/11; ; 21/10; 23/10; 23/10
