META; english/championship/norwich-v-preston; 2017-11-19 02:21:31 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; ; 11/10; 21/20; 11/10; 11/10; 1; 21/20; ; 1; 11/10; ; 21/20; 11/10; 11/10; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 5/6; ; 
Preston; 11/4; 5/2; ; 23/10; 13/5; 14/5; 5/2; 13/5; 11/4; ; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 12/5; 53/20; 13/5; ; 1/100; ; 
Draw; 23/10; 5/2; ; 13/5; 13/5; 13/5; 12/5; 5/2; 23/10; ; 12/5; 12/5; ; 5/2; 12/5; 5/2; 5/2; 40/17; ; 14/5; 9/4; 5/2; 27/10; 49/20; 40/17; ; 9/4; ; 
META; english/championship/norwich-v-preston; 2017-11-20 22:22:19 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; ; ; 21/20; 11/10; 11/10; 1; 21/20; ; 1; 1; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 23/10; 13/5; ; ; 13/5; 13/5; 12/5; 5/2; 23/10; ; 12/5; 13/5; ; 5/2; 12/5; 13/5; 5/2; 40/17; ; 14/5; 9/4; 5/2; 27/10; 49/20; 40/17; ; 9/4; ; 
Preston; 11/4; 12/5; ; ; 13/5; 14/5; 5/2; 13/5; 11/4; ; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 23/10; ; 
META; english/championship/norwich-v-preston; 2017-11-21 02:22:04 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; ; ; 21/20; 11/10; 11/10; 1; 21/20; ; 1; 1; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 23/10; 13/5; ; ; 13/5; 13/5; 12/5; 5/2; 23/10; ; 12/5; 13/5; ; 5/2; 12/5; 13/5; 5/2; 40/17; ; 14/5; 9/4; 5/2; 27/10; 49/20; 12/5; ; 9/4; ; 
Preston; 11/4; 12/5; ; ; 13/5; 14/5; 5/2; 13/5; 11/4; ; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 23/10; ; 
META; english/championship/norwich-v-preston; 2017-11-21 10:22:15 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; ; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 11/10; ; 21/20; 11/10; 21/20; 1; 1; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 23/10; 13/5; ; ; 13/5; 13/5; 12/5; 5/2; 23/10; ; 12/5; 12/5; ; 5/2; 12/5; 13/5; 5/2; 27/11; ; 14/5; 9/4; 5/2; 13/5; 49/20; 27/11; ; 9/4; ; 
Preston; 11/4; 12/5; ; ; 13/5; 14/5; 5/2; 13/5; 11/4; ; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 23/10; ; 
META; english/championship/norwich-v-preston; 2017-11-21 14:22:18 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; ; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; ; 21/20; 11/10; 21/20; 1; 1; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 23/10; 13/5; 12/5; ; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; ; 5/2; 12/5; 13/5; 5/2; 27/11; ; 14/5; 9/4; 5/2; 13/5; 49/20; 27/11; ; 9/4; ; 
Preston; 11/4; 12/5; 5/2; ; 13/5; 14/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 23/10; ; 
META; english/championship/norwich-v-preston; 2017-11-21 18:22:16 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 23/10; 13/5; 12/5; 13/5; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; ; 5/2; 12/5; 13/5; 5/2; 5/2; ; 14/5; 9/4; 5/2; 13/5; 49/20; 5/2; ; 9/4; ; 
Preston; 11/4; 12/5; 5/2; 23/10; 13/5; 14/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 23/10; ; 
META; english/championship/norwich-v-preston; 2017-11-21 22:22:07 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; ; 
Draw; 23/10; 13/5; 12/5; 13/5; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; ; 5/2; 12/5; 13/5; 5/2; 5/2; ; 14/5; 9/4; 5/2; 13/5; 49/20; 5/2; ; 9/4; ; 
Preston; 11/4; 12/5; 5/2; 23/10; 13/5; 14/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; ; 
META; english/championship/norwich-v-preston; 2017-11-22 02:21:29 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 11/10; ; 21/20; 11/10; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; ; 
Draw; 23/10; 13/5; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; ; 5/2; 12/5; 13/5; 5/2; 5/2; ; 14/5; 9/4; 5/2; 13/5; 49/20; 5/2; ; 9/4; ; 
Preston; 11/4; 12/5; 5/2; 12/5; 13/5; 14/5; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 5/2; 13/5; 13/5; 5/2; 28/11; ; 27/11; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; ; 
META; english/championship/norwich-v-preston; 2017-11-22 10:21:58 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; ; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; ; 
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; ; 5/2; 13/5; 5/2; 5/2; 27/11; ; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 9/4; ; 
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 13/5; 5/2; 13/5; 5/2; 13/5; ; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; ; 
META; english/championship/norwich-v-preston; 2017-11-22 14:21:58 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; 1; 
Draw; 23/10; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 5/2; 27/11; 13/5; 45/17; 9/4; 5/2; 13/5; 49/20; 5/2; ; 9/4; 21/10; 
Preston; 11/4; 5/2; 5/2; 12/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 11/4; 5/2; ; 13/5; 5/2; 13/5; 5/2; 13/5; 11/4; 13/5; 27/10; 13/5; 5/2; 53/20; 13/5; ; 12/5; 11/5; 
META; english/championship/norwich-v-preston; 2017-11-22 18:21:54 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 1; 21/20; ; 20/21; 1; 
