META; english/championship/cardiff-v-birmingham; 2018-03-03 22:21:13 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15
Draw; 3
Birmingham; 11/2
META; english/championship/cardiff-v-birmingham; 2018-03-04 02:20:48 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 1/2; 1/2; 8/15
Draw; 11/4; 3; 56/19; 3
Birmingham; 5; 11/2; 27/5; 11/2
META; english/championship/cardiff-v-birmingham; 2018-03-04 10:20:52 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 1/2; 1/2; 8/15
Draw; 11/4; 3; 56/19; 3
Birmingham; 5; 11/2; 27/5; 11/2
META; english/championship/cardiff-v-birmingham; 2018-03-04 14:21:29 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/7; 8/15
Draw; 3; 11/4; 3; 13/5; 56/19; 11/4; 3; 
Birmingham; 5; 11/2; 11/2; 13/2; 27/5; 11/2; 21/4; 
META; english/championship/cardiff-v-birmingham; 2018-03-04 18:21:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 8/15; 1/2; 8/15; 4/9; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 4/9
Draw; 3; 11/4; 3; 11/4; 3; 13/5; 14/5; 3; 56/19; 3; 3; 14/5; ; ; 
Birmingham; 5; 6; 11/2; 11/2; 6; 13/2; 11/2; 94/19; 27/5; 6; 21/4; 5; 11/2; ; 
META; english/championship/cardiff-v-birmingham; 2018-03-04 22:20:53 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 8/15; 1/2; 8/15; 4/9; 1/2; 1/2; 8/15; 1/2; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 4/9
Draw; 3; 11/4; 3; 11/4; 3; 3; 13/5; 14/5; 56/19; 56/19; 3; 3; 14/5; ; ; 
Birmingham; 5; 6; 11/2; 11/2; 6; 11/2; 13/2; 11/2; 96/19; 27/5; 6; 21/4; 96/19; 11/2; ; 
META; english/championship/cardiff-v-birmingham; 2018-03-05 02:21:08 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 8/15; 1/2; 8/15; 4/9; 1/2; 1/2; 8/15; 1/2; 8/15; 8/15; 1/2; 8/15; 8/15; 8/15; 4/9
Draw; 3; 11/4; 3; 11/4; 3; 3; 13/5; 14/5; 3; 56/19; 3; 3; 14/5; ; ; 
Birmingham; 5; 6; 11/2; 11/2; 11/2; 6; 11/2; 13/2; 11/2; 5; 27/5; 6; 21/4; 96/19; 11/2; 
META; english/championship/cardiff-v-birmingham; 2018-03-05 10:21:05 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Cardiff; 8/15; 8/15; 1/2; 8/15; 4/9; 1/2; 1/2; 8/15; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 8/15; 8/15; 4/9
Draw; 3; 3; 11/4; 3; 3; 13/5; 3; 3; 56/19; 31/10; 3; 14/5; ; ; ; ; 
Birmingham; 5; 11/2; 6; 11/2; 11/2; 11/2; 6; 11/2; 13/2; 11/2; 96/19; 5; 27/5; 6; 21/4; 51/10; 11/2
