META; english/championship/wolves-v-reading; 2018-02-24 22:19:53 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; ; 4/11; ; ; ; ; ; 3/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; 
Draw; ; 7/2; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; 
Reading; ; 8; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
META; english/championship/wolves-v-reading; 2018-02-25 02:19:27 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; ; 4/11; ; ; ; ; 4/11; 3/10; 2/5; ; ; ; ; ; ; ; 3/8; ; ; 2/5; ; 4/11; ; 3/8; ; 1/4; ; 
Draw; ; 7/2; ; ; ; ; 7/2; 7/2; 7/2; ; ; ; ; ; ; ; 39/11; ; ; 17/5; ; 19/5; ; 18/5; ; 5/2; ; 
Reading; ; 8; ; ; ; ; 15/2; 7; 13/2; ; ; ; ; ; ; ; 13/2; ; ; 13/2; ; 8; ; 27/4; ; 26/5; ; 
META; english/championship/wolves-v-reading; 2018-02-25 10:19:33 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 4/11; ; ; ; ; 2/5; 3/10; 2/5; 4/11; 2/5; 2/5; ; ; 2/5; 2/5; 3/8; ; ; 2/5; ; 4/11; ; 7/18; ; 3/10; ; 
Draw; 10/3; 7/2; ; ; ; ; 7/2; 7/2; 7/2; 7/2; 18/5; 7/2; ; ; 7/2; 7/2; 17/5; ; ; 17/5; ; ; ; 17/5; ; 5/2; ; 
Reading; 7; 8; ; ; ; ; 15/2; 13/2; 13/2; 15/2; 8; 7; ; ; 15/2; 15/2; 7; ; ; 13/2; ; 8; ; 7; ; 31/5; ; 
META; english/championship/wolves-v-reading; 2018-02-25 14:20:03 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; ; ; ; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; ; ; 2/5; 2/5; 7/18; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; 7/18; ; 3/10; ; 
Draw; 10/3; 7/2; 17/5; ; ; ; 7/2; 10/3; 7/2; 17/5; 7/2; 10/3; ; ; 7/2; 7/2; 57/17; 17/5; 38/11; 17/5; 7/2; 18/5; 7/2; 57/17; ; 13/5; ; 
Reading; 7; 7; 15/2; ; ; ; 15/2; 13/2; 13/2; 15/2; 15/2; 15/2; ; ; 15/2; 15/2; 27/4; 8; 59/10; 13/2; 7; 15/2; 15/2; 7; ; 31/5; ; 
META; english/championship/wolves-v-reading; 2018-02-25 18:20:02 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; ; ; ; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 7/18; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; 7/18; ; 1/3; ; 2/5
Draw; 10/3; 7/2; 17/5; ; ; ; 10/3; 10/3; 7/2; 17/5; 7/2; 10/3; 7/2; ; 7/2; 7/2; 57/17; 17/5; 38/11; 17/5; 7/2; 7/2; 7/2; 57/17; ; 13/5; ; 3
Reading; 7; 7; 15/2; ; ; ; 15/2; 13/2; 13/2; 15/2; 7; 15/2; 7; ; 15/2; 15/2; 27/4; 8; 59/10; 13/2; 7; 8; 15/2; 7; ; 31/5; ; 33/5
META; english/championship/wolves-v-reading; 2018-02-25 22:20:01 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; ; ; ; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; ; 2/5; 2/5; 7/17; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; 7/17; ; 1/3; ; 2/5
Draw; 10/3; 7/2; 17/5; ; ; ; 10/3; 10/3; 7/2; 17/5; 7/2; 10/3; 7/2; ; 7/2; 7/2; 17/5; 17/5; 38/11; 17/5; 7/2; 18/5; 7/2; 17/5; ; 5/2; ; 3
Reading; 7; 7; 15/2; ; ; ; 7; 13/2; 13/2; 15/2; 7; 15/2; 7; ; 15/2; 15/2; 7; 8; 59/10; 13/2; 7; 15/2; 15/2; 7; ; 31/5; ; 33/5
META; english/championship/wolves-v-reading; 2018-02-26 02:19:39 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; ; ; ; 2/5; 3/10; 2/5; 2/5; 4/11; 2/5; 2/5; ; 2/5; 2/5; 7/17; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; 7/17; ; 1/3; ; 2/5
Draw; 10/3; 7/2; 17/5; ; ; ; 10/3; 10/3; 7/2; 17/5; 7/2; 10/3; 7/2; ; 7/2; 7/2; 57/17; 17/5; 38/11; 17/5; 7/2; 18/5; 7/2; 17/5; ; 3; ; 3
Reading; 7; 7; 15/2; ; ; ; 7; 17/2; 13/2; 15/2; 8; 15/2; 7; ; 15/2; 15/2; 7; 8; 59/10; 13/2; 7; 15/2; 15/2; 7; ; 17/2; ; 33/5
META; english/championship/wolves-v-reading; 2018-02-26 10:19:40 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; ; 4/11; 2/5; 3/10; 2/5; 2/5; 4/11; 2/5; 2/5; ; 2/5; 2/5; 7/17; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; 7/17; ; 1/3; ; 2/5
Draw; 10/3; 7/2; 17/5; 10/3; ; 18/5; 10/3; 10/3; 7/2; 17/5; 7/2; 10/3; 7/2; ; 7/2; 7/2; 17/5; 17/5; 38/11; 17/5; 7/2; 18/5; 7/2; 17/5; ; 3; ; 3
Reading; 7; 7; 15/2; 13/2; ; 19/2; 7; 17/2; 13/2; 15/2; 8; 15/2; 7; ; 15/2; 15/2; 7; 8; 59/10; 13/2; 7; 15/2; 15/2; 7; ; 17/2; ; 33/5
META; english/championship/wolves-v-reading; 2018-02-26 14:20:18 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 7/18; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; ; 1/3; ; 2/5
Draw; 10/3; 7/2; 17/5; 10/3; 37/10; 18/5; 7/2; 10/3; 7/2; 10/3; 10/3; 10/3; 7/2; 17/5; 7/2; 10/3; 38/11; 17/5; 38/11; 17/5; 18/5; 7/2; 7/2; ; 3; ; 7/2
Reading; 7; 7; 15/2; 13/2; 77/10; 19/2; 7; 17/2; 13/2; 7; 8; 15/2; 7; 15/2; 13/2; 7; 7; 8; 59/10; 13/2; 15/2; 15/2; 7; ; 17/2; ; 37/5
META; english/championship/wolves-v-reading; 2018-02-26 18:20:13 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; ; 2/5; 4/9; 2/5; 7/18; 4/11; 7/19; 2/5; 2/5; 2/5; 2/5; ; 1/3; 4/11; 2/5
Draw; 10/3; 7/2; 17/5; 10/3; 37/10; 18/5; 7/2; 10/3; 7/2; 10/3; 10/3; 10/3; ; 17/5; 7/2; 10/3; 38/11; 17/5; 38/11; 17/5; 18/5; 7/2; 7/2; ; 3; 3; 7/2
Reading; 7; 7; 15/2; 13/2; 77/10; 19/2; 7; 17/2; 13/2; 7; 8; 15/2; ; 15/2; 13/2; 7; 7; 8; 59/10; 13/2; 15/2; 15/2; 7; ; 17/2; 32/5; 37/5
META; english/championship/wolves-v-reading; 2018-02-26 22:20:11 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; ; 2/5; 4/9; 2/5; 1/3; 4/11; 7/19; 2/5; 2/5; 2/5; 1/3; ; 4/11; 4/11; 2/5
Draw; 10/3; 7/2; 17/5; 10/3; 37/10; 18/5; 7/2; 10/3; 7/2; 10/3; 10/3; 10/3; ; 17/5; 7/2; 10/3; 31/10; 17/5; 38/11; 17/5; 18/5; 7/2; 41/13; ; 3; 3; 7/2
Reading; 7; 7; 15/2; 13/2; 77/10; 19/2; 7; 17/2; 7; 7; 15/2; 15/2; ; 7; 13/2; 7; 6; 8; 59/10; 7; 15/2; 15/2; 6; ; 38/5; 32/5; 37/5
META; english/championship/wolves-v-reading; 2018-02-27 02:20:07 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; ; 2/5; 4/9; 2/5; 3/8; 4/11; 7/19; 2/5; 2/5; 2/5; 7/18; ; 4/11; 4/11; 2/5
Draw; 10/3; 7/2; 17/5; 10/3; 73/20; 18/5; 7/2; 10/3; 7/2; 10/3; 10/3; 10/3; ; 17/5; 7/2; 10/3; 17/5; 17/5; 38/11; 17/5; 18/5; 7/2; 17/5; ; 3; 3; 7/2
Reading; 7; 7; 15/2; 13/2; 39/5; 19/2; 7; 17/2; 7; 7; 15/2; 15/2; ; 7; 13/2; 7; 27/4; 8; 59/10; 7; 15/2; 15/2; 7; ; 38/5; 32/5; 37/5
META; english/championship/wolves-v-reading; 2018-02-27 10:20:07 GMT+2; 2018-03-03 17:30; Nothing; Xlenovo
Wolves; 2/5; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; ; 2/5; 4/9; 2/5; 3/8; 4/11; 7/19; 2/5; 2/5; 2/5; 3/8; ; 4/11; 4/11; 2/5
