META; english/championship/derby-v-fulham; 2018-02-24 22:19:41 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; ; 11/8; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 8/11; ; 
Fulham; ; 15/8; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 7/5; ; 
Draw; ; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 2; ; 
META; english/championship/derby-v-fulham; 2018-02-25 02:19:15 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; ; 11/8; ; ; ; ; 13/10; 11/10; 6/5; ; ; ; ; ; ; ; 6/5; ; ; 6/5; ; 5/4; 23/20; 6/5; ; 20/21; ; 
Fulham; ; 15/8; ; ; ; ; 2; 21/10; 28/13; ; ; ; ; ; ; ; 21/10; ; ; 28/13; ; 11/5; 23/10; 28/13; ; 7/4; ; 
Draw; ; 12/5; ; ; ; ; 12/5; 23/10; 12/5; ; ; ; ; ; ; ; 40/17; ; ; 12/5; ; 12/5; 49/20; 40/17; ; 19/10; ; 
META; english/championship/derby-v-fulham; 2018-02-25 10:19:20 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 11/8; 11/8; ; ; ; ; 11/8; 5/4; 6/5; 27/20; 7/5; 5/4; ; ; 13/10; 11/8; 23/17; 23/17; ; 6/5; ; 11/8; 23/20; 23/17; ; 23/20; ; 
Fulham; 2; 15/8; ; ; ; ; 2; 2; 28/13; 2; 2; 11/5; ; ; 11/5; 2; 37/19; 2; ; 28/13; ; 2; 23/10; 2; ; 2/5; ; 
Draw; 11/5; 12/5; ; ; ; ; 23/10; 21/10; 12/5; 21/10; 12/5; 23/10; ; ; 23/10; 23/10; 11/5; 9/4; ; 12/5; ; 12/5; 49/20; 9/4; ; 19/10; ; 
META; english/championship/derby-v-fulham; 2018-02-25 14:19:50 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 6/4; 6/4; 8/5; ; ; ; 6/4; 6/4; 6/4; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 6/4; 23/17; 7/5; 6/4; 8/5; 31/20; 31/20; 6/4; ; 23/20; ; 
Fulham; 15/8; 7/4; ; ; ; ; 9/5; 17/10; 24/13; 17/10; 15/8; 9/5; ; ; 9/5; 9/5; 7/4; 2; 17/11; 24/13; 9/5; 7/4; 7/4; 7/4; ; 27/20; ; 
Draw; 11/5; 12/5; 9/4; ; ; ; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; ; ; 12/5; 23/10; 11/5; 11/5; 27/11; 11/5; 12/5; 12/5; 23/10; 11/5; ; 19/10; ; 
META; english/championship/derby-v-fulham; 2018-02-25 18:19:49 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 8/5; ; ; ; 8/5; 7/5; 6/4; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 23/17; 7/5; 6/4; 13/8; 31/20; 31/20; 8/5; ; 13/10; ; 8/5
Fulham; 17/10; 7/4; 17/10; ; ; ; 17/10; 13/8; 24/13; 17/10; 17/10; 17/10; ; ; 9/5; 7/4; 17/10; 2; 17/11; 24/13; 7/4; 7/4; 7/4; 17/10; ; 7/5; ; 6/4
Draw; 11/5; 12/5; 9/4; ; ; ; 9/4; 9/4; 9/4; 11/5; 12/5; 23/10; ; ; 12/5; 23/10; 9/4; 11/5; 27/11; 11/5; 23/10; 12/5; 23/10; 9/4; ; 19/10; ; 21/10
META; english/championship/derby-v-fulham; 2018-02-25 22:19:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 8/5; ; ; ; 8/5; 7/5; 6/4; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 16/11; 7/5; 6/4; 13/8; 31/20; 31/20; 8/5; ; 6/5; ; 8/5
Fulham; 17/10; 7/4; 17/10; ; ; ; 17/10; 13/8; 24/13; 17/10; 17/10; 17/10; ; ; 9/5; 7/4; 17/10; 24/13; 17/11; 24/13; 7/4; 7/4; 7/4; 17/10; ; 11/8; ; 6/4
Draw; 11/5; 12/5; 9/4; ; ; ; 9/4; 9/4; 9/4; 11/5; 12/5; 23/10; ; ; 12/5; 23/10; 9/4; 9/4; 27/11; 11/5; 23/10; 12/5; 23/10; 9/4; ; 2; ; 21/10
META; english/championship/derby-v-fulham; 2018-02-26 02:19:27 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 17/11; ; ; ; 8/5; 6/5; 6/4; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 16/11; 7/5; 6/4; 13/8; 31/20; 8/5; 8/5; ; 5/4; ; 6/4
Fulham; 17/10; 7/4; 17/10; ; ; ; 17/10; 15/8; 24/13; 17/10; 15/8; 7/4; ; ; 9/5; 9/5; 17/10; 24/13; 17/11; 24/13; 7/4; 7/4; 17/10; 17/10; ; 9/5; ; 13/8
Draw; 11/5; 12/5; 23/10; ; ; ; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; ; ; 12/5; 23/10; 9/4; 9/4; 27/11; 11/5; 23/10; 12/5; 23/10; 9/4; ; 23/10; ; 21/10
META; english/championship/derby-v-fulham; 2018-02-26 10:19:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 17/11; 6/4; ; 13/10; 8/5; 6/5; 6/4; 6/4; 6/4; 31/20; ; ; 6/4; 6/4; 17/11; 16/11; 7/5; 6/4; 13/8; 31/20; 8/5; 8/5; ; 11/8; ; 7/5
Fulham; 17/10; 7/4; 17/10; 9/5; ; 21/10; 7/4; 15/8; 24/13; 17/10; 9/5; 7/4; ; ; 9/5; 9/5; 17/10; 24/13; 17/11; 24/13; 7/4; 7/4; 17/10; 7/4; ; 9/5; ; 17/10
Draw; 11/5; 12/5; 23/10; 23/10; ; 5/2; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; ; ; 12/5; 23/10; 9/4; 9/4; 27/11; 11/5; 23/10; 12/5; 23/10; 9/4; ; 23/10; ; 21/10
META; english/championship/derby-v-fulham; 2018-02-26 14:20:05 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 17/11; 6/4; 83/50; 13/10; 8/5; 6/5; 6/4; 6/4; 6/4; 31/20; ; 31/20; 6/4; 6/4; 17/11; 16/11; 7/5; 6/4; 31/20; 8/5; 8/5; ; 7/5; ; 13/8
Fulham; 17/10; 7/4; 17/10; 9/5; 46/25; 21/10; 7/4; 15/8; 24/13; 17/10; 9/5; 7/4; ; 7/4; 9/5; 7/4; 17/10; 24/13; 17/11; 24/13; 7/4; 17/10; 7/4; ; 7/4; ; 9/5
Draw; 11/5; 12/5; 9/4; 23/10; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 9/4; 9/4; ; 47/20; 12/5; 23/10; 9/4; 9/4; 27/11; 11/5; 12/5; 23/10; 23/10; ; 23/10; ; 23/10
META; english/championship/derby-v-fulham; 2018-02-26 18:20:01 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 17/11; 6/4; 83/50; 13/10; 8/5; 6/5; 6/4; 31/20; 6/4; 31/20; ; 8/5; 6/4; 6/4; 17/11; 16/11; 7/5; 6/4; 31/20; 8/5; 8/5; ; 6/4; 7/5; 13/8
Fulham; 17/10; 7/4; 17/10; 9/5; 46/25; 21/10; 7/4; 15/8; 24/13; 17/10; 9/5; 7/4; ; 7/4; 9/5; 7/4; 17/10; 24/13; 17/11; 24/13; 7/4; 17/10; 7/4; ; 7/4; 7/4; 9/5
Draw; 11/5; 12/5; 9/4; 23/10; 121/50; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 9/4; ; 47/20; 12/5; 23/10; 9/4; 9/4; 27/11; 11/5; 12/5; 23/10; 23/10; ; 23/10; 12/5; 23/10
META; english/championship/derby-v-fulham; 2018-02-26 22:19:58 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 17/11; 6/4; 83/50; 13/10; 8/5; 6/5; 17/11; 31/20; 6/4; 31/20; ; 8/5; 6/4; 6/4; 7/5; 16/11; 7/5; 17/11; 31/20; 8/5; 7/5; ; 6/4; 7/5; 13/8
