META; english/championship/hull-v-pne; 2017-09-17 02:21:56 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-17 10:21:47 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-17 14:21:45 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-17 18:21:38 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-17 22:21:41 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-18 02:21:29 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-18 10:21:33 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
META; english/championship/hull-v-pne; 2017-09-18 14:21:41 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Hull; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; 
PNE; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; 27/10; ; ; ; ; ; ; 
