META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-28 02:21:05 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; 4/5; ; ; ; ; ; ; 11/13; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; 4/5; 5/6; ; ; 4/9; ; 
Draw; ; 5/2; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 5/2; 13/5; ; ; 19/10; ; 
Birmingham; ; 7/2; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; 15/4; 16/5; ; ; 6/4; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-28 10:20:58 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; 4/5; ; ; ; ; ; ; 11/13; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; 4/5; 5/6; ; ; 4/9; ; 
Draw; ; 5/2; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 5/2; 13/5; ; ; 19/10; ; 
Birmingham; ; 7/2; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; 15/4; 16/5; ; ; 6/4; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-28 14:21:25 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 4/5; 4/5; ; ; ; 20/23; 5/6; ; 11/13; ; 5/6; ; ; ; 10/11; 5/6; ; ; ; ; 11/13; ; 4/5; 4/5; ; ; 8/13; ; 
Draw; 13/5; 5/2; ; ; ; 11/4; 13/5; ; 45/17; ; 5/2; ; ; ; 5/2; 13/5; ; ; ; ; 13/5; ; 13/5; 13/5; ; ; 19/10; ; 
Birmingham; 10/3; 7/2; ; ; ; 7/2; 10/3; ; 3; ; 10/3; ; ; ; 14/5; 10/3; ; ; ; ; 56/19; ; 18/5; 10/3; ; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-28 18:20:47 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 4/5; 4/5; ; ; ; 20/23; 5/6; ; 11/13; ; 17/20; ; ; ; 10/11; 5/6; ; 5/6; ; ; 11/13; 5/6; 5/6; 4/5; 5/6; ; 8/11; ; 
Draw; 13/5; 5/2; ; ; ; 11/4; 13/5; ; 45/17; ; 5/2; ; ; ; 5/2; 13/5; ; 13/5; ; ; 13/5; 13/5; 13/5; 13/5; 45/17; ; 12/5; ; 
Birmingham; 10/3; 7/2; ; ; ; 7/2; 10/3; ; 3; ; 16/5; ; ; ; 14/5; 10/3; ; 16/5; ; ; 56/19; 100/ 30; 7/2; 10/3; 16/5; ; 14/5; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-28 22:23:11 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 4/5; 4/5; ; ; ; 20/23; 5/6; ; 11/13; ; 17/20; ; ; ; 10/11; 5/6; ; 5/6; ; ; 11/13; 5/6; 5/6; 4/5; 5/6; ; 4/7; ; 
Draw; 13/5; 5/2; ; ; ; 11/4; 13/5; ; 45/17; ; 5/2; ; ; ; 5/2; 13/5; ; 13/5; ; ; 13/5; 13/5; 13/5; 13/5; 45/17; ; 12/5; ; 
Birmingham; 10/3; 7/2; ; ; ; 7/2; 10/3; ; 3; ; 16/5; ; ; ; 14/5; 10/3; ; 16/5; ; ; 56/19; 100/ 30; 7/2; 10/3; 16/5; ; 14/5; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-29 02:20:08 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 4/5; 4/5; ; ; ; 20/23; 5/6; ; 11/13; ; 17/20; ; ; ; 10/11; 5/6; ; 5/6; ; ; 11/13; 5/6; 4/5; 4/5; 5/6; ; 8/11; ; 
Draw; 13/5; 5/2; ; ; ; 11/4; 13/5; ; 45/17; ; 5/2; ; ; ; 5/2; 13/5; ; 13/5; ; ; 13/5; 13/5; 27/10; 13/5; 45/17; ; 19/10; ; 
Birmingham; 10/3; 7/2; ; ; ; 7/2; 10/3; ; 3; ; 16/5; ; ; ; 14/5; 10/3; ; 16/5; ; ; 56/19; 100/ 30; 7/2; 10/3; 16/5; ; 14/5; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-29 10:20:04 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 4/5; 4/5; ; ; ; 20/23; 5/6; ; 11/13; ; 5/6; ; ; ; 10/11; 5/6; 7/9; 5/6; 7/9; ; 11/13; 5/6; 5/6; 4/5; 5/6; ; 8/11; ; 
Draw; 13/5; 5/2; ; ; ; 11/4; 13/5; ; 45/17; ; 5/2; ; ; ; 5/2; 13/5; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 13/5; 45/17; ; 19/10; ; 
Birmingham; 10/3; 7/2; ; ; ; 7/2; 10/3; ; 3; ; 10/3; ; ; ; 14/5; 10/3; 10/3; 16/5; 10/3; ; 56/19; 100/ 30; 7/2; 10/3; 16/5; ; 14/5; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-29 14:20:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 1; 4/5; 5/6; ; 43/50; 17/20; 5/6; ; 11/13; 5/6; 17/20; ; ; 10/11; 10/11; 17/20; 9/10; 19/20; 9/10; ; 11/13; 5/6; 4/5; 5/6; 5/6; ; 8/11; ; 
Draw; 12/5; 13/5; 23/10; ; 27/10; 5/2; 5/2; ; 45/17; 9/4; 12/5; ; ; 9/4; 5/2; 12/5; 12/5; 5/2; 12/5; ; 13/5; 5/2; 5/2; 11/5; 28/11; ; 19/10; ; 
Birmingham; 14/5; 7/2; 18/5; ; 37/10; 7/2; 10/3; ; 3; 18/5; 10/3; ; ; 17/5; 14/5; 10/3; 3; 37/13; 3; ; 56/19; 7/2; 15/4; 4; 33/10; ; 3; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-29 18:20:31 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Sheffield Wednesday; 1; 1; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 19/20; ; ; 11/10; 1; 1; 9/10; 21/20; 9/10; 1; 21/20; 11/10; 21/20; 21/20; 21/20; ; 5/6; ; 
Draw; 12/5; 9/4; 21/10; 9/4; 59/25; 23/10; 11/5; ; 9/4; 11/5; 9/4; ; ; 11/5; 23/10; 9/4; 12/5; 9/4; 12/5; 9/4; 11/5; 9/4; 23/10; 11/5; 9/4; ; 19/10; ; 
Birmingham; 14/5; 3; 29/10; 14/5; 61/20; 29/10; 14/5; ; 11/4; 29/10; 3; ; ; 29/10; 3; 14/5; 3; 14/5; 3; 14/5; 27/10; 14/5; 29/10; 57/20; 14/5; ; 6/5; ; 
META; english/championship/sheffield-wednesday-v-birmingham; 2018-01-29 22:20:38 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
