META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-11-26 22:19:29 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 177/100; ; ; ; ; ; ; ; 1/20; ; 
Levante; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; 28/17; ; 91/50; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 117/50; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-12-01 10:19:58 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/10; 5/4; 13/10; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 27/20; 13/10; 5/4; 6/5; 5/4; ; 5/4; 13/10; ; 13/10; 13/10; 5/4; ; 10/11; ; 
Levante; 2; 23/10; 11/5; ; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; ; 9/4; 9/4; 21/10; 11/5; 28/13; ; 21/10; 11/5; ; 11/5; 11/5; 28/13; ; 8/5; ; 
Draw; 12/5; 11/5; 21/10; ; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; ; 9/4; ; 11/5; 9/4; 21/10; 23/10; 11/5; ; 11/5; 11/5; ; 23/10; 9/4; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-12-01 14:20:10 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/10; 5/4; 13/10; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 27/20; 13/10; 5/4; 6/5; 5/4; 37/25; 5/4; 13/10; ; 13/10; 13/10; 5/4; ; 10/11; ; 
Levante; 2; 23/10; 11/5; ; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; ; 9/4; 9/4; 21/10; 11/5; 28/13; 54/25; 21/10; 11/5; ; 11/5; 11/5; 28/13; ; 13/8; ; 
Draw; 12/5; 11/5; 21/10; ; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; ; 9/4; ; 11/5; 9/4; 21/10; 23/10; 11/5; 119/50; 11/5; 11/5; ; 23/10; 9/4; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-12-01 18:20:13 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/10; 5/4; 13/10; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 27/20; 13/10; 5/4; 6/5; 5/4; 37/25; 5/4; 13/10; ; 13/10; 13/10; 5/4; ; 10/11; ; 
Levante; 2; 23/10; 11/5; ; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; ; 9/4; 9/4; 21/10; 11/5; 28/13; 54/25; 21/10; 11/5; ; 23/10; 11/5; 28/13; ; 13/8; ; 
Draw; 12/5; 11/5; 21/10; ; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; ; 9/4; ; 11/5; 9/4; 21/10; 23/10; 11/5; 119/50; 11/5; 11/5; ; 11/5; 9/4; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-12-01 22:20:10 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/10; 5/4; 13/10; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 27/20; 13/10; 5/4; 6/5; 5/4; 37/25; ; 13/10; ; 13/10; 13/10; 5/4; ; 20/21; ; 
Levante; 2; 23/10; 11/5; ; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; ; 9/4; 9/4; 21/10; 11/5; 28/13; 54/25; ; 11/5; ; 9/4; 11/5; 28/13; ; 13/8; ; 
Draw; 12/5; 11/5; 21/10; ; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; ; 9/4; ; 11/5; 9/4; 21/10; 23/10; 11/5; 119/50; ; 11/5; ; 23/10; 9/4; 9/4; ; 9/5; ; 
META; spain/la-liga-primera/levante-v-athletic-bilbao; 2017-12-02 02:19:52 GMT+2; 2017-12-10 17:30; Nothing; Xlenovo
Athletic Bilbao; 13/10; 5/4; 13/10; ; 6/5; 13/10; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 27/20; 13/10; 5/4; 6/5; 5/4; 37/25; 5/4; 13/10; ; 13/10; 13/10; 5/4; ; 10/11; ; 
Levante; 2; 23/10; 11/5; ; 11/5; 23/10; 21/10; 11/5; 11/5; 11/5; ; 11/5; ; 9/4; 9/4; 21/10; 11/5; 28/13; 54/25; 21/10; 11/5; ; 11/5; 11/5; 28/13; ; 17/10; ; 
Draw; 12/5; 11/5; 21/10; ; 23/10; 12/5; 11/5; 23/10; 11/5; 21/10; ; 9/4; ; 11/5; 9/4; 21/10; 23/10; 11/5; 119/50; 11/5; 11/5; ; 23/10; 9/4; 9/4; ; 9/5; ; 
