META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-02 17:42:45 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 2/5; 2/5; 1/3; 4/11; 1/3; 2/5; 2/5; 2/5; 4/9; 2/5; 7/18; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 3/10
Draw; 15/4; 13/4; 4; 10/3; 7/2; 10/3; 39/10; 16/5; 16/5; 100/30; 7/2; 38/11; 7/2; 57/17; 39/10; 18/5; 10/3; 39/11; 3
Celta Vigo; 7; 15/2; 89/10; 7; 7; 7; 15/2; 7; 15/2; 13/2; 25/4; 63/10; 13/2; 15/2; 7; 13/2; 32/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-02 22:20:24 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 4/11; 2/5; 2/5; 1/3; 4/11; 1/3; 4/11; 2/5; 2/5; 4/9; 2/5; 3/8; 2/5; 2/5; 4/11; 2/5; 2/5; 3/8; 3/10
Draw; 15/4; 18/5; 13/4; 4; 10/3; 7/2; 10/3; 4; 16/5; 16/5; 100/0; 7/2; 7/2; 7/2; 57/17; 39/10; 18/5; 10/3; 39/11; 3
Celta Vigo; 7; 17/2; 15/2; 89/10; 7; 7; 13/2; 7; 15/2; 7; 15/2; 13/2; 25/4; 63/10; 13/2; 15/2; 15/2; 27/4; 34/5; 
META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-03 02:20:16 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 4/9; 2/5; 2/5; 1/3; 4/11; 1/3; 4/11; 2/5; 2/5; 4/9; 2/5; 7/18; 2/5; 2/5; 4/11; 2/5; 2/5; 3/8; 3/10
Draw; 15/4; 16/5; 13/4; 4; 10/3; 7/2; 10/3; 4; 16/5; 16/5; 100/0; 10/3; 17/5; 7/2; 57/17; 39/10; 18/5; 10/3; 39/11; 3
Celta Vigo; 7; 15/2; 89/10; 7; 7; 13/2; 7; 15/2; 7; 15/2; 13/2; 25/4; 63/10; 13/2; 15/2; 15/2; 27/4; 34/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-03 10:20:50 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 1/3; 4/11; 2/5; 2/5; 4/9; 2/5; 3/8; 2/5; 2/5; 4/11; 2/5; 3/8; 4/11
Draw; 15/4; 16/5; 13/4; 4; 15/4; 7/2; 7/2; 4; 16/5; 16/5; 100/0; 10/3; 7/2; 7/2; 57/17; 39/10; 18/5; 39/11; 10/3
Celta Vigo; 7; 15/2; 89/10; 7; 13/2; 13/2; 7; 15/2; 7; 15/2; 13/2; 25/4; 63/10; 13/2; 15/2; 27/4; 34/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-03 14:20:24 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 1/3; 4/11; 2/5; 2/5; 4/9; 2/5; 7/18; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/11
Draw; 15/4; 16/5; 13/4; 4; 15/4; 7/2; 7/2; 4; 16/5; 16/5; 100/0; 7/2; 17/5; 7/2; 57/17; 39/10; 18/5; 10/3; 38/11; 10/3
Celta Vigo; 7; 15/2; 89/10; 7; 13/2; 13/2; 7; 15/2; 7; 15/2; 13/2; 25/4; 63/10; 13/2; 15/2; 15/2; 27/4; 34/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-celta-vigo; 2018-03-03 18:20:12 GMT+2; 2018-03-11 15:15; Nothing; Xlenovo
Atletico Madrid; 4/11; 4/9; 2/5; 2/5; 2/5; 4/11; 1/3; 4/11; 2/5; 2/5; 4/9; 2/5; 3/8; 2/5; 3/8; 4/11; 2/5; 2/5; 3/8; 4/11
Draw; 15/4; 16/5; 10/3; 4; 7/2; 7/2; 16/5; 4; 13/4; 16/5; 100/0; 7/2; 7/2; 7/2; 38/11; 39/10; 18/5; 10/3; 39/11; 3
