META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-11 18:19:02 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 121/00; 11/10; 11/10
Real Sociedad; 5/2; 12/5; 12/5
Draw; 13/5; 23/10; 12/5
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-11 22:18:47 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 67/50; 13/10; 23/17; 6/5; 27/20; 23/17
Real Sociedad; 23/10; 2; 19/10; 11/5; 2; 37/19
Draw; 5/2; 23/10; 9/4; 23/10; 12/5; 9/4
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-12 02:19:06 GMT+2; 2018-03-31 23:00; Nothing; Xlenovo
Eibar; 13/10; 67/50; 13/10; 13/10; 6/5; 27/20; 13/10
Real Sociedad; 2; 23/10; 2; 37/19; 11/5; 2; 37/19
Draw; 12/5; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-12 10:19:13 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 13/10; 67/50; 13/10; 13/10; 6/5; 11/8; 27/20; 13/10
Real Sociedad; 2; 23/10; 19/10; 37/19; 11/5; 2; 37/19; 
Draw; 12/5; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-12 14:19:48 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 13/10; 13/10; 139/00; 13/10; 27/20; 13/10; 6/5; 11/8; 13/10; 23/17
Real Sociedad; 2; 58/25; 2; 37/19; 11/5; 2; 37/19; ; ; 
Draw; 12/5; 12/5; 119/0; 23/10; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-12 18:19:51 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 13/10; 13/10; 11/8; 141/00; 13/10; 27/20; 13/10; 13/10; 6/5; 5/4; 13/10; 13/10; 13/10
Real Sociedad; 2; 19/10; 54/25; 19/10; 2; 21/10; 37/19; 11/5; 11/6; 2; 37/19; ; 
Draw; 12/5; 12/5; 12/5; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 28/11; 5/2; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-12 22:19:51 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 5/4; 13/10; 11/8; 141/00; 13/10; 23/17; 27/20; 13/10; 13/10; 6/5; 5/4; 23/17; 13/10; 13/10; 13/10
Real Sociedad; 21/10; 2; 19/10; 54/25; 19/10; 2; 21/10; 37/19; 11/5; 11/6; 2; 2; ; ; 
Draw; 12/5; 12/5; 12/5; 63/25; 23/10; 40/17; 12/5; 12/5; 23/10; 23/10; 28/11; 40/17; 5/2; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-13 02:19:39 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 5/4; 13/10; 11/8; 141/00; 13/10; 23/17; 7/5; 13/10; 13/10; 6/5; 5/4; 23/17; 13/10; 13/10; 13/10
Real Sociedad; 21/10; 2; 19/10; 54/25; 19/10; 2; 39/20; 21/10; 37/19; 11/5; 11/6; 2; 2; 37/19; 
Draw; 12/5; 12/5; 12/5; 63/25; 23/10; 40/17; 47/20; 12/5; 23/10; 23/10; 28/11; 40/17; 5/2; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-13 10:19:45 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 5/4; 13/10; 11/8; 141/00; 13/10; 23/17; 7/5; 13/10; 13/10; 6/5; 5/4; 23/17; 13/10; 13/10; 13/10
Real Sociedad; 21/10; 2; 19/10; 54/25; 19/10; 2; 39/20; 21/10; 37/19; 11/5; 11/6; 2; 2; 37/19; 
Draw; 12/5; 12/5; 12/5; 63/25; 23/10; 40/17; 47/20; 12/5; 23/10; 23/10; 28/11; 40/17; 5/2; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-13 14:19:54 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 5/4; 13/10; 11/8; 141/00; 13/10; 23/17; 7/5; 13/10; 13/10; 6/5; 5/4; 23/17; 13/10; 13/10; 13/10
Real Sociedad; 21/10; 2; 19/10; 54/25; 19/10; 2; 39/20; 21/10; 37/19; 11/5; 11/6; 2; 2; 37/19; 
Draw; 12/5; 12/5; 12/5; 63/25; 23/10; 40/17; 47/20; 12/5; 23/10; 23/10; 28/11; 40/17; 5/2; 12/5; 23/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-13 18:19:53 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 13/10; 11/8; 149/00; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 2; 19/10; 41/20; 19/10; 15/8; 15/8; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 7/4
Draw; 12/5; 12/5; 12/5; 5/2; 23/10; 23/10; 23/10; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 21/10
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-13 22:19:51 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 13/10; 11/8; 149/00; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 6/5
Real Sociedad; 19/10; 2; 19/10; 41/20; 9/5; 15/8; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 17/10
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-14 02:19:29 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 149/00; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 41/20; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-14 10:19:37 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 24/13; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 23/10; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-14 14:19:52 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-14 18:19:44 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-14 22:19:36 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-15 02:19:43 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-15 10:19:31 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
META; spain/la-liga-primera/eibar-v-real-sociedad; 2018-03-15 14:19:47 GMT+2; 2018-04-01 17:30; Nothing; Xlenovo
Eibar; 11/8; 7/5; 11/8; 36/25; 6/5; 11/8; 6/5; 23/17; 11/8; 29/20; 7/5; 23/17; 13/10; 5/4; 23/17; 11/8; 11/8; 7/5; 10/9
Real Sociedad; 19/10; 19/10; 19/10; 85/40; 9/5; 9/5; 9/5; 2; 15/8; 15/8; 2; 24/13; 37/19; 11/6; 2; 19/10; 19/10; 19/10; 13/8
Draw; 12/5; 12/5; 12/5; 5/2; 11/5; 23/10; 11/5; 40/17; 5/2; 47/20; 23/10; 9/4; 12/5; 28/11; 40/17; 5/2; 12/5; 23/10; 2
