META; spain/la-liga-primera/girona-v-espanyol; 2018-04-14 22:19:13 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 20/23; 5/6; 4/6
Draw; 47/20; 21/10; 21/10; 
Espanyol; 67/20; 3; 7/4; 
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-15 02:19:01 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 20/23; 5/6; 4/6
Draw; 47/20; 21/10; 21/10; 
Espanyol; 67/20; 3; 1/4; 
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-15 10:19:02 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 20/23; 5/6; 5/6
Draw; 47/20; 21/10; 21/10; 
Espanyol; 67/20; 3; 13/8; 
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-15 14:19:07 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 20/23; 5/6; 8/15
Draw; 47/20; 21/10; 21/10; 
Espanyol; 67/20; 3; 13/8; 
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-15 18:18:46 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 20/23; 5/6; 8/15
Draw; 47/20; 21/10; 21/10; 
Espanyol; 67/20; 3; 13/8; 
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-15 22:18:58 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 19/20; 11/10; 111/100; 1; 21/20; 10/11; 21/20; 19/20; 11/10; 1; 21/20; 68/67; 21/20; 21/20; 5/6
Draw; 23/10; 9/4; 59/25; 23/10; 23/10; 11/5; 11/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 40/17; 21/10
Espanyol; 3; 13/5; 31/10; 3; 13/5; 11/4; 13/5; 3; 13/5; 3; 13/5; 40/17; 11/4; 13/5; 2/5
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-16 02:18:47 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 19/20; 11/10; 111/100; 1; 21/20; 10/11; 21/20; 1; 11/10; 21/20; 21/20; 68/67; 21/20; 21/20; 4/6
Draw; 23/10; 9/4; 59/25; 23/10; 23/10; 11/5; 11/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 40/17; 19/10
Espanyol; 3; 13/5; 31/10; 3; 13/5; 11/4; 13/5; 3; 13/5; 14/5; 13/5; 40/17; 11/4; 13/5; 17/10
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-16 10:18:47 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 11/10; 11/10; 111/100; 1; 21/20; 10/11; 11/10; 21/20; 11/10; 11/10; 11/10; 68/67; 21/20; 11/10; 8/11; 11/10
Draw; 23/10; 9/4; 23/10; 59/25; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 40/17; 23/10; 12/5; 12/5; 19/10; 9/4
Espanyol; 13/5; 13/5; 13/5; 31/10; 29/10; 13/5; 13/5; 5/2; 11/4; 13/5; 11/4; 27/11; 40/17; 11/4; 5/2; 9/5; 13/5
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-16 14:19:14 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 21/20; 11/10; 11/10; 113/100; 1; 21/20; 10/11; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 68/67; 21/20; 11/10; 8/11; 11/10
Draw; 23/10; 12/5; 9/4; 23/10; 133/50; 12/5; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 5/2; 12/5; 40/17; 23/10; 12/5; 12/5; 19/10; 13/5
Espanyol; 13/5; 13/5; 13/5; 13/5; 133/50; 29/10; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 13/5; 13/5; 27/11; 40/17; 11/4; 5/2; 9/5; 13/5
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-16 18:19:25 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 21/20; 11/10; 11/10; 57/50; 1; 21/20; 10/11; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 68/67; 21/20; 21/20; 21/20; 8/11; 10/9
Draw; 23/10; 12/5; 9/4; 23/10; 123/50; 12/5; 23/10; 11/5; 23/10; 9/4; 23/10; 11/5; 23/10; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 40/17; 19/10; 12/5
Espanyol; 13/5; 13/5; 13/5; 13/5; 57/20; 29/10; 13/5; 13/5; 27/10; 5/2; 11/4; 14/5; 13/5; 13/5; 13/5; 13/5; 40/17; 27/10; 11/4; 45/17; 9/5; 11/4
META; spain/la-liga-primera/girona-v-espanyol; 2018-04-16 22:19:23 GMT+3; 2018-04-22 11:00; Nothing; Xlenovo
Girona; 21/20; 21/20; 11/10; 11/10; 57/50; 1; 21/20; 10/11; 21/20; 11/10; 21/20; 21/20; 23/20; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 11/10; 8/11; 10/9
