META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-16 14:19:35 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/9
Draw; 66/25; 23/10; 5/4
Las Palmas; 4; 7/2; 19/10
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-16 18:19:46 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/9
Draw; 66/25; 23/10; 5/4
Las Palmas; 4; 7/2; 19/10
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-16 22:19:43 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/20
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/10
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-17 02:19:38 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-17 10:19:38 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-17 14:19:45 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-17 18:19:48 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-17 22:19:52 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-18 02:19:24 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-18 10:19:28 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-18 14:19:38 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-18 18:19:39 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-18 22:19:30 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-19 02:18:44 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-19 10:18:44 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-19 14:18:52 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-19 18:18:51 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-19 22:18:50 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-20 02:18:23 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/25
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/25
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-20 10:18:25 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 1/20
Draw; 66/25; 23/10; 23/10; 19/10
Las Palmas; 4; 15/4; 7/2; 1/10
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-20 14:18:34 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 4/6; 3/4; 3/4; 1/20
Draw; 66/25; 23/10; 23/10; 27/11; 27/11; 19/10
Las Palmas; 4; 15/4; 7/2; 4; 39/10; 23/20
META; spain/la-liga-primera/espanyol-v-las-palmas; 2018-04-20 18:18:34 GMT+3; 2018-04-28 12:00; Nothing; Xlenovo
Espanyol; 17/20; 4/6; 3/4; 4/6; 3/4; 3/4; 1/20
