META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-14 22:19:22 GMT+2; 2018-01-28 17:30; Nothing; Xlenovo
Sevilla; 11/20; ; 3/5; ; 51/100; 4/7; 5/9; 8/15; ; 6/10; ; ; ; ; ; ; 4/7; 10/17; 4/7; 8/13; ; 4/7; 3/5; 4/7; 10/17; ; 4/9; ; 
Draw; 3; ; 29/10; ; 13/4; 3; 29/10; 11/4; ; 29/10; ; ; ; ; ; ; 14/5; 37/13; 14/5; 56/19; ; 3; 3; 3; 37/13; ; 21/10; ; 
Getafe; 5; ; 9/2; ; 15/2; 11/2; 19/4; 11/2; ; 17/4; ; ; ; ; ; ; 5; 49/11; 5; 15/4; ; 9/2; 19/4; 19/4; 49/11; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-15 02:19:18 GMT+2; 2018-01-28 17:30; Nothing; Xlenovo
Sevilla; 11/20; ; 3/5; ; 51/100; 4/7; 4/7; 8/15; ; 6/10; ; ; ; 8/13; ; 8/13; 4/7; 10/17; 4/7; 8/13; ; 4/7; 3/5; 4/7; 10/17; ; 4/9; ; 
Draw; 3; ; 29/10; ; 13/4; 3; 29/10; 11/4; ; 29/10; ; ; ; 3; ; 3; 14/5; 37/13; 14/5; 56/19; ; 3; 3; 3; 37/13; ; 21/10; ; 
Getafe; 5; ; 17/4; ; 15/2; 11/2; 9/2; 11/2; ; 17/4; ; ; ; 9/2; ; 9/2; 5; 22/5; 5; 15/4; ; 9/2; 19/4; 19/4; 49/11; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-15 10:19:23 GMT+2; 2018-01-28 17:30; Nothing; Xlenovo
Sevilla; 11/20; ; 3/5; ; 13/20; 4/7; 4/7; 8/15; ; 6/10; ; ; ; 8/13; 8/13; 8/13; 4/7; 10/17; 4/7; 8/13; ; 4/7; 3/5; 4/7; 10/17; ; 4/9; ; 
Draw; 3; ; 29/10; ; 63/20; 3; 29/10; 11/4; ; 29/10; ; ; ; 3; 3; 3; 14/5; 37/13; 14/5; 56/19; ; 3; 3; 3; 37/13; ; 21/10; ; 
Getafe; 5; ; 17/4; ; 5; 11/2; 9/2; 11/2; ; 17/4; ; ; ; 9/2; 9/2; 9/2; 5; 22/5; 5; 15/4; ; 9/2; 19/4; 19/4; 49/11; ; 7/2; ; 
META; spain/la-liga-primera/sevilla-v-getafe; 2018-01-15 14:19:03 GMT+2; 2018-01-28 17:30; Nothing; Xlenovo
