META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-16 18:19:49 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 11/10; 4/6
Draw; 23/10; 2; 10/9
Athletic Bilbao; 13/5; 21/10; 5/4
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-16 22:19:46 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-17 02:19:41 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-17 10:19:41 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-17 14:19:49 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-17 18:19:51 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-17 22:19:55 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-18 02:19:28 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-18 10:19:32 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-18 14:19:42 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-18 18:19:42 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-18 22:19:33 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-19 02:18:48 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-19 10:18:48 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-19 14:18:55 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-19 18:18:54 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-19 22:18:53 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-20 02:18:27 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 23/20; 11/10; 1/25
Draw; 23/10; 2; 19/10; 
Athletic Bilbao; 13/5; 21/10; 21/10; 1/25
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-20 10:18:28 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 6/5; 11/10; 1/20
Draw; 23/10; 23/10; 21/10; 19/10
Athletic Bilbao; 13/5; 12/5; 23/10; 1/12
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-20 14:18:37 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 6/5; 11/10; 6/5; 6/5; 1/20
Draw; 23/10; 23/10; 21/10; 11/5; 11/5; 19/10
Athletic Bilbao; 13/5; 12/5; 23/10; 12/5; 12/5; 1/12
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-20 18:18:37 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
Real Sociedad; 13/10; 6/5; 5/4; 11/10; 6/5; 6/5; 1/20
Draw; 23/10; 23/10; 23/10; 21/10; 11/5; 11/5; 19/10
Athletic Bilbao; 13/5; 12/5; 2; 23/10; 12/5; 12/5; 1/12
META; spain/la-liga-primera/real-sociedad-v-athletic-bilbao; 2018-04-20 22:18:44 GMT+3; 2018-04-28 15:15; Nothing; Xlenovo
