META; spain/la-liga-primera/betis-v-levante; 2017-09-18 02:19:56 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; 17/20; 9/10; 10/11; 10/11; 19/20; 20/23; 5/6; 9/10; 13/15; 20/23; 20/23; ; 10/11; 10/11; 10/11; ; 9/10; 13/15; 93/100; 11/13; 9/10; 9/10; 20/23; 9/10; ; 5/6; ; 
Draw; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 40/17; 12/5; 12/5; 12/5; ; 5/2; 5/2; 5/2; ; 40/17; 27/11; 66/25; 23/10; 40/17; 12/5; 12/5; 49/20; ; 9/4; ; 
Levante; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 10/3; 10/3; 13/4; 16/5; 16/5; 16/5; ; 10/3; 16/5; 10/3; ; 16/5; 31/10; 7/2; 16/5; 16/5; 3; 16/5; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/betis-v-levante; 2017-09-21 02:20:23 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; 17/20; 9/10; 10/11; 10/11; 19/20; 5/6; 5/6; 11/13; 5/6; 5/6; 20/23; ; 10/11; 10/11; 10/11; ; 11/13; 13/15; 89/100; ; 11/13; 9/10; 20/23; 9/10; ; 5/6; ; 
Draw; 23/10; 5/2; 49/20; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; ; 5/2; 5/2; 5/2; ; 27/11; 5/2; 67/25; ; 27/11; 12/5; 5/2; 49/20; ; 23/10; ; 
Levante; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 7/2; 10/3; 7/2; 10/3; 13/4; 10/3; ; 10/3; 16/5; 10/3; ; 17/5; 16/5; 73/20; ; 17/5; 3; 16/5; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/betis-v-levante; 2017-09-21 10:20:28 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; 17/20; 17/20; 10/11; 10/11; 37/40; 17/20; 5/6; 11/13; 5/6; 5/6; 20/23; ; 10/11; 5/6; 10/11; ; 11/13; 5/6; 89/100; 13/16; 11/13; 9/10; 20/23; 9/10; ; 5/6; ; 
Draw; 23/10; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; ; 5/2; 5/2; 5/2; ; 27/11; 27/11; 67/25; 40/17; 27/11; 12/5; 12/5; 49/20; ; 23/10; ; 
Levante; 16/5; 10/3; 17/5; 16/5; 10/3; 16/5; 7/2; 10/3; 7/2; 10/3; 13/4; 10/3; ; 10/3; 7/2; 10/3; ; 17/5; 33/10; 73/20; 33/10; 17/5; 3; 16/5; 16/5; ; 3; ; 
META; spain/la-liga-primera/betis-v-levante; 2017-09-21 14:20:35 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 10/11; 17/20; 17/20; 10/11; 10/11; 17/20; 17/20; 5/6; 11/13; 11/13; 5/6; 20/23; 17/20; 10/11; 5/6; 10/11; 4/5; 11/13; 5/6; 89/100; 13/16; 11/13; 9/10; 17/20; 9/10; ; 5/6; ; 5/6
Draw; 23/10; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 27/11; 27/11; 67/25; 40/17; 27/11; 12/5; 12/5; 49/20; ; 23/10; ; 13/5
Levante; 16/5; 10/3; 7/2; 16/5; 10/3; 15/4; 7/2; 10/3; 7/2; 10/3; 13/4; 10/3; 10/3; 10/3; 7/2; 10/3; 7/2; 17/5; 33/10; 73/20; 33/10; 17/5; 3; 16/5; 16/5; ; 3; ; 7/2
META; spain/la-liga-primera/betis-v-levante; 2017-09-21 18:20:34 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 4/5; 17/20; 17/20; 10/11; 10/11; 17/20; 5/6; 5/6; 11/13; 5/6; 5/6; 5/6; 17/20; 10/11; 5/6; 10/11; 4/5; 11/13; 5/6; 9/10; 6/7; 11/13; 9/10; 17/20; 17/20; ; 5/6; ; 5/6
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 27/11; 27/11; 131/50; 13/5; 27/11; 12/5; 12/5; 51/20; ; 23/10; ; 5/2
Levante; 18/5; 10/3; 10/3; 16/5; 10/3; 15/4; 17/5; 10/3; 7/2; 17/5; 10/3; 16/5; 10/3; 10/3; 7/2; 10/3; 7/2; 17/5; 17/5; 37/10; 7/2; 17/5; 3; 16/5; 7/2; ; 10/3; ; 7/2
META; spain/la-liga-primera/betis-v-levante; 2017-09-21 22:20:39 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 4/5; 17/20; 5/6; 10/11; 10/11; 17/20; 4/5; 5/6; 11/13; 5/6; 4/5; 5/6; 17/20; 17/20; 5/6; 11/13; 4/5; 11/13; 5/6; 9/10; 6/7; 11/13; 4/5; 5/6; 5/6; ; 5/6; ; 5/6
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; 27/11; 5/2; 131/50; 13/5; 27/11; 5/2; 12/5; 51/20; ; 12/5; ; 5/2
Levante; 18/5; 10/3; 7/2; 16/5; 10/3; 15/4; 18/5; 10/3; 7/2; 7/2; 17/5; 7/2; 10/3; 7/2; 7/2; 7/2; 7/2; 17/5; 7/2; 37/10; 7/2; 17/5; 7/2; 10/3; 7/2; ; 10/3; ; 7/2
META; spain/la-liga-primera/betis-v-levante; 2017-09-22 02:20:26 GMT+3; 2017-09-25 20:00; Nothing; Xlenovo
Betis; 17/20; 17/20; 17/20; 4/5; 4/5; 17/20; 17/20; 4/5; 11/13; 5/6; 5/6; 5/6; 17/20; 5/6; 5/6; 11/13; 4/5; 11/13; 5/6; 9/10; 6/7; 11/13; 5/6; 5/6; 5/6; ; 5/6; ; 5/6
