META; spain/la-liga-primera/eibar-v-getafe; 2018-04-14 18:20:02 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 10/11; 10/11; 
Draw; 117/50; 2; 19/10; 
Getafe; 13/4; 29/10; 11/4; 13/8
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-14 22:19:06 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 10/11; 10/11; 
Draw; 117/50; 2; 19/10; 
Getafe; 13/4; 29/10; 11/4; 13/8
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-15 02:18:55 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 1; 10/11; 4/7
Draw; 117/50; 12/5; 11/5; 19/10
Getafe; 13/4; 3; 11/4; 13/8
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-15 10:18:55 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 1; 10/11; 4/7; 4/7
Draw; 117/50; 12/5; 11/5; 19/10; 1/6
Getafe; 13/4; 3; 11/4; 13/8; 2/15
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-15 14:19:00 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 19/20; 10/11; 4/7; 4/7
Draw; 117/50; 23/10; 11/5; 19/10; 2/9
Getafe; 13/4; 16/5; 3; 13/8; 2/11
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-15 18:18:39 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 27/25; 19/20; 10/11; 4/7; 4/7
Draw; 117/50; 23/10; 11/5; 19/10; 1/4
Getafe; 13/4; 16/5; 3; 13/8; 2/9
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-15 22:18:51 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 1; 23/20; 121/100; 21/20; 11/10; 10/11; 11/10; 1; 11/10; 21/20; 11/10; 13/12; 11/10; 11/10; 5/6; 10/9
Draw; 23/10; 21/10; 23/10; 23/10; 9/4; 11/5; 21/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 40/17; 19/10; 21/10
Getafe; 14/5; 13/5; 57/20; 29/10; 5/2; 13/5; 13/5; 3; 13/5; 14/5; 5/2; 9/4; 27/10; 28/11; 3/10; 11/4
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-16 02:18:41 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 1; 23/20; 121/100; 21/20; 11/10; 10/11; 11/10; 21/20; 11/10; 11/10; 11/10; 13/12; 11/10; 11/10; 5/6; 10/9
Draw; 23/10; 21/10; 23/10; 23/10; 9/4; 11/5; 21/10; 23/10; 11/5; 23/10; 23/10; 11/5; 23/10; 40/17; 19/10; 21/10
Getafe; 14/5; 13/5; 57/20; 29/10; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 9/4; 27/10; 28/11; 19/10; 11/4
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-16 10:18:40 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 1; 23/20; 11/10; 121/100; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 11/10; 13/12; 11/10; 11/10; 5/6; 10/9
Draw; 23/10; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 21/10; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 40/17; 2; 21/10
Getafe; 14/5; 13/5; 13/5; 57/20; 14/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 9/4; 27/10; 28/11; 2; 11/4
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-16 14:19:07 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 1; 11/10; 6/5; 11/10; 119/100; 11/10; 11/10; 1; 23/20; 21/20; 11/10; 6/5; 6/5; 11/10; 15/13; 13/12; 23/20; 6/5; 5/6; 10/9
Draw; 23/10; 11/5; 21/10; 9/4; 63/25; 23/10; 11/5; 21/10; 21/10; 9/4; 11/5; 43/20; 23/10; 23/10; 23/10; 11/5; 23/10; 40/17; 2; 23/10
Getafe; 14/5; 13/5; 5/2; 13/5; 53/20; 14/5; 5/2; 13/5; 5/2; 11/4; 13/5; 5/2; 12/5; 13/5; 27/11; 9/4; 13/5; 27/11; 13/8; 13/5
META; spain/la-liga-primera/eibar-v-getafe; 2018-04-16 18:19:18 GMT+3; 2018-04-21 12:00; Nothing; Xlenovo
Eibar; 21/20; 11/10; 6/5; 11/10; 127/100; 11/10; 6/5; 11/10; 6/5; 23/20; 11/10; 6/5; 6/5; 6/5; 11/10; 6/5; 13/12; 6/5; 23/20; 6/5; 5/6; 6/5
Draw; 23/10; 11/5; 21/10; 9/4; 23/10; 23/10; 11/5; 9/4; 21/10; 21/10; 9/4; 2; 43/20; 11/5; 9/4; 11/5; 11/5; 21/10; 23/10; 9/4; 19/10; 21/10
