META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-19 02:19:08 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/25
Draw; 5; 4; 23/10; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 20/21
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-19 10:19:08 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/4
Draw; 5; 4; 12/5; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-19 14:19:16 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/4
Draw; 5; 4; 12/5; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-19 18:19:15 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/4
Draw; 5; 4; 12/5; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-19 22:19:14 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/4
Draw; 5; 4; 12/5; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-20 02:18:47 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 2/7; 1/4; 1/4
Draw; 5; 4; 12/5; 
Deportivo La Coruna; 11/2; 13/2; 13/2; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-20 10:18:49 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 3/10; 2/9
Draw; 5; 4; 23/10; 
Deportivo La Coruna; 11/2; 7; 13/2; 10/3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-20 14:18:58 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 3/10; 4/11; 4/11; 1/4
Draw; 5; 4; 22/5; 22/5; 23/10; 
Deportivo La Coruna; 11/2; 7; 13/2; 23/4; 23/4; 3
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-20 18:18:58 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 3/10; 4/11; 4/11; 1/4
Draw; 5; 4; 9/2; 22/5; 23/10; 
Deportivo La Coruna; 11/2; 13/2; 6; 23/4; 3; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-20 22:19:06 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 2/5; 3/10; 4/11; 4/11; 1/4
Draw; 5; 4; 9/2; 22/5; 23/10; ; 
Deportivo La Coruna; 11/2; 13/2; 11/2; 6; 23/4; 3; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-21 02:18:52 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 2/5; 3/10; 4/11; 4/11; 2/5; 4/11; 1/4
Draw; 5; 4; 9/2; 4; 22/5; 11/4; ; ; 
Deportivo La Coruna; 11/2; 13/2; 11/2; 6; 13/2; 6; 23/4; 7/2; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-21 10:18:58 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 2/5; 3/10; 4/11; 4/11; 2/5; 4/11; 1/4
Draw; 5; 4; 9/2; 4; 22/5; 7/2; ; ; 
Deportivo La Coruna; 11/2; 13/2; 11/2; 6; 13/2; 6; 23/4; 7/2; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-21 14:19:11 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 11/25; 4/11; 2/5; 3/10; 4/11; 4/11; 2/5; 4/11; 1/4
Draw; 5; 4; 9/2; 4; 22/5; 7/2; ; ; 
Deportivo La Coruna; 11/2; 13/2; 11/2; 6; 13/2; 6; 23/4; 7/2; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-21 18:18:54 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 2/5; 11/25; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 2/7
Draw; 15/4; 5; 4; 7/2; 9/2; 18/5; 4; 74/17; 22/5; 4; 22/5; 11/4; 
Deportivo La Coruna; 13/2; 11/2; 6; 11/2; 11/2; 6; 13/2; 11/2; 6; 23/4; 6; 7/2; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-21 22:19:10 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 2/5; 4/9; 11/25; 2/5; 2/5; 4/11; 4/11; 4/9; 4/9; 4/9; 7/18; 4/11; 4/9; 2/5; 3/10
Draw; 4; 7/2; 5; 15/4; 7/2; 9/2; 7/2; 15/4; 4; 75/19; 22/5; 19/5; 4; ; 
Deportivo La Coruna; 11/2; 11/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 5; 11/2; 53/10; 23/4; 11/2; 91/17; 7/2
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 02:19:00 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 11/25; 2/5; 7/20; 1/3; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 4; 7/2; 9/2; 19/5; 4; 17/4; 9/2; 4; 22/5; 17/4; 77/19; 3; ; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 13/2; 6; 7; 13/2; 6; 13/2; 25/4; 23/4; 15/2; 25/4; 7/2; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 02:25:05 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 11/25; 2/5; 7/20; 1/3; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 4; 7/2; 9/2; 19/5; 4; 17/4; 9/2; 4; 22/5; 17/4; 77/19; 3; ; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 13/2; 6; 7; 13/2; 6; 13/2; 25/4; 23/4; 15/2; 25/4; 7/2; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 10:19:00 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 11/25; 2/5; 1/3; 1/3; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 4; 7/2; 9/2; 19/5; 4; 17/4; 9/2; 4; 22/5; 17/4; 77/19; 3; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 7; 6; 13/2; 6; 13/2; 25/4; 23/4; 15/2; 25/4; 7/2; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 10:25:04 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 11/25; 2/5; 1/3; 1/3; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 4; 7/2; 9/2; 19/5; 4; 17/4; 9/2; 4; 22/5; 17/4; 77/19; 3; ; 
Deportivo La Coruna; 7; 11/2; 13/2; 7; 6; 13/2; 6; 13/2; 25/4; 23/4; 15/2; 25/4; 7/2; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 14:19:09 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 19/50; 4/11; 1/3; 3/10; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 47/10; 4; 4; 9/2; 19/5; 4; 17/4; 4; 22/5; 17/4; 77/19; 3; ; 
Deportivo La Coruna; 7; 77/10; 7; 13/2; 6; 13/2; 6; 25/4; 23/4; 15/2; 25/4; 7/2; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 14:26:56 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 19/50; 4/11; 1/3; 3/10; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 47/10; 4; 4; 9/2; 19/5; 4; 17/4; 4; 22/5; 17/4; 77/19; 3; ; 
Deportivo La Coruna; 7; 77/10; 7; 13/2; 6; 13/2; 6; 25/4; 23/4; 7; 25/4; 7/2; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 18:18:40 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 4/11; 19/50; 4/11; 1/3; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 4/11; 10/29; 4/11; 4/11; 4/11; 1/4
Draw; 17/4; 4; 47/10; 4; 4; 9/2; 19/5; 4; 17/4; 4; 75/19; 22/5; 17/4; 77/19; 3; ; ; ; 
Deportivo La Coruna; 7; 7; 77/10; 7; 13/2; 6; 13/2; 7; 7; 25/4; 11/2; 23/4; 7; 25/4; 7/2; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-22 22:18:15 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
Barcelona; 1/3; 4/11; 4/11; 19/50; 4/11; 7/20; 3/10; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 7/19; 10/29; 4/11; 4/11; 3/8; 2/7
Draw; 17/4; 4; 47/10; 4; 4; 9/2; 19/5; 4; 17/4; 4; 77/19; 75/19; 22/5; 17/4; 41/10; 3; ; ; 
Deportivo La Coruna; 7; 7; 77/10; 7; 13/2; 6; 13/2; 7; 7; 25/4; 11/2; 23/4; 7; 13/2; 7/2; ; ; ; 
META; spain/la-liga-primera/deportivo-la-coruna-v-barcelona; 2018-04-23 02:18:04 GMT+3; 2018-04-29 19:45; Nothing; Xlenovo
