META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-06 02:20:04 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-06 10:19:59 GMT+2; 2018-03-18 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 2/9; 1/5; 1/5; 11/50; 1/7; 2/13; 1/7; 2/11; 1/5; 1/5; 2/9; 2/9; 1/5; 2/11; 2/11; 1/5; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 6; 34/5; 6; 6; 11/2; 11/2; 11/2; 6; 29/5; 6; 29/5; 23/4; 13/2; 6; 76/13; ; ; ; 
Girona; 14; 11; 12; 11; 14; 10; 10; 12; 12; 12; 11; 10; 12; 47/4; 23/2; 9; 12; 12; 14; 47/4; 
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-06 14:20:04 GMT+2; 2018-03-18 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 2/9; 1/5; 1/5; 11/50; 1/7; 2/13; 1/7; 2/11; 1/5; 1/5; 2/9; 2/9; 1/5; 1/6; 2/11; 1/5; 2/11; 2/11; 1/6
Draw; 6; 11/2; 6; 34/5; 6; 6; 11/2; 11/2; 11/2; 6; 59/10; 6; 29/5; 23/4; 6; ; ; ; ; 
Girona; 14; 11; 12; 11; 14; 10; 10; 12; 12; 12; 11; 10; 12; 47/4; 23/2; 9; 12; 14; 12; 
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-06 18:20:09 GMT+2; 2018-03-18 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 2/9; 1/5; 1/5; 11/50; 1/7; 2/13; 1/7; 2/11; 1/5; 1/5; 2/9; 2/9; 1/5; 2/11; 2/11; 1/5; 2/11; 2/11; 2/11; 2/11
Draw; 6; 11/2; 6; 34/5; 6; 6; 11/2; 11/2; 11/2; 6; 29/5; 6; 29/5; 23/4; 13/2; 6; 76/13; ; ; ; 
Girona; 14; 11; 12; 11; 14; 10; 10; 12; 12; 12; 11; 10; 12; 47/4; 23/2; 9; 12; 12; 14; 47/4; 
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-07 10:52:38 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-07 14:20:06 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-07 18:20:16 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-07 22:19:59 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-08 02:19:53 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-08 10:19:53 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
META; spain/la-liga-primera/athletic-bilbao-v-celta-vigo; 2018-03-08 14:20:05 GMT+2; 2018-04-01 15:00; Nothing; Xlenovo
Athletic Bilbao; 24/25; 9/10; 9/10
Draw; 12/5; 9/4; 9/4
Celta Vigo; 15/4; 13/4; 7/2
