META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-21 02:20:38 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Draw; 13/5; ; ; ; 11/4; 11/4; 11/4; 13/5; 27/10; 27/10; 13/5; 13/5; ; 11/4; 11/4; 27/10; 13/5; ; 45/17; 71/25; 27/10; 27/10; ; 13/5; 27/10; ; 5/2; ; 
Betis; 10/3; ; ; ; 10/3; 15/4; 16/5; 7/2; 4; 3; 3; 16/5; ; 18/5; 16/5; 10/3; 7/2; ; 41/13; 5; 11/4; 39/10; ; 16/5; 3; ; 3; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-22 14:22:01 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 4/5; ; ; ; 5/6; 4/5; 5/6; 8/11; 7/10; 5/6; 5/6; 5/6; ; 4/5; 5/6; 5/6; 3/4; ; 4/5; 4/5; 5/6; 7/10; ; 4/5; 5/6; ; 8/11; ; 
Draw; 13/5; ; ; ; 11/4; 11/4; 11/4; 13/5; 27/10; 27/10; 13/5; 13/5; ; 11/4; 11/4; 27/10; 13/5; ; 45/17; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 5/2; ; 
Betis; 10/3; ; ; ; 10/3; 15/4; 16/5; 7/2; 4; 3; 3; 16/5; ; 18/5; 16/5; 10/3; 7/2; ; 41/13; 41/10; 11/4; 39/10; ; 16/5; 3; ; 3; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-22 18:20:54 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; ; 17/20; 4/5; 5/6; 5/6; 4/5; 5/6; 5/6; 5/6; ; 4/5; ; 5/6; 3/4; 4/5; 4/5; 4/5; 5/6; 4/5; ; 4/5; 17/20; ; 8/11; ; 
Draw; 13/5; ; ; ; 11/4; 11/4; 11/4; 13/5; 27/10; 27/10; 27/10; 11/4; ; 11/4; ; 11/4; 13/5; ; 45/17; 14/5; 27/10; 27/10; ; 13/5; 27/10; ; 21/10; ; 
Betis; 16/5; ; ; ; 16/5; 15/4; 16/5; 16/5; 13/4; 3; 29/10; 3; ; 18/5; ; 10/3; 7/2; 16/5; 3; 41/10; 11/4; 16/5; ; 16/5; 3; ; 12/5; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-22 22:21:03 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 5/6; ; ; ; 9/10; 19/20; 10/11; 4/5; 4/5; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 9/10; 4/5; 13/15; 23/25; 7/8; 4/5; ; 20/23; 17/20; ; 4/7; ; 
