META; spain/la-liga-primera/espanyol-v-real-sociedad; 2018-03-02 17:42:42 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
Espanyol; 11/8; 7/5; 6/4; 7/5; 7/5; 13/10; 7/5; 29/20; 7/5; 7/5; 7/5; 7/5; 4/3; 11/8; 7/5; 7/5; 13/10
Real Sociedad; 2; 19/10; 43/20; 2; 15/8; 15/8; 19/10; 15/8; 2; 19/10; 24/13; 2; 29/16; 2; 39/20; 24/13; 15/8
Draw; 11/5; 9/4; 59/25; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 9/4; 21/10; 12/5; 12/5; 23/10; 9/4; 21/10
META; spain/la-liga-primera/espanyol-v-real-sociedad; 2018-03-02 22:20:21 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
Espanyol; 11/8; 11/8; 6/4; 6/4; 29/20; 7/5; 11/8; 7/5; 6/4; 31/20; 7/5; 7/5; 7/5; 7/5; 15/11; 7/5; 29/20; 29/20; 16/11; 11/8
Real Sociedad; 2; 9/5; 43/20; 19/10; 15/8; 9/5; 2; 9/5; 17/10; 2; 19/10; 24/13; 2; 30/17; 2; 15/8; 15/8; 24/13; 7/4; 
Draw; 11/5; 23/10; 9/4; 59/25; 23/10; 11/5; 11/5; 11/5; 11/5; 12/5; 23/10; 9/4; 11/5; 21/10; 12/5; 11/5; 12/5; 23/10; 11/5; 21/10
META; spain/la-liga-primera/espanyol-v-real-sociedad; 2018-03-03 02:20:13 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
Espanyol; 11/8; 6/4; 6/4; 6/4; 29/20; 7/5; 11/8; 7/5; 6/4; 31/20; 7/5; 7/5; 7/5; 7/5; 15/11; 7/5; 29/20; 29/20; 16/11; 11/8
Real Sociedad; 2; 9/5; 9/5; 43/20; 19/10; 15/8; 9/5; 2; 9/5; 17/10; 2; 15/8; 24/13; 2; 30/17; 2; 15/8; 15/8; 24/13; 7/4
Draw; 11/5; 23/10; 9/4; 59/25; 23/10; 11/5; 11/5; 11/5; 11/5; 12/5; 23/10; 9/4; 11/5; 21/10; 12/5; 11/5; 12/5; 23/10; 11/5; 21/10
META; spain/la-liga-primera/espanyol-v-real-sociedad; 2018-03-03 10:20:47 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
