META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 02:19:23 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 10:19:27 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 14:19:42 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 18:19:26 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/9
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3
META; spain/la-liga-primera/fc-barcelona-v-real-madrid; 2017-08-13 22:19:21 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
FC Barcelona; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1
Real Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3
