META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 02:20:06 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 10:20:10 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 14:20:19 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 18:20:08 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-21 22:20:10 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-22 02:20:04 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-22 10:20:13 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-22 14:20:17 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 37/50; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 139/ 50; ; ; ; ; ; ; ; ; ; 
Eibar; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 4; ; 47/10; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-22 18:20:18 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; ; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; ; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; ; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-22 22:20:15 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 4/6; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; ; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-23 02:19:56 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 4/6; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; ; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-23 10:19:58 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 4/6; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; ; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; ; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-23 14:20:17 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 4/6; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; 4/6; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; 17/4; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-23 18:19:42 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 13/20; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; 4/6; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; 17/4; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-23 22:19:14 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 13/20; 4/6; ; ; ; ; ; ; ; ; 4/6; ; 4/6; ; ; 4/6; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 13/5; 13/5; ; ; ; ; ; ; ; ; 13/5; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; ; ; ; ; ; 4; ; 4; ; ; 17/4; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-24 02:19:28 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 37/50; ; 4/6; 4/6; ; ; ; 7/10; ; ; ; ; 4/6; ; 4/6; ; ; 4/6; ; 7/10; ; ; ; ; 
Draw; ; ; ; ; 139/ 50; ; 5/2; 5/2; ; ; ; 13/5; ; ; ; ; 13/5; ; 13/5; ; ; 13/5; ; 13/5; ; ; ; ; 
Eibar; ; ; ; ; 47/10; ; 17/4; 9/2; ; ; ; 4; ; ; ; ; 4; ; 4; ; ; 17/4; ; 17/4; ; ; ; ; 
META; spain/la-liga-primera/eibar-v-atletico-madrid; 2017-12-24 10:19:23 GMT+2; 2018-01-13 17:30; Nothing; Xlenovo
Atletico Madrid; ; ; ; ; 87/ 100; ; 7/10; 4/6; ; ; ; 7/10; ; ; ; ; 4/6; ; 4/6; ; ; 4/6; ; 7/10; ; ; ; ; 
