META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-02 17:42:28 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 4/9; 12/25; 4/9; 2/5; 4/9; 4/9; 4/9; 9/20; 4/9; 5/11; 5/12; 4/9; 9/20; 12/25; 10/21; 2/5; 
Draw; 15/4; 17/5; 21/5; 18/5; 7/2; 10/3; 17/5; 18/5; 10/3; 15/4; 7/2; 7/2; 15/4; 62/17; 19/5; 7/2; 38/11; 3
Eibar; 6; 11/2; 29/5; 6; 11/2; 6; 11/2; 6; 94/19; 11/2; 47/10; 11/2; 21/4; 5; 11/2; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-02 22:20:07 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 2/5; 1/2; 12/25; 4/9; 2/5; 5/11; 1/2; 4/9; 4/9; 9/20; 4/9; 7/15; 5/12; 7/15; 5/11; 9/20; 12/25; 7/15; 2/5
Draw; 15/4; 19/5; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 15/4; 7/2; 15/4; 18/5; 37/10; 15/4; 7/2; 7/2
Eibar; 6; 11/2; 29/5; 6; 27/5; 5; 11/2; 6; 11/2; 11/2; 49/10; 11/2; 9/2; 21/4; 21/4; 21/4; 94/19; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 02:19:59 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 2/5; 5/11; 1/2; 4/9; 4/9; 9/20; 4/9; 7/15; 5/12; 7/15; 5/11; 9/20; 12/25; 7/15; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 7/2; 7/2; 15/4; 18/5; 37/10; 15/4; 7/2; 7/2
Eibar; 6; 11/2; 29/5; 6; 27/5; 5; 11/2; 6; 11/2; 11/2; 49/10; 11/2; 9/2; 21/4; 21/4; 21/4; 94/19; ; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 10:20:27 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 2/5; 5/11; 1/2; 4/9; 4/9; 9/20; 4/9; 7/15; 5/12; 7/15; 5/11; 9/20; 7/15; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 7/2; 7/2; 15/4; 18/5; 37/10; 15/4; 7/2
Eibar; 6; 11/2; 29/5; 6; 5; 27/5; 5; 11/2; 6; 11/2; 11/2; 49/10; 11/2; 9/2; 21/4; 21/4; 94/19; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 14:20:07 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 7/15; 2/5; 5/11; 1/2; 4/9; 9/20; 4/9; 7/15; 5/12; 7/15; 5/11; 9/20; 12/25; 10/21; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 15/4; 38/11; 15/4; 18/5; 37/10; 15/4; 7/2; 38/11
Eibar; 6; 11/2; 29/5; 6; 5; 27/5; 5; 11/2; 6; 11/2; 11/2; 49/10; 11/2; 9/2; 21/4; 21/4; 21/4; 94/19; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 18:19:54 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 7/15; 2/5; 5/11; 1/2; 4/9; 9/20; 4/9; 10/21; 5/12; 7/15; 5/11; 9/20; 12/25; 17/35; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 15/4; 15/4; 39/11; 15/4; 18/5; 37/10; 15/4; 7/2; 18/5
Eibar; 6; 11/2; 29/5; 6; 5; 27/5; 5; 11/2; 6; 11/2; 11/2; 5; 11/2; 9/2; 21/4; 21/4; 21/4; 96/19; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-03 22:19:13 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
Real Madrid; 2/5; 1/2; 1/2; 12/25; 4/9; 7/15; 2/5; 5/11; 1/2; 4/9; 1/2; 9/20; 4/9; 10/21; 5/11; 5/11; 1/2; 12/25; 17/35; 2/5
Draw; 15/4; 7/2; 10/3; 21/5; 18/5; 7/2; 10/3; 37/10; 10/3; 19/5; 10/3; 17/5; 15/4; 15/4; 39/11; 15/4; 37/10; 18/5; 7/2; 18/5
Eibar; 6; 11/2; 29/5; 6; 5; 27/5; 5; 11/2; 6; 11/2; 11/2; 11/2; 5; 19/4; 21/4; 21/4; 21/4; 96/19; ; 
META; spain/la-liga-primera/eibar-v-real-madrid; 2018-03-04 02:19:01 GMT+2; 2018-03-10 12:00; Nothing; Xlenovo
