META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-10 22:19:49 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-11 02:19:44 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-11 10:19:47 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-11 14:19:55 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-11 18:19:58 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-11 22:20:04 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/5; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-12 02:21:01 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-12 10:19:45 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-12 14:19:47 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-12 18:19:41 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2017-08-12 22:20:10 GMT+3; 2018-05-27 18:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-04-30 14:18:21 GMT+3; 2018-05-13 13:00; Nothing; Xlenovo
Alaves; 149/00; 4/6
Athletic Bilbao; 54/25; 20/21
Draw; 59/25; 1
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-04-30 18:18:21 GMT+3; 2018-05-13 13:00; Nothing; Xlenovo
Alaves; 149/00; 4/6
Athletic Bilbao; 54/25; 20/21
Draw; 59/25; 1
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-04-30 22:18:20 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 2; 1; 
Draw; 59/25; 21/10; 11/5; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-01 02:18:08 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 2; 1; 
Draw; 59/25; 21/10; 11/5; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-01 10:18:09 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-01 14:18:14 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-01 18:18:14 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-01 22:18:18 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-02 02:18:08 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-02 10:18:08 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 8/11
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 1; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-02 14:18:21 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-02 18:18:44 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-02 22:18:36 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-03 02:18:30 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-03 10:18:33 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-03 14:18:40 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-03 18:18:39 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-03 22:18:36 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-04 02:18:26 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-04 10:18:27 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 13/10; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 15/8; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 21/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-04 14:18:38 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 2; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 23/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-04 18:18:44 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 2; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 23/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-04 22:18:38 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 2; 15/8; 2; 19/10; 2; 5/4; 
Draw; 59/25; 23/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-05 02:18:26 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Alaves; 149/00; 7/5; 13/10; 7/5; 7/5; 7/5; 7/5; 5/6
Athletic Bilbao; 54/25; 2; 15/8; 2; 19/10; 2; 7/5; 
Draw; 59/25; 23/10; 21/10; 11/5; 23/10; 9/4; 11/5; 9/5
META; spain/la-liga-primera/alaves-v-athletic-bilbao; 2018-05-05 10:18:32 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
