Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 5/2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 10:19:39 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 6/5; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 6/5; 23/20; 6/5; 15/13; 15/13; 61/50; 10/9; 5/4; 11/10; 6/5; 11/10; 6/5; ; 20/21; ; 
Barcelona; ; ; 19/10; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 19/10; ; 2; 21/10; 2; 21/10; 39/19; 56/25; 29/16; 19/10; 2; 19/10; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 14/5; ; ; ; 14/5; 13/5; 13/5; 29/10; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 5/2; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 14:19:59 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 6/5; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 6/5; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 20/21; ; 
Barcelona; ; ; 19/10; ; 21/10; 11/5; 15/8; 21/10; 21/10; 19/10; ; 2; ; 2; 21/10; 21/10; 21/10; 39/19; 21/10; 29/16; 19/10; 2; 2; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; ; ; 14/5; 11/4; 11/4; 11/4; 27/10; ; 13/5; ; ; ; 14/5; 13/5; 13/5; 72/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 19/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-12 18:20:48 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 6/5; ; 15/13; 23/20; 6/5; 11/10; 15/13; 11/10; ; 6/5; ; 6/5; 23/20; 6/5; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; ; ; 
