META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-01 22:19:16 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 13/10; 21/20; 5/4; 1; 5/4; 23/20; 13/10; 9/8; 6/5; 6/5; 21/20
Draw; 12/5; 2; 21/10; 2; 9/4; 11/5; 28/13; 85/40; 21/10; 19/10; 
Espanyol; 5/2; 5/2; 23/10; 5/2; 11/4; 13/5; 2; 12/5; 27/10; 51/20; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-02 02:19:06 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 33/25; 21/20; 5/4; 1; 5/4; 23/20; 5/4; 5/4; 9/8; 23/20; 6/5; 5/4; 20/21
Draw; 117/50; 2; 21/10; 2; 9/4; 21/10; 11/5; 28/13; 11/5; 21/10; 9/4; 19/10; 
Espanyol; 63/25; 5/2; 23/10; 5/2; 11/4; 13/5; 5/2; 21/10; 12/5; 27/10; 51/20; 28/13; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-02 10:19:12 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 133/100; 11/10; 5/4; 11/10; 5/4; 23/20; 5/4; 5/4; 9/8; 23/20; 6/5; 5/4; 1
Draw; 57/25; 19/10; 21/10; 15/8; 2; 9/4; 2; 11/5; 28/13; 11/5; 21/10; 9/4; 19/10
Espanyol; 64/25; 5/2; 23/10; 5/2; 11/4; 13/5; 5/2; 21/10; 12/5; 27/10; 51/20; 28/13; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-02 14:20:29 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 23/20; 133/100; 11/10; 6/5; 11/10; 5/4; 23/20; 5/4; 15/13; 15/13; 9/8; 23/20; 23/20; 6/5; 1
Draw; 2; 57/25; 19/10; 21/10; 15/8; 2; 9/4; 2; 9/4; 11/5; 28/13; 85/40; 21/10; 9/4; 19/10
Espanyol; 14/5; 64/25; 5/2; 5/2; 5/2; 11/4; 13/5; 13/5; 9/4; 12/5; 12/5; 11/4; 53/20; 23/10; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-02 18:20:25 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 23/20; 133/100; 11/10; 6/5; 11/10; 5/4; 23/20; 5/4; 15/13; 15/13; 9/8; 23/20; 23/20; 6/5; 1
Draw; 2; 57/25; 19/10; 21/10; 15/8; 2; 9/4; 2; 9/4; 11/5; 28/13; 85/40; 21/10; 9/4; 19/10
Espanyol; 14/5; 64/25; 5/2; 5/2; 5/2; 11/4; 13/5; 13/5; 9/4; 12/5; 12/5; 11/4; 53/20; 23/10; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-02 22:20:23 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 23/20; 133/100; 11/10; 6/5; 11/10; 5/4; 23/20; 5/4; 11/10; 15/13; 23/20; 23/20; 11/10; 1
Draw; 2; 57/25; 19/10; 21/10; 15/8; 2; 9/4; 2; 9/4; 11/5; 85/40; 21/10; 9/4; 19/10
Espanyol; 14/5; 64/25; 5/2; 5/2; 5/2; 11/4; 13/5; 13/5; 12/5; 12/5; 14/5; 27/10; 12/5; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-03 02:20:07 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 23/20; 23/20; 133/100; 11/10; 6/5; 11/10; 23/20; 23/20; 6/5; 11/10; 15/13; 12/11; 11/10; 11/10; 11/10; 1
Draw; 2; 57/25; 19/10; 21/10; 15/8; 21/10; 9/4; 2; 9/4; 11/5; 28/13; 11/5; 21/10; 23/10; 19/10; 
Espanyol; 14/5; 14/5; 64/25; 5/2; 12/5; 5/2; 11/4; 13/5; 13/5; 12/5; 12/5; 5/2; 14/5; 11/4; 12/5; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-03 10:20:09 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 11/10; 23/20; 32/25; 11/10; 6/5; 11/10; 23/20; 23/20; 11/10; 11/10; 15/13; 12/11; 11/10; 11/10; 11/10; 1
Draw; 2; 111/50; 19/10; 21/10; 15/8; 21/10; 9/4; 2; 9/4; 11/5; 28/13; 11/5; 21/10; 9/4; 19/10; 
Espanyol; 29/10; 14/5; 69/25; 5/2; 5/2; 5/2; 11/4; 13/5; 14/5; 12/5; 12/5; 5/2; 14/5; 11/4; 27/11; 23/10
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-03 14:20:16 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 11/10; 23/20; 32/25; 21/20; 11/10; 1; 23/20; 23/20; 11/10; 21/20; 15/13; 12/11; 11/10; 11/10; 21/20; 20/21
Draw; 2; 111/50; 19/10; 2; 15/8; 21/10; 9/4; 2; 39/19; 11/5; 28/13; 85/40; 21/10; 21/10; 19/10; 
Espanyol; 29/10; 14/5; 69/25; 13/5; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 12/5; 5/2; 29/10; 11/4; 14/5; 12/5
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-03 18:20:17 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 11/10; 23/20; 32/25; 21/20; 11/10; 1; 23/20; 23/20; 11/10; 21/20; 15/13; 12/11; 11/10; 11/10; 11/10; 20/21
Draw; 2; 111/50; 19/10; 2; 15/8; 21/10; 9/4; 2; 39/19; 11/5; 28/13; 85/40; 21/10; 21/10; 19/10; 
Espanyol; 29/10; 14/5; 69/25; 13/5; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 12/5; 5/2; 29/10; 11/4; 14/5; 12/5
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-03 22:20:06 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
Getafe; 11/10; 23/20; 23/20; 32/25; 1; 11/10; 1; 21/20; 23/20; 11/10; 23/20; 11/10; 21/20; 15/13; 12/11; 21/20; 11/10; 11/10; 11/10; 10/11
Draw; 2; 2; 111/50; 19/10; 2; 15/8; 21/10; 2; 21/10; 2; 11/5; 28/13; 21/10; 85/40; 21/10; 39/19; 19/10; ; ; 
Espanyol; 29/10; 14/5; 14/5; 69/25; 13/5; 14/5; 13/5; 3; 14/5; 3; 14/5; 14/5; 37/13; 12/5; 5/2; 56/19; 29/10; 57/20; 37/13; 12/5
META; spain/la-liga-primera/getafe-v-espanyol; 2018-04-04 02:20:05 GMT+3; 2018-04-15 17:30; Nothing; Xlenovo
