META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-04-30 22:18:41 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 6/11; 1/3
Draw; 63/20; 3; 19/10; 
Leganes; 11/2; 9/2; 5; 11/4
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-01 02:18:29 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 6/11; 6/11; 1/3
Draw; 63/20; 3; 56/19; 19/10; 
Leganes; 11/2; 9/2; 5; 24/5; 11/4
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-01 10:18:33 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 6/11; 1/3
Draw; 63/20; 31/10; 3; 56/19; 19/10; 
Leganes; 11/2; 9/2; 9/2; 5; 24/5; 11/4
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-01 14:18:38 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 1/3
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-01 18:18:38 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 1/3
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-01 22:18:41 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 1/3
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-02 02:18:32 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 1/3
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-02 10:18:32 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 1/3
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-02 14:18:45 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 6/11; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 24/5; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-02 18:19:08 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 3; 56/19; 58/19; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-02 22:19:00 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-03 02:18:55 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 19/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-03 10:18:56 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-03 14:19:04 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-03 18:19:04 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-03 22:19:00 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-04 02:18:50 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-04 10:18:51 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-04 14:19:03 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-04 18:19:09 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-04 22:19:03 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 21/10; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 63/13; 24/5; 49/10; 3; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-05 02:18:50 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 11/5; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 49/10; 24/5; 94/19; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-05 10:18:56 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 11/5; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 63/13; 24/5; 49/10; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-05 14:19:30 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 4/9; 4/9; 6/11; 11/20; 4/7; 8/15; 6/11; 8/15; 4/11
Draw; 63/20; 31/10; 3; 3; 56/19; 56/19; 3; 11/5; ; 
Leganes; 11/2; 9/2; 9/2; 5; 5; 63/13; 24/5; 49/10; 7/2; 
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-05 18:18:55 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
Real Sociedad; 61/00; 11/20; 1/2; 6/11; 4/7; 4/7; 6/10; 4/7; 8/15; 6/11; 8/13; 8/15; 2/5
Draw; 63/20; 10/3; 3; 16/5; 3; 29/10; 3; 56/19; 56/19; 31/10; 3; 9/4; 
Leganes; 11/2; 5; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 63/13; 24/5; 22/5; 49/10; 7/2
META; spain/la-liga-primera/real-sociedad-v-leganes; 2018-05-05 22:17:40 GMT+3; 2018-05-12 17:30; Nothing; Xlenovo
