META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-18 02:19:31 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 1/7; 2/15
Draw; 9; 
Leganes; 25; 
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-18 10:19:35 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 1/7; 2/15
Draw; 9; 
Leganes; 25; 11/10
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-18 14:19:45 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 1/7; 1/8
Draw; 9; 
Leganes; 25; 11/10
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-18 18:19:46 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 1/7; 1/8
Draw; 9; 
Leganes; 25; 11/10
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-18 22:19:37 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 1/7; 1/14; 1/8
Draw; 9; 15/2; 
Leganes; 25; 20; 1/3
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-19 02:18:51 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 1/12; 2/15
Draw; 79/10; 15/2; 11/5
Leganes; 17; 17; 10/9
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-19 10:18:51 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 2/15
Draw; 79/10; 17/2; 15/2; 23/10
Leganes; 17; 22; 17; 2/5
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-19 14:18:59 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 1/7
Draw; 79/10; 17/2; 15/2; 23/10
Leganes; 17; 22; 17; 2/5
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-19 18:18:58 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 2/13
Draw; 79/10; 17/2; 15/2; 23/10
Leganes; 17; 22; 17; 2/5
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-19 22:18:57 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 2/13
Draw; 79/10; 17/2; 15/2; 23/10
Leganes; 17; 22; 17; 2/5
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-20 02:18:30 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 1/6
Draw; 79/10; 17/2; 15/2; 23/10
Leganes; 17; 22; 17; 2/5
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-20 10:18:32 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/12; 1/6
Draw; 79/10; 17/2; 15/2; 5/2
Leganes; 17; 22; 17; 4/9
META; spain/la-liga-primera/real-madrid-v-leganes; 2018-04-20 14:18:41 GMT+3; 2018-04-28 17:30; Nothing; Xlenovo
Real Madrid; 9/50; 2/17; 1/10; 1/12; 1/8; 1/8; 1/6
