META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-23 02:19:40 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-23 10:19:42 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-23 14:19:43 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-23 18:19:43 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-23 22:19:45 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-24 02:19:41 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-24 10:19:40 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-24 14:19:41 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
Athletic Bilbao; ; ; ; ; 57/ 100; ; ; ; ; ; ; ; ; ; ; ; 10/21; ; 10/21; ; ; ; ; 12/25; ; ; ; ; 
Draw; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 3; ; 3; ; ; ; ; 59/20; ; ; ; ; 
Las Palmas; ; ; ; ; 32/5; ; ; ; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; ; ; ; ; 
META; spain/la-liga-primera/athletic-bilbao-v-las-palmas; 2018-01-24 18:19:38 GMT+2; 2018-02-11 15:00; Nothing; Xlenovo
