META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-11 18:20:03 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 5/4
Deportivo La Coruna; 14/5; 12/5; 12/5; 11/4; 13/5; 11/8
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-11 22:19:54 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 5/4
Deportivo La Coruna; 14/5; 12/5; 12/5; 11/4; 13/5; 11/8
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-12 02:19:48 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 5/4
Deportivo La Coruna; 14/5; 12/5; 12/5; 11/4; 13/5; 11/8
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-12 10:19:46 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 23/20
Deportivo La Coruna; 14/5; 12/5; 12/5; 11/4; 13/5; 11/8
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-12 14:20:01 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 4/6; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 15/8
Deportivo La Coruna; 14/5; 12/5; 12/5; 11/4; 13/5; 19/10
META; spain/la-liga-primera/leganes-v-deportivo-la-coruna; 2018-04-12 18:19:59 GMT+3; 2018-04-20 20:00; Nothing; Xlenovo
Leganes; 59/50; 1; 23/20; 11/10; 8/11; 
Draw; 12/5; 21/10; 21/10; 21/10; 21/10; 23/20
