META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-01 22:19:13 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 21/100; 1/7; 1/6; 1/7; 1/5; 1/4; 1/5; 5/19; 2/9; 1/5; 2/15
Draw; 63/10; 5; 5; 19/4; 11/2; 41/10; 9/2; 5; 23/5; ; 
Levante; 18; 14; 18; 14; 14; 12; 14; 43/4; 11; 17; 64/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-02 02:19:03 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 23/100; 2/13; 2/11; 1/7; 2/9; 1/4; 2/9; 1/4; 3/14; 2/9; 1/4; 2/15
Draw; 63/10; 9/2; 5; 9/2; 9/2; 19/4; 5; 74/17; 24/5; 19/4; 22/5; 4
Levante; 29/2; 13; 16; 13; 14; 12; 14; 43/4; 23/2; 17; 11; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-02 10:19:09 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 3/14; 2/9; 4/17; 2/15
Draw; 51/10; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 24/5; 19/4; 9/2; 4
Levante; 27/2; 13; 14; 13; 14; 12; 14; 11; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-02 14:20:26 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 1/4; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 1/5; 3/14; 2/9; 4/17; 2/15
Draw; 9/2; 51/10; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 5; 24/5; 19/4; 9/2; 4
Levante; 12; 27/2; 13; 14; 13; 14; 12; 12; 11; 13; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-02 18:20:22 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 1/4; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 1/5; 3/14; 2/9; 4/17; 2/15
Draw; 9/2; 51/10; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 5; 24/5; 19/4; 9/2; 4
Levante; 12; 27/2; 13; 14; 13; 14; 12; 12; 11; 13; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-02 22:20:20 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 1/4; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 1/5; 3/14; 2/9; 4/17; 2/15
Draw; 9/2; 51/10; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 5; 24/5; 19/4; 9/2; 4
Levante; 12; 27/2; 13; 14; 13; 14; 12; 12; 11; 13; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 02:20:04 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 1/4; 1/4; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 1/5; 3/14; 2/9; 4/17; 2/15
Draw; 9/2; 9/2; 51/10; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 5; 24/5; 19/4; 9/2; 4
Levante; 12; 12; 27/2; 13; 14; 13; 14; 12; 12; 11; 13; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 10:20:06 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 1/4; 7/25; 2/13; 1/5; 1/7; 2/9; 1/4; 1/4; 4/17; 1/5; 3/14; 2/9; 4/17; 2/15
Draw; 9/2; 9/2; 51/10; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 49/11; 5; 24/5; 19/4; 9/2; 4
Levante; 14; 12; 27/2; 13; 14; 13; 14; 12; 12; 45/4; 13; 23/2; 17; 45/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 14:20:12 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 2/9; 3/16; 2/15
Draw; 9/2; 9/2; 26/5; 9/2; 5; 9/2; 9/2; 5; 9/2; 63/13; 5; 24/5; 19/4; 49/10; 4
Levante; 14; 12; 18; 13; 18; 13; 16; 14; 14; 33/2; 13; 23/2; 18; 67/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 18:20:14 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 2/9; 3/16; 2/15
Draw; 9/2; 9/2; 26/5; 9/2; 5; 9/2; 9/2; 5; 9/2; 63/13; 5; 24/5; 19/4; 49/10; 4
Levante; 14; 12; 18; 13; 18; 13; 16; 14; 14; 65/4; 13; 23/2; 18; 33/2; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-03 22:20:02 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 2/15
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 9/2; 63/13; 5; 24/5; 23/5; 5; 49/10; 4
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 02:20:02 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 2/15
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 4; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 10:20:01 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 2/15
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 4; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 14:20:07 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 2/15
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 4; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 59/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 18:20:09 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/10
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 14/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-04 22:20:23 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/10
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 14/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 02:20:22 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/9
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 14/5
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 10:20:18 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/8
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 18; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 14:20:24 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 2/13; 2/11; 1/7; 1/5; 2/9; 1/5; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/8
Draw; 9/2; 19/4; 9/2; 26/5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 5; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 13; 18; 13; 16; 16; 16; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 18:20:27 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 1/5; 3/16; 1/5
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 5; 9/2; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-05 22:20:27 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 1/6; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 1/5; 1/5; 3/16; 1/5
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 9/2; 63/13; 5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 15; 14; 14; 65/4; 13; 16; 17; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 02:20:18 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 1/5; 1/5; 
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 9/2; 63/13; 5; 24/5; 23/5; 5; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 15; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 10/3
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 10:20:25 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 2/9; 1/5; 
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 19/4; 5; 9/2; 63/13; 5; 24/5; 23/5; 19/4; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 15; 14; 14; 65/4; 13; 23/2; 16; 17; 33/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 14:20:35 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 1/4; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 3/16; 1/5; 3/14; 1/5; 2/9; 1/5; 
Draw; 9/2; 19/4; 9/2; 26/5; 5; 9/2; 19/4; 19/4; 9/2; 5; 19/4; 5; 9/2; 63/13; 5; 24/5; 23/5; 19/4; 49/10; 14/5; 
Levante; 14; 16; 12; 18; 16; 18; 13; 16; 16; 14; 14; 15; 14; 14; 65/4; 13; 23/2; 16; 17; 65/4; 7/2
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 18:20:34 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 6/25; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 2/9; 1/5; 
Draw; 9/2; 19/4; 9/2; 53/10; 5; 9/2; 19/4; 19/4; 9/2; 5; 19/4; 11/2; 5; 63/13; 5; 24/5; 23/5; 19/4; 49/10; 14/5
Levante; 14; 16; 12; 19; 16; 18; 13; 16; 16; 14; 14; 15; 12; 65/4; 13; 23/2; 16; 17; 65/4; 7/2
META; spain/la-liga-primera/atletico-madrid-v-levante; 2018-04-06 22:20:31 GMT+3; 2018-04-15 15:15; Nothing; Xlenovo
Atletico Madrid; 2/9; 2/9; 1/4; 6/25; 1/5; 2/11; 1/6; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 3/16; 1/5; 3/14; 1/5; 2/9; 2/9; 
Draw; 9/2; 19/4; 9/2; 53/10; 5; 9/2; 19/4; 19/4; 9/2; 5; 19/4; 11/2; 5; 63/13; 5; 24/5; 23/5; 19/4; 49/10; 14/5
Levante; 14; 16; 12; 19; 16; 18; 13; 16; 16; 14; 14; 15; 12; 65/4; 13; 23/2; 16; 17; 65/4; 7/2
