META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 02:20:03 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 10:20:07 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 14:20:16 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 18:20:05 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-21 22:20:08 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-22 02:20:01 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-22 10:20:10 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-22 14:20:15 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 2/7; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; 5; ; 27/5; ; ; ; ; ; ; ; ; ; 
Villarreal; ; ; ; ; 11; ; ; ; ; ; ; ; ; ; ; ; 11; ; 12; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-22 18:20:16 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; ; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; ; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; ; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-22 22:20:13 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; ; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-23 02:19:54 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; ; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-23 10:19:55 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; ; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-23 14:20:14 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; 11; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-23 18:19:40 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; 11; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-23 22:19:12 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; 11; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-24 02:19:26 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; 11; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-24 10:19:21 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; ; ; ; ; ; ; ; ; 5; ; 5; ; ; 11/2; ; 5; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; ; ; ; ; ; ; ; ; 11; ; 11; ; ; 11; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-24 14:19:25 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; ; 1/5; ; 3/13; 1/5; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; ; 5; ; 24/5; 11/2; ; 11/2; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; ; 11; ; 10; 10; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-24 18:19:23 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; ; 1/5; ; 3/13; 1/5; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; ; 5; ; 24/5; 11/2; ; 11/2; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; ; 11; ; 10; 10; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-24 22:19:23 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; ; 1/5; ; 3/13; 1/4; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; ; 5; ; 24/5; 11/2; ; 11/2; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; ; 11; ; 10; 9; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-25 02:19:28 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; ; 1/5; ; 3/13; 1/4; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; ; 5; ; 24/5; 11/2; ; 11/2; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; ; 11; ; 10; 9; ; 12; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-villarreal; 2017-12-25 10:19:24 GMT+2; 2018-01-13 15:15; Nothing; Xlenovo
Real Madrid; ; ; ; ; 2/7; ; 1/5; 1/6; 3/13; ; ; 2/9; ; ; ; ; 1/5; ; 1/5; ; 3/13; 1/4; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; 11/2; 6; 5; ; ; 11/2; ; ; ; ; 5; ; 5; ; 24/5; 11/2; ; 11/2; ; ; ; ; 
Villarreal; ; ; ; ; 12; ; 11; 13; 21/2; ; ; 10; ; ; ; ; 11; ; 11; ; 10; 9; ; 12; ; ; ; ; 
