META; spain/la-liga-primera/girona-v-levante; 2018-03-09 10:19:53 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-09 14:20:08 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-09 18:20:16 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-09 22:20:08 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-10 02:19:45 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/50; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-10 10:19:49 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/50; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-10 14:20:16 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-10 18:19:56 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-10 22:19:22 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-11 02:19:05 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-11 10:19:08 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-11 14:19:11 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
META; spain/la-liga-primera/girona-v-levante; 2018-03-11 18:18:42 GMT+2; 2018-03-31 12:00; Nothing; Xlenovo
Girona; 16/25; 3/5; 4/7
Draw; 143/0; 27/10; 11/4
Levante; 29/5; 19/4; 21/4
