META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-21 18:19:15 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-21 22:19:31 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 02:19:22 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 02:25:26 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 10:19:22 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 10:25:25 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 14:19:31 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10
Draw; 5
Espanyol; 23/2
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 14:27:18 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/100
Draw; 5; 1/100
Espanyol; 23/2; 1/100
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 18:19:02 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 2/11; 1/6; 1/20
Draw; 5; 4; 1/50; 
Espanyol; 23/2; 11; 1/20; 
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-22 22:18:35 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 2/11; 1/6; 1/20
Draw; 5; 4; 1/9; 
Espanyol; 23/2; 11; 1/9; 
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 02:18:24 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 2/11; 1/6; 1/16
Draw; 5; 4; 1/9; 
Espanyol; 23/2; 11; 1/9; 
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 10:18:23 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/6; 1/6; 1/16
Draw; 5; 9/2; 9/2; 1/9
Espanyol; 23/2; 13; 13; 1/9
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 14:18:35 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 3/11; 1/16
Draw; 5; 4; 17/4; 21/5; 1/9; ; 
Espanyol; 23/2; 12; 12; 12; 11; 10; 1/9
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 18:18:38 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 3/11; 1/16
Draw; 5; 4; 17/4; 21/5; 2/15; ; 
Espanyol; 23/2; 12; 12; 12; 11; 10; 2/15
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-23 22:18:38 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 3/11; 1/16
Draw; 5; 4; 17/4; 21/5; 9/5; ; 
Espanyol; 23/2; 12; 12; 12; 11; 10; 2/15
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 02:18:20 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/14
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 9/5; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/15
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 10:18:17 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 3/10
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 14:18:27 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/6
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 18:18:21 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/6
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-24 22:18:27 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/6
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 02:18:32 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 19/10; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 1/6
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 10:18:24 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/5
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 14:18:32 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/5
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 18:18:35 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/5
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-25 22:18:25 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/12
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 2/5
META; spain/la-liga-primera/atletico-madrid-v-espanyol; 2018-04-26 02:18:23 GMT+3; 2018-05-06 15:15; Nothing; Xlenovo
Atletico Madrid; 3/10; 1/5; 1/4; 1/5; 3/11; 1/4; 2/7; 3/11; 1/16
Draw; 5; 4; 17/4; 4; 9/2; 21/5; 2; ; 
Espanyol; 23/2; 12; 12; 12; 11; 12; 11; 10; 4/9
