META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-24 22:18:53 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 9/50; 2/11; 1/7; 1/7; 1/5; ; 1/6; 2/11; ; ; ; 1/6; 3/16; ; ; 1/5; ; 2/13; 2/11; 3/16; ; 1/6; ; 
Draw; ; ; ; ; 38/5; 7; 7; 13/2; 6; ; 13/2; ; ; ; ; 11/2; 6; ; ; 23/4; ; 7; 6; 6; ; 32/5; ; 
Getafe; ; ; ; ; 37/2; 16; 14; 14; 21/2; ; 14; 12; ; ; ; 12; 11; ; ; 21/2; ; 16; 14; 11; ; 73/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-25 02:18:40 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 9/50; 1/6; 2/13; 1/8; 1/5; ; 1/7; 1/6; ; ; ; 1/7; 2/11; ; ; 1/5; ; 2/13; 2/11; 2/11; ; 2/13; ; 
Draw; ; ; ; ; 38/5; 13/2; 13/2; 11/2; 6; ; 13/2; ; ; ; ; 11/2; 6; ; ; 23/4; ; 13/2; 6; 6; ; 32/5; ; 
Getafe; ; ; ; ; 37/2; 16; 14; 13; 21/2; ; 16; 14; ; ; ; 13; 12; ; ; 21/2; ; 19; 14; 49/4; ; 83/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-25 10:18:44 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 9/50; 1/6; 1/7; 1/8; 1/5; ; ; 2/11; ; ; ; 1/7; 2/11; ; ; 1/5; ; 1/7; 2/11; 2/11; ; 2/13; ; 
Draw; ; ; ; ; 38/5; 13/2; 13/2; 11/2; 6; ; ; ; ; ; ; 11/2; 6; ; ; 23/4; ; 7; 6; 6; ; 29/5; ; 
Getafe; ; ; ; ; 37/2; 16; 14; 13; 21/2; ; ; 14; ; ; ; 12; 12; ; ; 21/2; ; 19; 14; 49/4; ; 73/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-25 14:18:47 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; ; ; ; ; 9/50; 1/6; 1/7; 1/8; 1/5; ; ; 1/6; ; ; ; 1/7; 3/16; ; ; 1/5; ; 1/6; 2/11; 3/16; ; 2/13; ; 
Draw; ; ; ; ; 38/5; 13/2; 7; 11/2; 6; ; ; ; ; ; ; 11/2; 6; ; ; 23/4; ; 13/2; 13/2; 6; ; 29/5; ; 
Getafe; ; ; ; ; 37/2; 16; 14; 13; 21/2; ; ; 14; ; ; ; 12; 45/4; ; ; 21/2; ; 16; 12; 45/4; ; 73/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-25 18:18:49 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/6; 2/13; ; 9/50; 1/6; 1/7; 1/8; 1/5; 2/13; 1/7; 1/6; ; ; 1/6; 1/7; 1/6; 3/19; ; 1/5; 2/13; 2/13; 2/13; 2/11; ; 2/13; ; 
Draw; 6; 13/2; 7; ; 38/5; 7; 7; 6; 6; 13/2; 13/2; 13/2; ; ; 13/2; 11/2; ; 6; ; 23/4; 7; 13/2; 13/2; 6; ; 32/5; ; 
Getafe; 14; 12; 18; ; 37/2; 15; 14; 12; 21/2; 18; 16; 14; ; ; 14; 12; 13; 14; ; 21/2; 14; 20; 16; 53/4; ; 69/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-25 22:18:46 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
Real Madrid; 1/6; 1/6; 2/13; ; 9/50; 1/6; 1/7; 1/8; 1/5; 2/13; 1/7; 1/6; ; ; 1/6; 1/7; 1/6; 3/19; ; 1/5; 2/13; 2/13; 2/13; 2/11; ; 2/13; ; 
Draw; 6; 13/2; 7; ; 38/5; 7; 7; 6; 6; 13/2; 13/2; 13/2; ; ; 13/2; 11/2; ; 6; ; 23/4; 7; 13/2; 13/2; 6; ; 32/5; ; 
Getafe; 14; 12; 18; ; 37/2; 15; 16; 12; 21/2; 18; 16; 14; ; ; 14; 12; 13; 14; ; 21/2; 14; 20; 16; 53/4; ; 69/5; ; 
META; spain/la-liga-primera/real-madrid-v-getafe; 2018-02-26 02:18:27 GMT+2; 2018-03-03 19:45; Nothing; Xlenovo
