META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-15 18:18:56 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 41/100; 2/7; 1/4; 1/25
Draw; 4; 9/2; 4; 19/10
Betis; 42/5; 10; 1/3; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-15 22:19:08 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 4/11; 41/100; 1/3; 1/3; 2/7; 4/11; 1/3; 4/11; 4/11; 3/8; 6/17; 4/11; 3/8; 1/25
Draw; 15/4; 18/5; 4; 15/4; 7/2; 7/2; 19/5; 7/2; 15/4; 7/2; 39/11; 19/5; 39/11; 19/10; 
Betis; 8; 42/5; 9; 8; 15/2; 17/2; 8; 17/2; 7; 31/5; 8; 1/3; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-16 02:18:57 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 1/3; 4/11; 41/100; 1/3; 7/20; 2/7; 4/11; 1/3; 4/11; 4/11; 3/8; 6/17; 4/11; 3/8; 1/14
Draw; 15/4; 18/5; 4; 15/4; 7/2; 7/2; 19/5; 7/2; 15/4; 39/11; 39/11; 19/5; 39/11; 19/10; 
Betis; 8; 42/5; 9; 8; 17/2; 8; 17/2; 29/4; 31/5; 8; 29/4; 1/3; ; ; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-16 10:18:57 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 2/5; 2/5; 2/5; 41/100; 4/11; 4/11; 3/10; 2/5; 4/11; 2/5; 2/5; 7/17; 6/17; 4/11; 5/12; 1/10; 4/11
Draw; 7/2; 17/5; 17/5; 4; 15/4; 7/2; 7/2; 17/5; 18/5; 10/3; 7/2; 57/17; 39/11; 18/5; 17/5; 21/10; 10/3
Betis; 7; 15/2; 15/2; 42/5; 9; 15/2; 8; 15/2; 8; 15/2; 15/2; 27/4; 31/5; 17/2; 27/4; 1/3; 37/5
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-16 14:19:24 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 2/5; 2/5; 2/5; 2/5; 43/100; 4/11; 2/5; 3/10; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/17; 6/17; 2/5; 7/17; 1/10; 2/5
Draw; 7/2; 10/3; 17/5; 17/5; 37/10; 18/5; 7/2; 7/2; 17/5; 7/2; 10/3; 17/5; 7/2; 7/2; 57/17; 39/11; 18/5; 17/5; 2; 7/2
Betis; 7; 15/2; 15/2; 15/2; 87/10; 17/2; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 8; 27/4; 31/5; 15/2; 27/4; 4/11; 42/5
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-16 18:19:35 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
Atletico Madrid; 2/5; 2/5; 4/9; 2/5; 47/100; 2/5; 2/5; 1/3; 3/8; 4/9; 2/5; 4/9; 40/85; 9/20; 4/9; 5/12; 3/7; 3/8; 4/9; 5/12; 2/15; 4/9
Draw; 7/2; 10/3; 16/5; 17/5; 73/20; 18/5; 10/3; 10/3; 7/2; 16/5; 7/2; 16/5; 16/5; 100/30; 7/2; 57/17; 13/4; 17/5; 7/2; 17/5; 2; 7/2
Betis; 13/2; 15/2; 13/2; 15/2; 37/5; 15/2; 7; 15/2; 13/2; 13/2; 13/2; 13/2; 13/2; 7; 13/2; 5; 15/2; 13/2; 13/2; 8/15; 36/5; 
META; spain/la-liga-primera/atletico-madrid-v-betis; 2018-04-16 22:19:33 GMT+3; 2018-04-22 19:45; Nothing; Xlenovo
